name,subDistrict,district,province,level
โรงเรียนกาญจนาภิเษกวิทยาลัย กระบี่,คลองท่อมใต้,คลองท่อม,กระบี่,มัธยมศึกษา
โรงเรียนเขาดินประชานุกูล,เขาดิน,เขาพนม,กระบี่,มัธยมศึกษา
โรงเรียนคลองท่อมราษฎร์รังสรรค์,คลองท่อมใต้,คลองท่อม,กระบี่,มัธยมศึกษา
โรงเรียนคลองพนสฤษดิ์พิทยา,คลองพน,คลองท่อม,กระบี่,มัธยมศึกษา
โรงเรียนคลองยางประชานุสรณ์,คลองยาง,เกาะลันตา,กระบี่,มัธยมศึกษา
โรงเรียนคลองหินพิทยาคม,คลองหิน,อ่าวลึก,กระบี่,มัธยมศึกษา
โรงเรียนปลายพระยาวิทยาคม,ปลายพระยา,ปลายพระยา,กระบี่,มัธยมศึกษา
โรงเรียนพนมเบญจา,เขาพนม,เขาพนม,กระบี่,มัธยมศึกษา
โรงเรียนเมืองกระบี่,กระบี่ใหญ่,เมืองกระบี่,กระบี่,มัธยมศึกษา
โรงเรียนลันตาราชประชาอุทิศ,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,มัธยมศึกษา
โรงเรียนลำทับประชานุเคราะห์,ลำทับ,ลำทับ,กระบี่,มัธยมศึกษา
โรงเรียนสินปุนคุณวิชญ์,สินปุน,เขาพนม,กระบี่,มัธยมศึกษา
โรงเรียนหนองทะเลวิทยา,หนองทะเล,เมืองกระบี่,กระบี่,มัธยมศึกษา
โรงเรียนเหนือคลองประชาบำรุง,เหนือคลอง,เหนือคลอง,กระบี่,มัธยมศึกษา
โรงเรียนอ่าวลึกประชาสรรค์,อ่าวลึกใต้,อ่าวลึก,กระบี่,มัธยมศึกษา
โรงเรียนอำมาตย์พานิชนุกูล,ปากน้ำ,เมืองกระบี่,กระบี่,มัธยมศึกษา
โรงเรียนคลองท่อมมิตรภาพที่ 160,คลองท่อมใต้,คลองท่อม,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนคลองพน,คลองพน,คลองท่อม,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านเขากลม,หนองทะเล,เมืองกระบี่,กระบี่,ประถมศึกษา
โรงเรียนชุมชนบ้านทุ่ง,เขาคราม,เมืองกระบี่,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านศาลาด่าน,ศาลาด่าน,เกาะลันตา,กระบี่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านอ่าวลึกเหนือ,อ่าวลึกเหนือ,อ่าวลึก,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดนาเหนือ,นาเหนือ,อ่าวลึก,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดหาดถั่ว,ปลายพระยา,ปลายพระยา,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนทุ่งต้นปีก,เขาคราม,เมืองกระบี่,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนทุ่งพะยอม,กระบี่น้อย,เมืองกระบี่,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 53 (บ้านคลองขนาน),คลองท่อมใต้,คลองท่อม,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกลางมิตรภาพที่ 44,บ้านกลาง,อ่าวลึก,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกอตง,เขาดิน,เขาพนม,กระบี่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเกาะกลาง,คลองประสงค์,เมืองกระบี่,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะจำ,เกาะศรีบอยา,เหนือคลอง,กระบี่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเกาะไทร,ทุ่งไทรทอง,ลำทับ,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะไทร,ปกาสัย,เหนือคลอง,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะปอ,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะปู,เกาะศรีบอยา,เหนือคลอง,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะศรีบอยา,เกาะศรีบอยา,เหนือคลอง,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะฮั่ง,เกาะศรีบอยา,เหนือคลอง,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาแก้ว,คลองยา,อ่าวลึก,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาคราม (ศรีจันทร์อุทิศ),เขาคราม,เมืองกระบี่,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขางาม,บ้านกลาง,อ่าวลึก,กระบี่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาดิน,หน้าเขา,เขาพนม,กระบี่,อนุบาล–มัธยมศึกษาตอนต้น
