name,subDistrict,district,province,level
โรงเรียนจันทร์ประดิษฐารามวิทยาคม,บางด้วน,เขตภาษีเจริญ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนแจงร้อนวิทยา,ราษฎร์บูรณะ,เขตราษฎร์บูรณะ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนชิโนรสวิทยาลัย,บ้านช่างหล่อ,เขตบางกอกน้อย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนไชยฉิมพลีวิทยาคม,บางแวก,เขตภาษีเจริญ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษา,ปทุมวัน,เขตปทุมวัน,กรุงเทพมหานคร,มัธยมศึกษาตอนปลาย
โรงเรียนไตรมิตรวิทยาลัย,ตลาดน้อย,เขตสัมพันธวงศ์,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนทวีธาภิเศก,วัดอรุณ,เขตบางกอกใหญ่,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนทวีธาภิเศก บางขุนเทียน,ท่าข้าม,เขตบางขุนเทียน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนทีปังกรวิทยาพัฒน์ (ทวีวัฒนา) ในพระราชูปถัมภ์ฯ,ทวีวัฒนา,เขตทวีวัฒนา,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนทีปังกรวิทยาพัฒน์ (วัดน้อยใน) ในพระราชูปถัมภ์ฯ,ตลิ่งชัน,เขตตลิ่งชัน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเทพศิรินทร์,วัดเทพศิรินทร์,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนธนบุรีวรเทพีพลารักษ์,ตลาดพลู,เขตธนบุรี,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนนวมินทราชินูทิศ สตรีวิทยา พุทธมณฑล,ทวีวัฒนา,เขตทวีวัฒนา,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนนวลนรดิศวิทยาคม รัชมังคลาภิเษก,บางบอนเหนือ,เขตบางบอน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนบางปะกอกวิทยาคม,บางปะกอก,เขตราษฎร์บูรณะ,กรุงเทพมหานคร,มัธยมศึกษา
"โรงเรียนบางมดวิทยา ""สีสุกหวาดจวนอุปถัมภ์""",บางมด,เขตจอมทอง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเบญจมราชาลัย ในพระบรมราชูปถัมภ์,สำราญราษฎร์,เขตพระนคร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนปัญญาวรคุณ,หลักสอง,เขตบางแค,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนพิทยาลงกรณ์พิทยาคม,ท่าข้าม,เขตบางขุนเทียน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนโพธิสารพิทยากร,บางระมาด,เขตตลิ่งชัน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมหรรณพาราม,ฉิมพลี,เขตตลิ่งชัน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมักกะสันพิทยา,มักกะสัน,เขตราชเทวี,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมัธยมวัดดาวคนอง,ดาวคะนอง,เขตธนบุรี,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมัธยมวัดดุสิตาราม,อรุณอมรินทร์,เขตบางกอกน้อย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมัธยมวัดนายโรง,อรุณอมรินทร์,เขตบางกอกน้อย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมัธยมวัดเบญจมบพิตร,ดุสิต,เขตดุสิต,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมัธยมวัดมกุฏกษัตริย์,บางขุนพรหม,เขตพระนคร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมัธยมวัดสิงห์,บางขุนเทียน,เขตจอมทอง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมัธยมวัดหนองแขม,หนองแขม,เขตหนองแขม,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนโยธินบูรณะ,บางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนโยธินบูรณะ 2 (สุวรรณสุทธาราม),วงศ์สว่าง,เขตบางซื่อ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนรัตนโกสินทร์สมโภชบางขุนเทียน,แสมดำ,เขตบางขุนเทียน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนราชนันทาจารย์ สามเสนวิทยาลัย ๒,บางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนราชวินิตบางแคปานขำ,บางแคเหนือ,เขตบางแค,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนราชวินิต มัธยม,สวนจิตรลดา,เขตดุสิต,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนฤทธิณรงค์รอน,วัดท่าพระ,เขตบางกอกใหญ่,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดนวลนรดิศ,ปากคลองภาษีเจริญ,เขตภาษีเจริญ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดน้อยนพคุณ,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดบวรนิเวศ,บวรนิเวศ,เขตพระนคร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดบวรมงคล,บางยี่ขัน,เขตบางพลัด,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดประดู่ในทรงธรรม,วัดท่าพระ,เขตบางกอกใหญ่,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดพุทธบูชา,บางมด,เขตทุ่งครุ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดรางบัว,บางหว้า,เขตภาษีเจริญ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดราชบพิธ,พระบรมมหาราชวัง,เขตพระนคร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดราชโอรส,บางค้อ,เขตจอมทอง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดราชาธิวาส,วชิรพยาบาล,เขตดุสิต,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดสระเกศ,บ้านบาตร,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดสังเวช,วัดสามพระยา,เขตพระนคร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดอินทาราม,บางยี่เรือ,เขตธนบุรี,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวิมุตยารามพิทยากร,บางอ้อ,เขตบางพลัด,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนศรีอยุธยา ในพระอุปถัมภ์ฯ,ถนนพญาไท,เขตราชเทวี,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนศีลาจารพิพัฒน์,บางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนศึกษานารี,วัดกัลยาณ์,เขตธนบุรี,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนศึกษานารีวิทยา,บางบอนเหนือ,เขตบางบอน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสตรีวัดระฆัง,ศิริราช,เขตบางกอกน้อย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสตรีวัดอัปสรสวรรค์,ปากคลองภาษีเจริญ,เขตภาษีเจริญ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสตรีวิทยา,บวรนิเวศ,เขตพระนคร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสวนกุหลาบวิทยาลัย,วังบูรพาภิรมย์,เขตพระนคร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสวนกุหลาบวิทยาลัย ธนบุรี,ท่าข้าม,เขตบางขุนเทียน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสวนอนันต์,บ้านช่างหล่อ,เขตบางกอกน้อย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสันติราษฎร์วิทยาลัย,ทุ่งพญาไท,เขตราชเทวี,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสามเสนวิทยาลัย,พญาไท,เขตพญาไท,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสายปัญญา ในพระบรมราชินูปถัมภ์,ป้อมปราบ,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสุวรรณพลับพลาพิทยาคม,บางพรม,เขตตลิ่งชัน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสุวรรณารามวิทยาคม,ศิริราช,เขตบางกอกน้อย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนอุบลรัตนราชกัญญาราชวิทยาลัย กรุงเทพมหานคร,บางพรม,เขตตลิ่งชัน,กรุงเทพมหานคร,มัธยมศึกษา
อิสลามวิทยาลัยแห่งประเทศไทย,ทุ่งครุ,เขตทุ่งครุ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนจันทร์หุ่นบำเพ็ญ,สามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเจ้าพระยาวิทยาคม,บางโพงพาง,เขตยานนาวา,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนดอนเมืองจาตุรจินดา,ดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนดอนเมืองทหารอากาศบำรุง,สีกัน,เขตดอนเมือง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาน้อมเกล้า,ราษฎร์พัฒนา,เขตสะพานสูง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาน้อมเกล้ากุนนที,รัชดาภิเษก,เขตดินแดง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ,พัฒนาการ,เขตสวนหลวง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา,ห้วยขวาง,เขตห้วยขวาง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ยานนาเวศ,ทุ่งวัดดอน,เขตสาทร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ สุวรรณภูมิ,คลองสามประเวศ,เขตลาดกระบัง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษา สุวินทวงศ์,ลำผักชี,เขตหนองจอก,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเทพลีลา,หัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเทพศิรินทร์ร่มเกล้า,คลองสามประเวศ,เขตลาดกระบัง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนนนทรีวิทยา,ช่องนนทรี,เขตยานนาวา,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า,สะพานสูง,เขตสะพานสูง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนนวมินทราชินูทิศ บดินทรเดชา,สะพานสอง,เขตวังทองหลาง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย,สามวาตะวันตก,เขตคลองสามวา,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนนวมินทราชินูทิศ สตรีวิทยา 2,สามวาตะวันออก,เขตคลองสามวา,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนนวมินทราชูทิศ กรุงเทพมหานคร,นวลจันทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี),พลับพลา,เขตวังทองหลาง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ๒,คลองกุ่ม,เขตบึงกุ่ม,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ๔,ลำต้อยติ่ง,เขตหนองจอก,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนบางกะปิ,คลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนปทุมคงคา,พระโขนง,เขตคลองเตย,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนพรตพิทยพยัต,ลาดกระบัง,เขตลาดกระบัง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนพระโขนงพิทยาลัย,พระโขนงใต้,เขตพระโขนง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนพุทธจักรวิทยา,สี่พระยา,เขตบางรัก,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมัธยมวัดธาตุทอง,พระโขนงเหนือ,เขตวัฒนา,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมัธยมวัดบึงทองหลาง,คลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนมัธยมวัดหนองจอก,กระทุ่มราย,เขตหนองจอก,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนรัตนโกสินทร์สมโภชบางเขน,ท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนรัตนโกสินทร์สมโภชลาดกระบัง,คลองสองต้นนุ่น,เขตลาดกระบัง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนราชดำริ,ดอกไม้,เขตประเวศ,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนราชวินิตบางเขน,ทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนฤทธิยะวรรณาลัย,คลองถนน,เขตสายไหม,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนฤทธิยะวรรณาลัย ๒,สายไหม,เขตสายไหม,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนลาดปลาเค้าพิทยาคม,จรเข้บัว,เขตลาดพร้าว,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวชิรธรรมสาธิต,บางจาก,เขตพระโขนง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนวัดสุทธิวราราม,ยานนาวา,เขตสาทร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนศรีพฤฒา,ทับช้าง,เขตสะพานสูง,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนเศรษฐบุตรบำเพ็ญ,มีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสตรีวัดมหาพฤฒาราม ในพระบรมราชินูปถัมภ์,มหาพฤฒาราม,เขตบางรัก,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสตรีวิทยา ๒ ในพระราชูปถัมภ์ฯ,ลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสตรีศรีสุริโยทัย,ยานนาวา,เขตสาทร,กรุงเทพมหานคร,มัธยมศึกษา
โรงเรียนสตรีเศรษฐบุตรบำเพ็ญ,มีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,มัธยมศึกษา
