name,subDistrict,district,province,level
โรงเรียนกาญจนานุเคราะห์,บ้านเหนือ,เมืองกาญจนบุรี,กาญจนบุรี,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ กาญจนบุรี,ท่าล้อ,ท่าม่วง,กาญจนบุรี,มัธยมศึกษา
โรงเรียนด่านมะขามเตี้ยวิทยาคม,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,กาญจนบุรี,มัธยมศึกษา
โรงเรียนทองผาภูมิวิทยา,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,มัธยมศึกษา
โรงเรียนท่าม่วงราษฎร์บำรุง,ท่าม่วง,ท่าม่วง,กาญจนบุรี,มัธยมศึกษา
โรงเรียนท่ามะกาปุญสิริวิทยา,เขาสามสิบหาบ,ท่ามะกา,กาญจนบุรี,มัธยมศึกษา
โรงเรียนท่ามะกาวิทยาคม,ท่ามะกา,ท่ามะกา,กาญจนบุรี,มัธยมศึกษา
โรงเรียนท่าเรือพิทยาคม,ท่าเรือ,ท่ามะกา,กาญจนบุรี,มัธยมศึกษา
โรงเรียนเทพมงคลรังษี,บ้านเหนือ,เมืองกาญจนบุรี,กาญจนบุรี,มัธยมศึกษา
โรงเรียนเทพศิรินทร์ลาดหญ้า กาญจนบุรี,ลาดหญ้า,เมืองกาญจนบุรี,กาญจนบุรี,มัธยมศึกษา
โรงเรียนไทรโยคน้อยวิทยา,ท่าเสา,ไทรโยค,กาญจนบุรี,มัธยมศึกษา
โรงเรียนไทรโยคมณีกาญจน์วิทยา,ลุ่มสุ่ม,ไทรโยค,กาญจนบุรี,มัธยมศึกษา
โรงเรียนนิวิฐราษฎร์อุปถัมภ์,สนามแย้,ท่ามะกา,กาญจนบุรี,มัธยมศึกษา
โรงเรียนบ่อพลอยรัชดาภิเษก,บ่อพลอย,บ่อพลอย,กาญจนบุรี,มัธยมศึกษา
โรงเรียนประชามงคล,สมเด็จเจริญ,หนองปรือ,กาญจนบุรี,มัธยมศึกษา
โรงเรียนพนมทวนชนูปถัมภ์,พนมทวน,พนมทวน,กาญจนบุรี,มัธยมศึกษา
"โรงเรียนพนมทวนพิทยาคม ""สว่างเคลิ้มสุคนธสิทธิ์อุปถัมภ์""",รางหวาย,พนมทวน,กาญจนบุรี,มัธยมศึกษา
โรงเรียนพระแท่นดงรังวิทยาคาร,พระแท่น,ท่ามะกา,กาญจนบุรี,มัธยมศึกษา
โรงเรียนพังตรุราษฎร์รังสรรค์,พังตรุ,ท่าม่วง,กาญจนบุรี,มัธยมศึกษา
โรงเรียนร่มเกล้า กาญจนบุรี,ลิ่นถิ่น,ทองผาภูมิ,กาญจนบุรี,มัธยมศึกษา
โรงเรียนเลาขวัญราษฎร์บำรุง,เลาขวัญ,เลาขวัญ,กาญจนบุรี,มัธยมศึกษา
โรงเรียนวิสุทธรังษี,ท่าล้อ,ท่าม่วง,กาญจนบุรี,มัธยมศึกษา
โรงเรียนศรีสวัสดิ์พิทยาคม,ท่ากระดาน,ศรีสวัสดิ์,กาญจนบุรี,มัธยมศึกษา
โรงเรียนหนองขาวโกวิทพิทยาคม,หนองขาว,ท่าม่วง,กาญจนบุรี,มัธยมศึกษา
โรงเรียนหนองตากยาตั้งวิริยะราษฎร์บำรุง,หนองตากยา,ท่าม่วง,กาญจนบุรี,มัธยมศึกษา
โรงเรียนหนองปรือพิทยาคม,หนองปรือ,หนองปรือ,กาญจนบุรี,มัธยมศึกษา
โรงเรียนหนองรีประชานิมิต,หนองรี,บ่อพลอย,กาญจนบุรี,มัธยมศึกษา
โรงเรียนห้วยกระเจาพิทยาคม,สระลงเรือ,ห้วยกระเจา,กาญจนบุรี,มัธยมศึกษา
