name,subDistrict,district,province,level
โรงเรียนกมลาไสย,กมลาไสย,กมลาไสย,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนกาญจนาภิเษกวิทยาลัย กาฬสินธุ์,คุ้มเก่า,เขาวง,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนกาฬสินธุ์พิทยาสรรพ์,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนกุฉินารายณ์,บัวขาว,กุฉินารายณ์,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนแก่งนาจารย์พิทยาคม,นาจารย์,เมืองกาฬสินธุ์,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนแก้วเสด็จพิทยาคม,หนองแวง,สมเด็จ,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนเขาพระนอนวิทยาคม,เขาพระนอน,ยางตลาด,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนเขาวงพิทยาคาร,คุ้มเก่า,เขาวง,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนคำเจริญวิทยาคม,คำใหญ่,ห้วยเม็ก,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนคำม่วง,ทุ่งคลอง,คำม่วง,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนฆ้องชัยวิทยาคม,ฆ้องชัยพัฒนา,ฆ้องชัย,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนจำปาหลวงวิทยาคม,นาจำปา,ดอนจาน,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนดงกลางพัฒนศึกษา,ดงสมบูรณ์,ท่าคันโท,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนดอนจานวิทยาคม,ดอนจาน,ดอนจาน,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนดอนไทรงามพิทยาคม,โพนงาม,กมลาไสย,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนไตรรัตนวิทยาคม,โนนศิลาเลิง,ฆ้องชัย,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนท่าคันโทวิทยาคาร,ท่าคันโท,ท่าคันโท,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนธัญญาพัฒนวิทย์,ธัญญา,กมลาไสย,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนนาไคร้พิทยาสรรพ์,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนนามนพิทยาคม,หลักเหลี่ยม,นามน,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนนามะเขือพัฒนศึกษา,นามะเขือ,สหัสขันธ์,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนโนนคำวิทยา,นาขาม,กุฉินารายณ์,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนโนนศิลาพิทยาคม,โนนศิลา,สหัสขันธ์,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนโนนสูงพิทยาคม,โนนสูง,ยางตลาด,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนบ่อแก้วพระเทพญาณวิศิษฏ์พัฒนา,บ่อแก้ว,นาคู,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนบัวสามัคคีพิทยาสรรพ์,แซงบาดาล,สมเด็จ,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนบ้านนาคูพัฒนา กรป.กลางอุปถัมภ์,นาคู,นาคู,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนประชารัฐพัฒนศึกษา,หมูม่น,สมเด็จ,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนผาเสวยรังสรรค์,ผาเสวย,สมเด็จ,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนพระเทพญาณวิศิษฏ์อุดมวิทย์,นิคมห้วยผึ้ง,ห้วยผึ้ง,กาฬสินธุ์,มัธยมศึกษา
โรงเรียนพุทโธภาวนาประชาสรรค์,สงเปลือย,เขาวง,กาฬสินธุ์,มัธยมศึกษา
