name,subDistrict,district,province,level
โรงเรียนกำแพงเพชรพิทยาคม,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,มัธยมศึกษา
โรงเรียนโกสัมพีวิทยา,โกสัมพี,โกสัมพีนคร,กำแพงเพชร,มัธยมศึกษา
โรงเรียนขาณุวิทยา,แสนตอ,ขาณุวรลักษบุรี,กำแพงเพชร,มัธยมศึกษา
โรงเรียนคณฑีพิทยาคม,เทพนคร,เมืองกำแพงเพชร,กำแพงเพชร,มัธยมศึกษา
โรงเรียนคลองขลุงราษฎร์รังสรรค์,คลองขลุง,คลองขลุง,กำแพงเพชร,มัธยมศึกษา
โรงเรียนคลองลานพัฒนาจินดาศักดิ์,คลองลานพัฒนา,คลองลาน,กำแพงเพชร,มัธยมศึกษา
โรงเรียนคลองลานวิทยา,คลองน้ำไหล,คลองลาน,กำแพงเพชร,มัธยมศึกษา
โรงเรียนโค้งไผ่วิทยา,โค้งไผ่,ขาณุวรลักษบุรี,กำแพงเพชร,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ กำแพงเพชร,เทพนคร,เมืองกำแพงเพชร,กำแพงเพชร,มัธยมศึกษา
โรงเรียนทุ่งโพธิ์ทะเลพิทยา,นิคมทุ่งโพธิ์ทะเล,เมืองกำแพงเพชร,กำแพงเพชร,มัธยมศึกษา
โรงเรียนทุ่งทรายวิทยา,ทุ่งทราย,ทรายทองวัฒนา,กำแพงเพชร,มัธยมศึกษา
โรงเรียนไทรงามพิทยาคม,ไทรงาม,ไทรงาม,กำแพงเพชร,มัธยมศึกษา
โรงเรียนนครไตรตรึงษ์,ไตรตรึงษ์,เมืองกำแพงเพชร,กำแพงเพชร,มัธยมศึกษา
โรงเรียนนาบ่อคำวิทยาคม,นาบ่อคำ,เมืองกำแพงเพชร,กำแพงเพชร,มัธยมศึกษา
โรงเรียนบ่อแก้ววิทยา,พานทอง,ไทรงาม,กำแพงเพชร,มัธยมศึกษา
โรงเรียนปางมะค่าวิทยาคม,ปางมะค่า,ขาณุวรลักษบุรี,กำแพงเพชร,มัธยมศึกษา
