name,subDistrict,district,province,level
โรงเรียนกัลยาณวัตร,ในเมือง,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนก้านเหลืองวิทยาคม,ก้านเหลือง,แวงน้อย,ขอนแก่น,มัธยมศึกษา
โรงเรียนกุดขอนแก่นวิทยาคม,กุดขอนแก่น,ภูเวียง,ขอนแก่น,มัธยมศึกษา
โรงเรียนกู่ทองพิทยาลัย,ขามป้อม,เปือยน้อย,ขอนแก่น,มัธยมศึกษา
โรงเรียนแก่นนครวิทยาลัย,ในเมือง,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนแก่นนครวิทยาลัย 2,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนขอนแก่นพัฒนศึกษา,สำราญ,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนขอนแก่นวิทยายน,ในเมือง,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนขอนแก่นวิทยายน 2 (สมาน สุเมโธ),พระลับ,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนขอนแก่นวิทยายน 3,บ้านค้อ,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนขอนแก่นวิทยาลัย,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนขัวเรียงศึกษา,ขัวเรียง,ชุมแพ,ขอนแก่น,มัธยมศึกษา
โรงเรียนขามแก่นนคร,ศิลา,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนเขาสวนกวางวิทยานุกูล,คำม่วง,เขาสวนกวาง,ขอนแก่น,มัธยมศึกษา
โรงเรียนคำแคนวิทยาคม,คำแคน,มัญจาคีรี,ขอนแก่น,มัธยมศึกษา
โรงเรียนโคกนางามพิทยาสรรพ์,นางาม,มัญจาคีรี,ขอนแก่น,มัธยมศึกษา
โรงเรียนโคกโพธิ์ไชยศึกษา,บ้านโคก,โคกโพธิ์ไชย,ขอนแก่น,มัธยมศึกษา
โรงเรียนโคกสีพิทยาสรรพ์,โคกสี,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนจตุรมิตรวิทยาคาร,นาเพียง,ชุมแพ,ขอนแก่น,มัธยมศึกษา
โรงเรียนจระเข้วิทยายน,จระเข้,หนองเรือ,ขอนแก่น,มัธยมศึกษา
โรงเรียนชนบทศึกษา,ชนบท,ชนบท,ขอนแก่น,มัธยมศึกษา
โรงเรียนชุมแพพิทยาคม,วังหินลาด,ชุมแพ,ขอนแก่น,มัธยมศึกษา
โรงเรียนชุมแพวิทยายน,ไชยสอ,ชุมแพ,ขอนแก่น,มัธยมศึกษา
โรงเรียนชุมแพศึกษา,ชุมแพ,ชุมแพ,ขอนแก่น,มัธยมศึกษา
โรงเรียนซำยางวิทยายน,ซำยาง,สีชมพู,ขอนแก่น,มัธยมศึกษา
โรงเรียนดงบังวิทยายน,ดงเมืองแอม,เขาสวนกวาง,ขอนแก่น,มัธยมศึกษา
โรงเรียนดงมันพิทยาคม,สะอาด,น้ำพอง,ขอนแก่น,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,ท่าพระ,เมืองขอนแก่น,ขอนแก่น,มัธยมศึกษา
โรงเรียนไตรคามวิทยา,ดงเค็ง,หนองสองห้อง,ขอนแก่น,มัธยมศึกษา
