name,subDistrict,district,province,level
โรงเรียนแก่งหางแมวพิทยาคาร,แก่งหางแมว,แก่งหางแมว,จันทบุรี,มัธยมศึกษา
โรงเรียนขลุงรัชดาภิเษก,วันยาว,ขลุง,จันทบุรี,มัธยมศึกษา
โรงเรียนคลองพลูวิทยา,คลองพลู,เขาคิชฌกูฏ,จันทบุรี,มัธยมศึกษา
โรงเรียนคิชฌกูฏวิทยา,พลวง,เขาคิชฌกูฏ,จันทบุรี,มัธยมศึกษา
โรงเรียนเครือหวายวิทยาคม,โป่งน้ำร้อน,โป่งน้ำร้อน,จันทบุรี,มัธยมศึกษา
โรงเรียนตกพรมวิทยาคาร,ตกพรม,ขลุง,จันทบุรี,มัธยมศึกษา
"โรงเรียนท่าใหม่ ""พูลสวัสดิ์ราษฎร์นุกูล""",ท่าใหม่,ท่าใหม่,จันทบุรี,มัธยมศึกษา
โรงเรียนทุ่งขนานวิทยา,ทุ่งขนาน,สอยดาว,จันทบุรี,มัธยมศึกษา
โรงเรียนนายายอามพิทยาคม,นายายอาม,นายายอาม,จันทบุรี,มัธยมศึกษา
โรงเรียนบ่อวิทยาคาร,บ่อ,ขลุง,จันทบุรี,มัธยมศึกษา
โรงเรียนบางกะจะ,บางกะจะ,เมืองจันทบุรี,จันทบุรี,มัธยมศึกษา
โรงเรียนเบญจมราชูทิศ จังหวัดจันทบุรี,วัดใหม่,เมืองจันทบุรี,จันทบุรี,มัธยมศึกษา
โรงเรียนเบญจมานุสรณ์,ตลาด,เมืองจันทบุรี,จันทบุรี,มัธยมศึกษา
โรงเรียนโป่งน้ำร้อนวิทยาคม,ทับไทร,โป่งน้ำร้อน,จันทบุรี,มัธยมศึกษา
โรงเรียนมะขามสรรเสริญ,มะขาม,มะขาม,จันทบุรี,มัธยมศึกษา
โรงเรียนมัธยมท่าแคลง,สนามไชย,นายายอาม,จันทบุรี,มัธยมศึกษา
โรงเรียนมัธยมวัดเขาสุกิม,เขาบายศรี,ท่าใหม่,จันทบุรี,มัธยมศึกษา
โรงเรียนศรียานุสรณ์,วัดใหม่,เมืองจันทบุรี,จันทบุรี,มัธยมศึกษา
โรงเรียนศรีรัตน์ราษฎร์นุเคราะห์,ทุ่งเบญจา,ท่าใหม่,จันทบุรี,มัธยมศึกษา
โรงเรียนสอยดาววิทยา,ทรายขาว,สอยดาว,จันทบุรี,มัธยมศึกษา
โรงเรียนสะพานเลือกวิทยาคม,ทุ่งเบญจา,ท่าใหม่,จันทบุรี,มัธยมศึกษา
โรงเรียนหนองตาคงพิทยาคาร,หนองตาคง,โป่งน้ำร้อน,จันทบุรี,มัธยมศึกษา
"โรงเรียนแหลมสิงห์วิทยาคม ""อาทรสังขะวัฒนะ 4 อุปถัมภ์""",พลิ้ว,แหลมสิงห์,จันทบุรี,มัธยมศึกษา
โรงเรียนไทยรัฐวิทยา 14 (ท่าใหม่บ้านสิ้ว),สองพี่น้อง,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแก่งน้อย,เขาแก้ว,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแก้ว,ท่าช้าง,เมืองจันทบุรี,จันทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขาแก้ววิทยา,เขาแก้ว,ท่าใหม่,จันทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขามะปริง,นายายอาม,นายายอาม,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองกะพง,เขาบายศรี,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองครก,พวา,แก่งหางแมว,จันทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองน้ำใส (บุญประชานุกูล),ท่าช้าง,เมืองจันทบุรี,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองลาว,วังใหม่,นายายอาม,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกวัด,ขุนซ่อง,แก่งหางแมว,จันทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเจ้าหลาว,คลองขุด,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านช่องกะพัด,แก่งหางแมว,แก่งหางแมว,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านชำโสม,แสลง,เมืองจันทบุรี,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซอยสอง (อภิชาติราษฎร์อุปถัมภ์),สามพี่น้อง,แก่งหางแมว,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านต้นกระบก,นายายอาม,นายายอาม,จันทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านตาเลียว,เขาแก้ว,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเตาหม้อ,คลองขุด,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าแฉลบ,บางกะจะ,เมืองจันทบุรี,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเนินจำปา,พวา,แก่งหางแมว,จันทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเนินดินแดง,เขาบายศรี,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบ่อไฟไหม้,พวา,แก่งหางแมว,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านประแกต,สามพี่น้อง,แก่งหางแมว,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโป่งวัว,แก่งหางแมว,แก่งหางแมว,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านมาบโอน,เขาบายศรี,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านยางระหง,กระแจะ,นายายอาม,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังปลา,เขาแก้ว,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังไม้แดง,สามพี่น้อง,แก่งหางแมว,จันทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านวังอีแอ่น,พวา,แก่งหางแมว,จันทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านศรัทธาตะพง,เขาแก้ว,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสะพานเลือก,ทุ่งเบญจา,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสังข์ทอง,ตะกาดเง้า,ท่าใหม่,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองเจ๊กสร้อย,เขาวงกต,แก่งหางแมว,จันทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านหนองบัวทอง,แก่งหางแมว,แก่งหางแมว,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วงกระแจะ,วังโตนด,นายายอาม,จันทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดเกาะขวาง (สังวาลย์ราษฎร์รังสรรค์),เกาะขวาง,เมืองจันทบุรี,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดเกาะตะเคียน (วาสน์วิทยานุกูล),เกาะขวาง,เมืองจันทบุรี,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดเกาะโตนด (จันทร์ศีลราษฏร์ประสิทธิ์),เกาะขวาง,เมืองจันทบุรี,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดแก่งหางแมว,แก่งหางแมว,แก่งหางแมว,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดขุนซ่อง,ขุนซ่อง,แก่งหางแมว,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดขุนซ่อง สาขาบ้านโป่งเกตุ,ขุนซ่อง,แก่งหางแมว,จันทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดเขาน้อย,คมบาง,เมืองจันทบุรี,จันทบุรี,อนุบาล–ประถมศึกษา
