name,subDistrict,district,province,level
โรงเรียนก้อนแก้วพิทยาคม,ก้อนแก้ว,คลองเขื่อน,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนกาญจนาภิเษกวิทยาลัย ฉะเชิงเทรา,เกาะขนุน,พนมสารคาม,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนการทำมาหากินวัดโพธิ์เฉลิมรักษ์ (อนุสรณ์วันเด็กแห่งชาติปี 2537),ดอนเกาะกา,บางน้ำเปรี้ยว,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนดอนฉิมพลีพิทยาคม,ดอนฉิมพลี,บางน้ำเปรี้ยว,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนดัดดรุณี,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาเปร็งวิสุทธาธิบดี,คลองเปรง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ฉะเชิงเทรา,คลองหลวงแพ่ง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนบางคล้าพิทยาคม,บางคล้า,บางคล้า,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนบางน้ำเปรี้ยววิทยา,โพรงอากาศ,บางน้ำเปรี้ยว,ฉะเชิงเทรา,มัธยมศึกษา
"โรงเรียนบางปะกง ""บวรวิทยายน""",บางปะกง,บางปะกง,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนเบญจมราชรังสฤษฎิ์,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนเบญจมราชรังสฤษฎิ์ 2,บางตีนเป็ด,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,มัธยมศึกษา
โรงเรียนเบญจมราชรังสฤษฎิ์ 3 ชนะสงสารวิทยา,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,มัธยมศึกษา
