name,subDistrict,district,province,level
โรงเรียนเกาะจันทร์พิทยาคาร,เกาะจันทร์,เกาะจันทร์,ชลบุรี,มัธยมศึกษา
โรงเรียนเกาะโพธิ์ถ้วยงามวิทยา,ท่าบุญมี,เกาะจันทร์,ชลบุรี,มัธยมศึกษา
โรงเรียนเกาะสีชัง,ท่าเทววงษ์,เกาะสีชัง,ชลบุรี,ประถมศึกษา–มัธยมศึกษา
โรงเรียนคลองกิ่วยิ่งวิทยา,คลองกิ่ว,บ้านบึง,ชลบุรี,มัธยมศึกษา
โรงเรียนชลกันยานุกูล,บางปลาสร้อย,เมืองชลบุรี,ชลบุรี,มัธยมศึกษา
"โรงเรียนชลบุรี ""สุขบท""",บางทราย,เมืองชลบุรี,ชลบุรี,มัธยมศึกษา
โรงเรียนชลราษฎรอำรุง,บ้านสวน,เมืองชลบุรี,ชลบุรี,มัธยมศึกษา
"โรงเรียนทุ่งศุขลาพิทยา ""กรุงไทยอนุเคราะห์""",ทุ่งสุขลา,ศรีราชา,ชลบุรี,มัธยมศึกษา
โรงเรียนทุ่งเหียงพิทยาคม,หมอนนาง,พนัสนิคม,ชลบุรี,มัธยมศึกษา
โรงเรียนบ่อทองวงษ์จันทร์วิทยา,วัดสุวรรณ,บ่อทอง,ชลบุรี,มัธยมศึกษา
โรงเรียนบางละมุง,นาเกลือ,บางละมุง,ชลบุรี,มัธยมศึกษา
"โรงเรียนบ้านบึง ""มนูญวิทยาคาร""",หนองอิรุณ,บ้านบึง,ชลบุรี,มัธยมศึกษา
"โรงเรียนบ้านบึง ""อุตสาหกรรมนุเคราะห์""",บ้านบึง,บ้านบึง,ชลบุรี,มัธยมศึกษา
โรงเรียนบ้านสวน (จั่นอนุสรณ์),บ้านสวน,เมืองชลบุรี,ชลบุรี,มัธยมศึกษา
โรงเรียนบึงศรีราชาพิทยาคม,บึง,ศรีราชา,ชลบุรี,มัธยมศึกษา
โรงเรียนผินแจ่มวิชาสอน,ห้วยใหญ่,บางละมุง,ชลบุรี,มัธยมศึกษา
