name,subDistrict,district,province,level
โรงเรียนคุรุประชาสรรค์,แพรกศรีราชา,สรรคบุรี,ชัยนาท,มัธยมศึกษา
โรงเรียนชยานุกิจพิทยาคม,โพนางดำออก,สรรพยา,ชัยนาท,มัธยมศึกษา
โรงเรียนชัยนาทพิทยาคม,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,มัธยมศึกษา
โรงเรียนเนินขามรัฐประชานุเคราะห์,เนินขาม,เนินขาม,ชัยนาท,มัธยมศึกษา
โรงเรียนบุญนาคพิทยาคม,บางหลวง,สรรพยา,ชัยนาท,มัธยมศึกษา
โรงเรียนวัดสิงห์,มะขามเฒ่า,วัดสิงห์,ชัยนาท,มัธยมศึกษา
โรงเรียนศรีสโมสรวิทยา,กุดจอก,หนองมะโมง,ชัยนาท,มัธยมศึกษา
โรงเรียนสรรพยาวิทยา,สรรพยา,สรรพยา,ชัยนาท,มัธยมศึกษา
โรงเรียนสาครพิทยาคม,หางน้ำสาคร,มโนรมย์,ชัยนาท,มัธยมศึกษา
โรงเรียนห้วยกรดวิทยา,ห้วยกรด,สรรคบุรี,ชัยนาท,มัธยมศึกษา
โรงเรียนหันคาพิทยาคม,หันคา,หันคา,ชัยนาท,มัธยมศึกษา
โรงเรียนหันคาราษฎร์รังสฤษดิ์,สามง่ามท่าโบสถ์,หันคา,ชัยนาท,มัธยมศึกษา
โรงเรียนอุลิตไพบูลย์ชนูปถัมภ์,คุ้งสำเภา,มโนรมย์,ชัยนาท,มัธยมศึกษา
โรงเรียนไกรราษฎร์วิทยา,บ้านเชี่ยน,หันคา,ชัยนาท,อนุบาล–ประถมศึกษา
โรงเรียนเขื่อนเจ้าพระยา,บางหลวง,สรรพยา,ชัยนาท,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนคงรักษ์ประชานุเคราะห์,อู่ตะเภา,มโนรมย์,ชัยนาท,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนคลองจันทน์,ห้วยงู,หันคา,ชัยนาท,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านหางน้ำสาคร (รัฐราษฎร์ร่วมจิตร),หางน้ำสาคร,มโนรมย์,ชัยนาท,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดโคกเข็ม (พุทธสรานุสรณ์),ตลุก,สรรพยา,ชัยนาท,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดโคกดอกไม้,ดงคอน,สรรคบุรี,ชัยนาท,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดดักคะนน,ธรรมามูล,เมืองชัยนาท,ชัยนาท,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดพิชัยนาวาส (รัฐราษฎร์ประดิษฐ์วิทยา),บ้านเชี่ยน,หันคา,ชัยนาท,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดมาติการาม,ห้วยกรดพัฒนา,สรรคบุรี,ชัยนาท,อนุบาล–ประถมศึกษา
