name,subDistrict,district,province,level
โรงเรียนกาญจนาภิเษกวิทยาลัย ชัยภูมิ,บ้านเล่า,เมืองชัยภูมิ,ชัยภูมิ,มัธยมศึกษา
โรงเรียนกุดตุ้มวิทยา,กุดตุ้ม,เมืองชัยภูมิ,ชัยภูมิ,มัธยมศึกษา
โรงเรียนแก้งคร้อวิทยา,หนองไผ่,แก้งคร้อ,ชัยภูมิ,มัธยมศึกษา
โรงเรียนคอนสวรรค์,คอนสวรรค์,คอนสวรรค์,ชัยภูมิ,มัธยมศึกษา
โรงเรียนคอนสารวิทยาคม,ทุ่งนาเลา,คอนสาร,ชัยภูมิ,มัธยมศึกษา
โรงเรียนคูเมืองวิทยา,กุดชุมแสง,หนองบัวแดง,ชัยภูมิ,มัธยมศึกษา
โรงเรียนจัตุรัสวิทยาคาร,กุดน้ำใส,จัตุรัส,ชัยภูมิ,มัธยมศึกษา
โรงเรียนเจียงทองพิทยาคม,บ้านเจียง,ภักดีชุมพล,ชัยภูมิ,มัธยมศึกษา
โรงเรียนชัยภูมิภักดีชุมพล,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,มัธยมศึกษา
โรงเรียนชีลองวิทยา,ชีลอง,เมืองชัยภูมิ,ชัยภูมิ,มัธยมศึกษา
โรงเรียนท่ามะไฟหวานวิทยาคม,ท่ามะไฟหวาน,แก้งคร้อ,ชัยภูมิ,มัธยมศึกษา
โรงเรียนเทพสถิตวิทยา,วะตะแบก,เทพสถิต,ชัยภูมิ,มัธยมศึกษา
โรงเรียนนางแดดวังชมภูวิทยา รัชมังคลาภิเษก,นางแดด,หนองบัวแดง,ชัยภูมิ,มัธยมศึกษา
โรงเรียนนายางกลักพิทยาคม,นายางกลัก,เทพสถิต,ชัยภูมิ,มัธยมศึกษา
โรงเรียนนาหนองทุ่มวิทยา,นาหนองทุ่ม,แก้งคร้อ,ชัยภูมิ,มัธยมศึกษา
โรงเรียนโนนคูณวิทยาคาร รัชมังคลาภิเษก,โนนคูณ,คอนสาร,ชัยภูมิ,มัธยมศึกษา
โรงเรียนโนนสะอาดวิทยา,โนนสะอาด,คอนสวรรค์,ชัยภูมิ,มัธยมศึกษา
