name,subDistrict,district,province,level
โรงเรียนเขาทะลุพิทยาคม,เขาทะลุ,สวี,ชุมพร,มัธยมศึกษา
โรงเรียนครนพิทยาคม,ครน,สวี,ชุมพร,มัธยมศึกษา
โรงเรียนชลธารวิทยา,บ้านควน,หลังสวน,ชุมพร,มัธยมศึกษา
โรงเรียนด่านสวีวิทยา,ด่านสวี,สวี,ชุมพร,มัธยมศึกษา
โรงเรียนท่าแซะรัชดาภิเษก,ท่าแซะ,ท่าแซะ,ชุมพร,มัธยมศึกษา
โรงเรียนท่าข้ามวิทยา,ท่าข้าม,ท่าแซะ,ชุมพร,มัธยมศึกษา
โรงเรียนทุ่งคาพิทยาคาร,ทุ่งคา,เมืองชุมพร,ชุมพร,มัธยมศึกษา
โรงเรียนทุ่งตะโกวิทยา,ทุ่งตะไคร,ทุ่งตะโก,ชุมพร,มัธยมศึกษา
โรงเรียนนาสักวิทยา,นาสัก,สวี,ชุมพร,มัธยมศึกษา
โรงเรียนปะทิววิทยา,บางสน,ปะทิว,ชุมพร,มัธยมศึกษา
โรงเรียนปากน้ำชุมพรวิทยา,หาดทรายรี,เมืองชุมพร,ชุมพร,มัธยมศึกษา
โรงเรียนปากน้ำหลังสวนวิทยา,ปากน้ำ,หลังสวน,ชุมพร,มัธยมศึกษา
โรงเรียนพะโต๊ะวิทยา,พะโต๊ะ,พะโต๊ะ,ชุมพร,มัธยมศึกษา
โรงเรียนมาบอำมฤตวิทยา,ดอนยาง,ปะทิว,ชุมพร,มัธยมศึกษา
โรงเรียนเมืองหลังสวน,วังตะกอ,หลังสวน,ชุมพร,มัธยมศึกษา
โรงเรียนละแมวิทยา,ละแม,ละแม,ชุมพร,มัธยมศึกษา
โรงเรียนศรียาภัย,ท่าตะเภา,เมืองชุมพร,ชุมพร,มัธยมศึกษา
โรงเรียนศรียาภัย 2,นาชะอัง,เมืองชุมพร,ชุมพร,มัธยมศึกษา
โรงเรียนสวนศรีวิทยา,หลังสวน,หลังสวน,ชุมพร,มัธยมศึกษา
โรงเรียนสวีวิทยา,นาโพธิ์,สวี,ชุมพร,มัธยมศึกษา
โรงเรียนสอาดเผดิมวิทยา,ท่าตะเภา,เมืองชุมพร,ชุมพร,มัธยมศึกษา
โรงเรียนหงษ์เจริญวิทยาคม,หงษ์เจริญ,ท่าแซะ,ชุมพร,มัธยมศึกษา
โรงเรียนชุมชนบ้านคุริง (มิตรภาพที่ 25),ทรัพย์อนันต์,ท่าแซะ,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านถ้ำสิงห์,ถ้ำสิงห์,เมืองชุมพร,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านทะเลทรัพย์,ทะเลทรัพย์,ปะทิว,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านนาชะอัง,นาชะอัง,เมืองชุมพร,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนประชานิคม,ท่าแซะ,ท่าแซะ,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนมาบอำมฤต,ดอนยาง,ปะทิว,ชุมพร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดหาดพันไกร,หาดพันไกร,เมืองชุมพร,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 66 (บ้านนาเนียน),วังใหม่,เมืองชุมพร,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 76 (บ้านพละ),เขาไชยราช,ปะทิว,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 77 (บ้านเนินสันติ),ท่าแซะ,ท่าแซะ,ชุมพร,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 78 (วัดสามัคคีชัย),สะพลี,ปะทิว,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกลาง,หงษ์เจริญ,ท่าแซะ,ชุมพร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแก่งเพกา,ทรัพย์อนันต์,ท่าแซะ,ชุมพร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาชันโต๊ะ,วิสัยเหนือ,เมืองชุมพร,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขาบ่อ,ทุ่งคา,เมืองชุมพร,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขาพาง,ท่าข้าม,ท่าแซะ,ชุมพร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขายาวราษฎร์พัฒนา,วิสัยเหนือ,เมืองชุมพร,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขาเลี้ยว,เขาไชยราช,ปะทิว,ชุมพร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาวง,บ้านนา,เมืองชุมพร,ชุมพร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองสูบ,วิสัยเหนือ,เมืองชุมพร,ชุมพร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคอกม้า,บางสน,ปะทิว,ชุมพร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคอเตี้ย,บางหมาก,เมืองชุมพร,ชุมพร,อนุบาล–ประถมศึกษา
