name,subDistrict,district,province,level
โรงเรียนกันตังพิทยากร,กันตัง,กันตัง,ตรัง,มัธยมศึกษา
โรงเรียนกันตังรัษฎาศึกษา,บ่อน้ำร้อน,กันตัง,ตรัง,มัธยมศึกษา
โรงเรียนคันธพิทยาคาร,ปะเหลียน,ปะเหลียน,ตรัง,มัธยมศึกษา
โรงเรียนตรังรังสฤษฎ์,ทุ่งค่าย,ย่านตาขาว,ตรัง,มัธยมศึกษา
โรงเรียนทุ่งยาวผดุงศิษย์,ทุ่งยาว,ปะเหลียน,ตรัง,มัธยมศึกษา
โรงเรียนทุ่งหนองแห้งประชาสรรค์,ในควน,ย่านตาขาว,ตรัง,มัธยมศึกษา
โรงเรียนนาโยงวิทยาคม,โคกสะบ้า,นาโยง,ตรัง,มัธยมศึกษา
โรงเรียนน้ำผุด,น้ำผุด,เมืองตรัง,ตรัง,มัธยมศึกษา
โรงเรียนในเตาพิทยาคม,ในเตา,ห้วยยอด,ตรัง,มัธยมศึกษา
โรงเรียนบางดีวิทยาคม,บางดี,ห้วยยอด,ตรัง,มัธยมศึกษา
โรงเรียนปะเหลียนผดุงศิษย์,สุโสะ,ปะเหลียน,ตรัง,มัธยมศึกษา
โรงเรียนย่านตาขาวรัฐชนูปถัมภ์,ย่านตาขาว,ย่านตาขาว,ตรัง,มัธยมศึกษา
โรงเรียนรัษฎา,คลองปาง,รัษฎา,ตรัง,มัธยมศึกษา
โรงเรียนรัษฎานุประดิษฐ์อนุสรณ์,วังมะปรางเหนือ,วังวิเศษ,ตรัง,มัธยมศึกษา
โรงเรียนลำภูราเรืองวิทย์,ลำภูรา,ห้วยยอด,ตรัง,มัธยมศึกษา
โรงเรียนวังวิเศษ,เขาวิเศษ,วังวิเศษ,ตรัง,มัธยมศึกษา
โรงเรียนวิเชียรมาตุ,โคกหล่อ,เมืองตรัง,ตรัง,มัธยมศึกษา
โรงเรียนวิเชียรมาตุ 2,โพรงจระเข้,ย่านตาขาว,ตรัง,มัธยมศึกษา
โรงเรียนวิเชียรมาตุ 3,นาบินหลา,เมืองตรัง,ตรัง,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย ตรัง,บางรัก,เมืองตรัง,ตรัง,มัธยมศึกษา
โรงเรียนสภาราชินี,ทับเที่ยง,เมืองตรัง,ตรัง,มัธยมศึกษา
โรงเรียนสภาราชินี 2,บางรัก,เมืองตรัง,ตรัง,มัธยมศึกษา
โรงเรียนสวัสดิ์รัตนาภิมุข,นาโยงเหนือ,นาโยง,ตรัง,มัธยมศึกษา
โรงเรียนสามัคคีศึกษา,นาวง,ห้วยยอด,ตรัง,มัธยมศึกษา
โรงเรียนสิเกาประชาผดุงวิทย์,บ่อหิน,สิเกา,ตรัง,มัธยมศึกษา
โรงเรียนห้วยนางราษฎร์บำรุง,ห้วยนาง,ห้วยยอด,ตรัง,มัธยมศึกษา
โรงเรียนห้วยยอด,ห้วยยอด,ห้วยยอด,ตรัง,มัธยมศึกษา
โรงเรียนหาดสำราญวิทยาคม,หาดสำราญ,หาดสำราญ,ตรัง,มัธยมศึกษา
โรงเรียนต้นบากราษฎร์บำรุง,นาพละ,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนทุ่งไทรทอง,สุโสะ,ปะเหลียน,ตรัง,ประถมศึกษา
โรงเรียนทุ่งรวงทอง,ท่าข้าม,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 39,นาโต๊ะหมิง,เมืองตรัง,ตรัง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทรงาม,นาหมื่นศรี,นาโยง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกลางนา,หนองตรุด,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะปุด,นาข้าวเสีย,นาโยง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาติง,ลิพัง,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาไม้แก้ว,ทุ่งค่าย,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาหลัก,น้ำผุด,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองเต็ง,นาท่ามเหนือ,เมืองตรัง,ตรัง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองทรายขาว,เกาะเปียะ,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองปะเหลียน,ทุ่งกระบือ,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองลำปริง,ละมอ,นาโยง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนเคี่ยม,ทุ่งค่าย,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนปริง,ควนปริง,เมืองตรัง,ตรัง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านควนโพธิ์,ย่านตาขาว,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนไม้ดำ,ปะเหลียน,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนยวน,ทุ่งค่าย,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนยาง,ทุ่งค่าย,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนสระแก้ว,นาโต๊ะหมิง,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนสวรรค์,นาหมื่นศรี,นาโยง,ตรัง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านควนอินทนินงาม,ทุ่งกระบือ,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกชะแง้,นาบินหลา,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกทราย,โพรงจระเข้,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกรัก,ตะเสะ,หาดสำราญ,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านช่อง,ช่อง,นาโยง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านด่าน,น้ำผุด,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านตะเสะ,ตะเสะ,หาดสำราญ,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทอนพลา,นาชุมเห็ด,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทอนหาน,ท่าข้าม,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าข้าม,ท่าข้าม,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าคลอง,สุโสะ,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าเทศ,สุโสะ,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าบันได,ทุ่งกระบือ,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งกอ,บ้าหวี,หาดสำราญ,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งเกาะญวน,หนองบ่อ,ย่านตาขาว,ตรัง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านทุ่งค่าย,ทุ่งค่าย,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งนา,น้ำผุด,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งนา,เกาะเปียะ,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งปาหนัน,ลิพัง,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งมะขามป้อม,ทุ่งยาว,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งยาว,ทุ่งยาว,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งศาลา,ในควน,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งส้มป่อย,ละมอ,นาโยง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งหนองแห้ง,ในควน,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไทรงาม,นาชุมเห็ด,ย่านตาขาว,ตรัง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาโตง,ทุ่งกระบือ,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาทะเล,ตะเสะ,หาดสำราญ,ตรัง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาทุ่ง,แหลมสอม,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนานิน,ทุ่งกระบือ,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาป้อ,ควนปริง,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนายายหม่อม,ย่านตาขาว,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านในควน,ในควน,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบกหัก,หาดสำราญ,หาดสำราญ,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบางด้วน,บางด้วน,ปะเหลียน,ตรัง,ประถมศึกษา
โรงเรียนบ้านบางยาง,นาท่ามเหนือ,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบ้าหวี,บ้าหวี,หาดสำราญ,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปะเหลียน,ปะเหลียน,ปะเหลียน,ตรัง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านปากปรน,หาดสำราญ,หาดสำราญ,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปากไพ,หนองตรุด,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปากห้วย,น้ำผุด,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าแก่,บางด้วน,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโพรงจระเข้,โพรงจระเข้,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านยวนโปะ,บางด้วน,ปะเหลียน,ตรัง,ประถมศึกษา
โรงเรียนบ้านย่านตาขาว,ย่านตาขาว,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านยูงงาม,โพรงจระเข้,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไร่พรุ,น้ำผุด,เมืองตรัง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไร่หลวง,โคกสะบ้า,นาโยง,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านลำแคลง,ปะเหลียน,ปะเหลียน,ตรัง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านลำปลอกเหนือ,ปะเหลียน,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านลำพิกุล,นาชุมเห็ด,ย่านตาขาว,ตรัง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านลิพัง,ลิพัง,ปะเหลียน,ตรัง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านวังศิลา,บ้านนา,ปะเหลียน,ตรัง,อนุบาล–ประถมศึกษา
