name,subDistrict,district,province,level
โรงเรียนเกาะกูดวิทยาคม,เกาะกูด,เกาะกูด,ตราด,มัธยมศึกษา
โรงเรียนเกาะช้างวิทยาคม,เกาะช้าง,เกาะช้าง,ตราด,อนุบาล–มัธยมศึกษา
โรงเรียนเขาน้อยวิทยาคม,ห้วยแร้ง,เมืองตราด,ตราด,มัธยมศึกษา
"โรงเรียนเขาสมิงวิทยาคม ""จงจินต์รุจิรวงศ์อุปถัมภ์""",เขาสมิง,เขาสมิง,ตราด,มัธยมศึกษา
โรงเรียนคลองใหญ่วิทยาคม,คลองใหญ่,คลองใหญ่,ตราด,มัธยมศึกษา
โรงเรียนตราดสรรเสริญวิทยาคม,วังกระแจะ,เมืองตราด,ตราด,มัธยมศึกษา
โรงเรียนตราษตระการคุณ,วังกระแจะ,เมืองตราด,ตราด,มัธยมศึกษา
โรงเรียนเนินทรายวิทยาคม,เนินทราย,เมืองตราด,ตราด,มัธยมศึกษา
โรงเรียนบ่อไร่วิทยาคม,บ่อพลอย,บ่อไร่,ตราด,มัธยมศึกษา
โรงเรียนประณีตวิทยาคม,ประณีต,เขาสมิง,ตราด,มัธยมศึกษา
โรงเรียนวัดคิรีวิหาร (สมเด็จพระวันรัตอุปถัมภ์),ชำราก,เมืองตราด,ตราด,อนุบาล–มัธยมศึกษา
โรงเรียนสตรีประเสริฐศิลป์,วังกระแจะ,เมืองตราด,ตราด,มัธยมศึกษา
โรงเรียนสะตอวิทยาคม รัชมังคลาภิเษก,สะตอ,เขาสมิง,ตราด,มัธยมศึกษา
โรงเรียนหนองบอนวิทยาคม,หนองบอน,บ่อไร่,ตราด,มัธยมศึกษา
โรงเรียนแหลมงอบวิทยาคม,แหลมงอบ,แหลมงอบ,ตราด,มัธยมศึกษา
โรงเรียนอ่าวใหญ่พิทยาคาร,อ่าวใหญ่,เมืองตราด,ตราด,มัธยมศึกษา
โรงเรียนคลองขวาง,ท่ากุ่ม,เมืองตราด,ตราด,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนคีรีศรีสาครวิทยา,หนองบอน,บ่อไร่,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านเขาสมิง,เขาสมิง,เขาสมิง,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านเขาสมิง สาขาวัดลำภูราย,เขาสมิง,เขาสมิง,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านตากแว้ง,บ่อพลอย,บ่อไร่,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดท่าพริก (จริยาอุปถัมภ์),ท่าพริก,เมืองตราด,ตราด,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดบ่อไร่,บ่อพลอย,บ่อไร่,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดบางกระดาน (สวนราษฎร์บำรุง),บางปิด,แหลมงอบ,ตราด,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดแสนตุ้ง,แสนตุ้ง,เขาสมิง,ตราด,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดอ่าวช่อ,อ่าวใหญ่,เมืองตราด,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนแหลมงอบ (นิเทศก์อุปถัมภ์),แหลมงอบ,แหลมงอบ,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 44 (บ้านนนทรีย์),นนทรีย์,บ่อไร่,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกษมสุข,เทพนิมิต,เขาสมิง,ตราด,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเกาะหมาก (สถิตย์สุทธิวงษ์),เกาะหมาก,เกาะกูด,ตราด,ประถมศึกษา
โรงเรียนบ้านโขดทราย,หาดเล็ก,คลองใหญ่,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองจาก,คลองใหญ่,คลองใหญ่,ตราด,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองเจ้า,เกาะกูด,เกาะกูด,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองประทุน,แหลมกลัด,เมืองตราด,ตราด,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองพร้าว,เกาะช้าง,เกาะช้าง,ตราด,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองมะขาม,หาดเล็ก,คลองใหญ่,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองมะนาว,ไม้รูด,คลองใหญ่,ตราด,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองศอก (เพิ่มประชาราษฎร์อุปถัมภ์),ท่าโสม,เขาสมิง,ตราด,อนุบาล–ประถมศึกษา
