name,subDistrict,district,province,level
โรงเรียนด่านแม่ละเมาวิทยาคม,ด่านแม่ละเมา,แม่สอด,ตาก,มัธยมศึกษา
โรงเรียนตากพิทยาคม,ระแหง,เมืองตาก,ตาก,มัธยมศึกษา
โรงเรียนถนอมราษฏร์บำรุง,หัวเดียด,เมืองตาก,ตาก,มัธยมศึกษา
โรงเรียนท่าสองยางวิทยาคม,แม่ต้าน,ท่าสองยาง,ตาก,มัธยมศึกษา
โรงเรียนทุ่งฟ้าวิทยาคม,ท้องฟ้า,บ้านตาก,ตาก,มัธยมศึกษา
โรงเรียนนาโบสถ์พิทยาคม,นาโบสถ์,วังเจ้า,ตาก,มัธยมศึกษา
"โรงเรียนบ้านตาก ""ประชาวิทยาคาร""",ตากออก,บ้านตาก,ตาก,มัธยมศึกษา
โรงเรียนผดุงปัญญา,ไม้งาม,เมืองตาก,ตาก,มัธยมศึกษา
โรงเรียนพบพระวิทยาคม,พบพระ,พบพระ,ตาก,มัธยมศึกษา
โรงเรียนแม่กุวิทยาคม,แม่กุ,แม่สอด,ตาก,มัธยมศึกษา
โรงเรียนแม่จะเราวิทยาคม,แม่จะเรา,แม่ระมาด,ตาก,มัธยมศึกษา
โรงเรียนแม่ปะวิทยาคม,แม่ปะ,แม่สอด,ตาก,มัธยมศึกษา
โรงเรียนแม่ระมาดวิทยาคม,แม่ระมาด,แม่ระมาด,ตาก,มัธยมศึกษา
โรงเรียนยกกระบัตรวิทยาคม,ยกกระบัตร,สามเงา,ตาก,มัธยมศึกษา
โรงเรียนวังเจ้าวิทยาคม,เชียงทอง,วังเจ้า,ตาก,มัธยมศึกษา
โรงเรียนวังประจบวิทยาคม,วังประจบ,เมืองตาก,ตาก,มัธยมศึกษา
โรงเรียนวังหินกิตติวิทยาคม,วังหิน,เมืองตาก,ตาก,มัธยมศึกษา
โรงเรียนสรรพวิทยาคม,แม่สอด,แม่สอด,ตาก,มัธยมศึกษา
โรงเรียนสามเงาวิทยาคม,สามเงา,สามเงา,ตาก,มัธยมศึกษา
โรงเรียนอุ้มผางวิทยาคม,อุ้มผาง,อุ้มผาง,ตาก,มัธยมศึกษา
โรงเรียนอนุบาลเพ็ชระ,เชียงทอง,"อำเภอ จังหวัด
อำเภอ",ตาก,อนุบาล-ประถมศึกษา
โรงเรียนขุนห้วยตากพัฒนาศึกษา,ท้องฟ้า,บ้านตาก,ตาก,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเขื่อนภูมิพล,สามเงา,สามเงา,ตาก,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนชลประทานรังสรรค์,สามเงา,สามเงา,ตาก,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านป่ามะม่วง,ป่ามะม่วง,เมืองตาก,ตาก,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านแม่ยะ,เกาะตะเภา,บ้านตาก,ตาก,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านแม่ระวานสองแคว,ยกกระบัตร,สามเงา,ตาก,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านไม้งาม,ไม้งาม,เมืองตาก,ตาก,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านวังหิน,วังหิน,เมืองตาก,ตาก,อนุบาล–ประถมศึกษา
