name,subDistrict,district,province,level
โรงเรียนเขาเพิ่มนารีผลวิทยา,เขาเพิ่ม,บ้านนา,นครนายก,มัธยมศึกษา
โรงเรียนนครนายกวิทยาคม,นครนายก,เมืองนครนายก,นครนายก,มัธยมศึกษา
โรงเรียนนวมราชานุสรณ์,ท่าช้าง,เมืองนครนายก,นครนายก,มัธยมศึกษา
"โรงเรียนบ้านนา ""นายกพิทยากร""",บ้านนา,บ้านนา,นครนายก,มัธยมศึกษา
โรงเรียนปากพลีวิทยาคาร,ปากพลี,ปากพลี,นครนายก,มัธยมศึกษา
โรงเรียนปิยชาติพัฒนา ในพระราชูปถัมภ์ฯ,พรหมณี,เมืองนครนายก,นครนายก,มัธยมศึกษา
โรงเรียนเมืองนครนายก,ท่าช้าง,เมืองนครนายก,นครนายก,มัธยมศึกษา
โรงเรียนภัทรพิทยาจารย์,พระอาจารย์,องครักษ์,นครนายก,มัธยมศึกษา
โรงเรียนเลขธรรมกิตติ์วิทยาคม,บางอ้อ,บ้านนา,นครนายก,มัธยมศึกษา
โรงเรียนองครักษ์,องครักษ์,องครักษ์,นครนายก,มัธยมศึกษา
โรงเรียนอุบลรัตนราชกัญญาราชวิทยาลัย นครนายก,ศรีจุฬา,เมืองนครนายก,นครนายก,มัธยมศึกษา
โรงเรียนชลนายกสงเคราะห์,ท่าช้าง,เมืองนครนายก,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านคลองเหมือง,วังกระโจม,เมืองนครนายก,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านวังไทร (วังไทรวิทยาคม),บ้านนา,บ้านนา,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดเชี่ยวโอสถ,คลองใหญ่,องครักษ์,นครนายก,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดป่าขะ,ป่าขะ,บ้านนา,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดศรีนาวา (ดิลกชนศรีนาวา),ศรีนาวา,เมืองนครนายก,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดอำภาศิริวงศ์ มิตรภาพที่ 162,คลองใหญ่,องครักษ์,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 73 (วัดบ้านพร้าว),บ้านพร้าว,บ้านนา,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกลางคลอง 30,บางปลากด,องครักษ์,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกำแพงเศียร,ศรีจุฬา,เมืองนครนายก,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาดิน (แสงสว่างวิทยา),ศรีกะอาง,บ้านนา,นครนายก,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขาเพิ่ม,เขาเพิ่ม,บ้านนา,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาไม้ไผ่,เขาเพิ่ม,บ้านนา,นครนายก,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขาส่องกล้อง,เขาเพิ่ม,บ้านนา,นครนายก,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขาหัวนา,เขาเพิ่ม,บ้านนา,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลอง 1,ทรายมูล,องครักษ์,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลอง 3 (ดรุณศึกษา),ดอนยอ,เมืองนครนายก,นครนายก,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลอง 3 วิทยา (ประชาสามัคคี),ดอนยอ,เมืองนครนายก,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลอง 14,ชุมพล,องครักษ์,นครนายก,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลอง 22 (อาจเอิบจิตรอุปถัมภ์),ศีรษะกระบือ,องครักษ์,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลอง 23,ศีรษะกระบือ,องครักษ์,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลอง 24,ศีรษะกระบือ,องครักษ์,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลอง 30,ทองหลาง,บ้านนา,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลอง 31,บ้านพริก,บ้านนา,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลอง 33,บ้านพริก,บ้านนา,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองหกวา,พระอาจารย์,องครักษ์,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองใหญ่,คลองใหญ่,องครักษ์,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกสว่าง,นาหินลาด,ปากพลี,นครนายก,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านชวดบัว (ถวัลย์เจริญราษฎร์วิทยา),ดอนยอ,เมืองนครนายก,นครนายก,อนุบาล–ประถมศึกษา
โรงเรียนบ้านช่องตะเคียน (ละเอียดวารีอุปถัมภ์),พระอาจารย์,องครักษ์,นครนายก,อนุบาล–ประถมศึกษา
