name,subDistrict,district,province,level
โรงเรียนกาญจนาภิเษกวิทยาลัย นครปฐม (พระตำหนักสวนกุหลาบมัธยม),ศาลายา,พุทธมณฑล,นครปฐม,มัธยมศึกษา
โรงเรียนกำแพงแสนวิทยา,ทุ่งกระพังโหม,กำแพงแสน,นครปฐม,มัธยมศึกษา
โรงเรียนคงทองวิทยา,สามง่าม,ดอนตูม,นครปฐม,มัธยมศึกษา
โรงเรียนงิ้วรายบุญมีรังสฤษดิ์,งิ้วราย,นครชัยศรี,นครปฐม,มัธยมศึกษา
โรงเรียนบัวปากท่าวิทยา,บัวปากท่า,บางเลน,นครปฐม,มัธยมศึกษา
โรงเรียนบางเลนวิทยา,บางเลน,บางเลน,นครปฐม,มัธยมศึกษา
โรงเรียนบางหลวงวิทยา,บางหลวง,บางเลน,นครปฐม,มัธยมศึกษา
โรงเรียนบ้านหลวงวิทยา,บ้านหลวง,ดอนตูม,นครปฐม,มัธยมศึกษา
โรงเรียนปรีดารามวิทยาคม,คลองจินดา,สามพราน,นครปฐม,มัธยมศึกษา
โรงเรียนพระปฐมวิทยาลัย,พระปฐมเจดีย์,เมืองนครปฐม,นครปฐม,มัธยมศึกษา
โรงเรียนพระปฐมวิทยาลัย 2 หลวงพ่อเงินอนุสรณ์,ดอนยายหอม,เมืองนครปฐม,นครปฐม,มัธยมศึกษา
โรงเรียนพลอยจาตุรจินดา,ท่าพระยา,นครชัยศรี,นครปฐม,มัธยมศึกษา
โรงเรียนเพิ่มวิทยา,นครชัยศรี,นครชัยศรี,นครปฐม,มัธยมศึกษา
โรงเรียนโพรงมะเดื่อวิทยาคม,โพรงมะเดื่อ,เมืองนครปฐม,นครปฐม,มัธยมศึกษา
โรงเรียน ภ.ป.ร. ราชวิทยาลัย ในพระบรมราชูปถัมภ์,ท่าตลาด,สามพราน,นครปฐม,ประถมศึกษา–มัธยมศึกษา
โรงเรียนภัทรญาณวิทยา,วัดแค,นครชัยศรี,นครปฐม,มัธยมศึกษา
โรงเรียนมัธยมฐานบินกำแพงแสน,กระตีบ,กำแพงแสน,นครปฐม,มัธยมศึกษา
โรงเรียนรัตนโกสินทร์สมโภชบวรนิเวศศาลายา ในพระสังฆราชูปถัมภ์,ศาลายา,พุทธมณฑล,นครปฐม,มัธยมศึกษา
โรงเรียนราชินีบูรณะ,พระปฐมเจดีย์,เมืองนครปฐม,นครปฐม,มัธยมศึกษา
โรงเรียนวัดไร่ขิงวิทยา,สามพราน,สามพราน,นครปฐม,มัธยมศึกษา
โรงเรียนวัดห้วยจรเข้วิทยาคม,พระปฐมเจดีย์,เมืองนครปฐม,นครปฐม,มัธยมศึกษา
โรงเรียนศรีวิชัยวิทยา,วังตะกู,เมืองนครปฐม,นครปฐม,มัธยมศึกษา
โรงเรียนศาลาตึกวิทยา,ทุ่งลูกนก,กำแพงแสน,นครปฐม,มัธยมศึกษา
โรงเรียนสถาพรวิทยา,ลำพญา,บางเลน,นครปฐม,มัธยมศึกษา
โรงเรียนสระกะเทียมวิทยาคม (สังวรเจษฎ์ประภาคมอุปถัมภ์),สระกะเทียม,เมืองนครปฐม,นครปฐม,มัธยมศึกษา
โรงเรียนสามพรานวิทยา,ยายชา,สามพราน,นครปฐม,มัธยมศึกษา
โรงเรียนสิรินธรราชวิทยาลัย,สนามจันทร์,เมืองนครปฐม,นครปฐม,มัธยมศึกษา
โรงเรียนแหลมบัววิทยา,แหลมบัว,นครชัยศรี,นครปฐม,มัธยมศึกษา
โรงเรียนอุบลรัตนราชกัญญาราชวิทยาลัย นครปฐม,บางแก้ว,นครชัยศรี,นครปฐม,มัธยมศึกษา
โรงเรียนบ้านคลองตัน,วังน้ำเขียว,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองยาง,บ้านยาง,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคอวัง,บ้านยาง,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแจงงาม,ห้วยพระ,ดอนตูม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนซาก,วังน้ำเขียว,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนทอง,ดอนข่อย,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านต้นสำโรง,ธรรมศาลา,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งน้อย,ทุ่งน้อย,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งหัวพรหม,หนองปากโลง,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาสร้าง,นครปฐม,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบ่อน้ำพุ,ทุ่งขวาง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบัวแดง,ห้วยหมอนทอง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านมาบแค,ตาก้อง,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านรางมะเดื่อ,สามควายเผือก,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านรางมูก,ลำเหย,ดอนตูม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านรางอีเม้ย,ห้วยขวาง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไร่ต้นสำโรง,วังเย็น,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านลำท่าโพ,ทุ่งน้อย,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านลำพยา,ลำพยา,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสระน้ำส้ม,ห้วยขวาง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสามแก้ว (นาถอำนวยวิทย์),ห้วยพระ,ดอนตูม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสามัคคี,สระพัฒนา,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองกร่าง,ทุ่งลูกนก,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองกะโดน,บ้านยาง,เมืองนครปฐม,นครปฐม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านหนองแก,หนองงูเหลือม,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองขาม,ทุ่งขวาง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองขาหยั่ง,สนามจันทร์,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองเขมร,หนองกระทุ่ม,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองงูเหลือม (ประชารัฐบำรุง),หนองงูเหลือม,เมืองนครปฐม,นครปฐม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านหนองปากโลง,หนองปากโลง,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองพงนก,สระพัฒนา,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองพงเล็ก,สระสี่มุม,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองไม้งาม,ทุ่งบัว,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองโสน,ห้วยหมอนทอง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองหิน,ลำพยา,เมืองนครปฐม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหลักเมตร,ทุ่งขวาง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยขวาง,ห้วยขวาง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยด้วน,รางพิกุล,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยรางเกตุ,ทุ่งลูกนก,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหัวถนน,ดอนพุทรา,ดอนตูม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแหลมกะเจา,ลำลูกบัว,ดอนตูม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านใหม่,ลำเหย,ดอนตูม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านอ้อกระทิง,ห้วยขวาง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านอ้อกระทุง,ทุ่งลูกนก,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนประถมฐานบินกำแพงแสน,กระตีบ,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนเมืองเก่ากำแพงแสน,ทุ่งขวาง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนละเอียดอุปถัมภ์,ดอนพุทรา,ดอนตูม,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนวัดกงลาด,ห้วยด้วน,ดอนตูม,นครปฐม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดกำแพงแสน,ห้วยหมอนทอง,กำแพงแสน,นครปฐม,อนุบาล–ประถมศึกษา
โรงเรียนวัดเกาะวังไทร,ถนนขาด,เมืองนครปฐม,นครปฐม,อนุบาล–มัธยมศึกษาตอนต้น
