name,subDistrict,district,province,level
โรงเรียนกุดฉิมวิทยาคม,กุดฉิม,ธาตุพนม,นครพนม,มัธยมศึกษา
โรงเรียนกุตาไก้วิทยาคม,กุตาไก้,ปลาปาก,นครพนม,มัธยมศึกษา
โรงเรียนค้อวิทยาคม,บ้านค้อ,โพนสวรรค์,นครพนม,มัธยมศึกษา
โรงเรียนคำเตยอุปถัมภ์,คำเตย,เมืองนครพนม,นครพนม,มัธยมศึกษา
โรงเรียนโคกสว่างประชาสรรค์,โคกสว่าง,ปลาปาก,นครพนม,มัธยมศึกษา
โรงเรียนเชียงยืนวิทยา,เวินพระบาท,ท่าอุเทน,นครพนม,มัธยมศึกษา
โรงเรียนไชยบุรีวิทยาคม,ไชยบุรี,ท่าอุเทน,นครพนม,มัธยมศึกษา
โรงเรียนดงดาวแจ้งพัฒนศึกษา,นาขาม,เรณูนคร,นครพนม,มัธยมศึกษา
โรงเรียนดอนเสียวแดงพิทยาคม,บ้านเสียว,นาหว้า,นครพนม,มัธยมศึกษา
โรงเรียนท่าจำปาวิทยา,ท่าจำปา,ท่าอุเทน,นครพนม,มัธยมศึกษา
โรงเรียนธรรมโฆษิตวิทยา,โคกสูง,ปลาปาก,นครพนม,มัธยมศึกษา
โรงเรียนธรรมากรวิทยานุกูล,พุ่มแก,นาแก,นครพนม,มัธยมศึกษา
โรงเรียนธาตุพนม,ธาตุพนม,ธาตุพนม,นครพนม,มัธยมศึกษา
โรงเรียนนครพนมวิทยาคม,ในเมือง,เมืองนครพนม,นครพนม,มัธยมศึกษา
โรงเรียนนาแกพิทยาคม,นาแก,นาแก,นครพนม,มัธยมศึกษา
โรงเรียนนาแกสามัคคีวิทยา,บ้านแก้ง,นาแก,นครพนม,มัธยมศึกษา
โรงเรียนนาคำราษฎร์รังสรรค์,นาคำ,ศรีสงคราม,นครพนม,มัธยมศึกษา
โรงเรียนนางัวราษฎร์รังสรรค์,นางัว,นาหว้า,นครพนม,มัธยมศึกษา
โรงเรียนนาเดื่อพิทยาคม,นาเดื่อ,ศรีสงคราม,นครพนม,มัธยมศึกษา
โรงเรียนนาถ่อนพัฒนา,นาถ่อน,ธาตุพนม,นครพนม,มัธยมศึกษา
โรงเรียนนาทมวิทยา,นาทม,นาทม,นครพนม,มัธยมศึกษา
"โรงเรียนนาหว้าพิทยาคม ""ธาตุประสิทธิ์ประชานุเคราะห์""",นาหว้า,นาหว้า,นครพนม,มัธยมศึกษา
โรงเรียนบ้านข่าพิทยาคม,บ้านข่า,ศรีสงคราม,นครพนม,มัธยมศึกษา
โรงเรียนบ้านผึ้งวิทยาคม,บ้านผึ้ง,เมืองนครพนม,นครพนม,มัธยมศึกษา
โรงเรียนบ้านแพงพิทยาคม,บ้านแพง,บ้านแพง,นครพนม,มัธยมศึกษา
โรงเรียนปลาปากวิทยา,ปลาปาก,ปลาปาก,นครพนม,มัธยมศึกษา
โรงเรียนปิยะมหาราชาลัย,ในเมือง,เมืองนครพนม,นครพนม,มัธยมศึกษา
โรงเรียนพระซองสามัคคีวิทยา,พระซอง,นาแก,นครพนม,มัธยมศึกษา
โรงเรียนพะทายพิทยาคม,พะทาย,ท่าอุเทน,นครพนม,มัธยมศึกษา
โรงเรียนโพนแพงพิทยาคม,โพนแพง,ธาตุพนม,นครพนม,มัธยมศึกษา
โรงเรียนโพนสวรรค์ราษฎร์พัฒนา,โพนสวรรค์,โพนสวรรค์,นครพนม,มัธยมศึกษา
โรงเรียนภูลังกาพิทยาคม,โพนทอง,บ้านแพง,นครพนม,มัธยมศึกษา
โรงเรียนมหาชัยวิทยาคม,มหาชัย,ปลาปาก,นครพนม,มัธยมศึกษา
โรงเรียนมัธยมพัชรกิติยาภา 1 นครพนม,หนองฮี,ปลาปาก,นครพนม,มัธยมศึกษา
โรงเรียนรามราชพิทยาคม,รามราช,ท่าอุเทน,นครพนม,มัธยมศึกษา
โรงเรียนเรณูนครวิทยานุกูล,เรณู,เรณูนคร,นครพนม,มัธยมศึกษา
โรงเรียนวังกระแสวิทยาคม,บ้านผึ้ง,เมืองนครพนม,นครพนม,มัธยมศึกษา
โรงเรียนวังยางวิทยาคม,วังยาง,วังยาง,นครพนม,มัธยมศึกษา
โรงเรียนวัดบึงเหล็ก ในพระบรมราชานุเคราะห์,ดอนนางหงส์,ธาตุพนม,นครพนม,มัธยมศึกษา
โรงเรียนศรีโคตรบูรณ์,บ้านกลาง,เมืองนครพนม,นครพนม,มัธยมศึกษา
โรงเรียนศรีบัวบานวิทยาคม,นาราชควาย,เมืองนครพนม,นครพนม,มัธยมศึกษา
โรงเรียนสนธิราษฎร์วิทยา,บ้านเอื้อง,ศรีสงคราม,นครพนม,มัธยมศึกษา
โรงเรียนสหราษฎร์รังสฤษดิ์,ศรีสงคราม,ศรีสงคราม,นครพนม,มัธยมศึกษา
โรงเรียนสามผงวิทยาคม,สามผง,ศรีสงคราม,นครพนม,มัธยมศึกษา
โรงเรียนหนองซนพิทยาคม,หนองซน,นาทม,นครพนม,มัธยมศึกษา
โรงเรียนหนองบ่อวิทยานุกูล,หนองบ่อ,นาแก,นครพนม,มัธยมศึกษา
โรงเรียนหนองโพธิ์พิทยาคม,หนองโพธิ์,วังยาง,นครพนม,มัธยมศึกษา
โรงเรียนหนองแวงวิทยานุกูล,หนองแวง,บ้านแพง,นครพนม,มัธยมศึกษา
โรงเรียนอุดมพัฒนศึกษา,เหล่าพัฒนา,นาหว้า,นครพนม,มัธยมศึกษา
โรงเรียนอุเทนพัฒนา,โนนตาล,ท่าอุเทน,นครพนม,มัธยมศึกษา
โรงเรียนอุ่มเหม้าประชาสรรค์,อุ่มเหม้า,ธาตุพนม,นครพนม,มัธยมศึกษา
โรงเรียนชุมชนนามนวิทยาคาร,บ้านผึ้ง,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านพิมาน,พิมาน,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านพุ่มแก,พุ่มแก,นาแก,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านหนองย่างซี้น,หนองย่างชิ้น,เรณูนคร,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนหนองฮีสามัคคี,หนองฮี,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนดงสว่างเจริญวิทย์,บ้านผึ้ง,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนดอนนางหงส์บูรพาสงเคราะห์,ดอนนางหงส์,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนดอนเหลืองทองวิทยา,ก้านเหลือง,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนต้นแหนสร้างติ่ววิทยานุกูล,นาแก,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 50 (บ้านคำพี้),คำพี้,นาแก,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนธารน้ำใจ,พิมาน,นาแก,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนนางามวิทยาคาร,นางาม,เรณูนคร,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนนาถ่อนท่าวิทยาคาร,นาถ่อน,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนนาถ่อนวิทยานุกูล,นาถ่อน,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนนาผือบอนราษฎร์นุกูล,คำพี้,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนนาเหนือทุ่งทองวิทยา,พระซอง,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนนาฮุมอุดมสวรรค์สามัคคี,นาเลียง,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ่อดอกซ้อนท่าวัด,พระซอง,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกกไฮ,ดงขวาง,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกล้วย,ขามเฒ่า,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกลางน้อย,บ้านกลาง,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกลางบ้านหนาด,บ้านกลาง,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกลางมูลอ้น,คำพี้,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกอก,ปลาปาก,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุงโกน,หนองฮี,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุดฉิม,กุดฉิม,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุตาไก้,กุตาไก้,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุรุคุ,กุรุคุ,เมืองนครพนม,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแก่งโพธิ์,น้ำก่ำ,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแก้งสีลารมณ์สามัคคี,บ้านแก้ง,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขอนกองโพนทอง,นาหนาด,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขอนขว้าง,นาหนาด,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขามเฒ่า,ขามเฒ่า,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแขนนาง,นาคู่,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคับพวง,น้ำก่ำ,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคำเตย,คำเตย,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคำชะอี,นาหนาด,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคำผาสุก,เรณู,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคำพอก,หนองญาติ,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคำเม็ก,นาแก,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคำสว่าง,วังตามัว,เมืองนครพนม,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโคกกลาง,ปลาปาก,ปลาปาก,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโคกกลาง,เรณูใต้,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกกลางแก้งน้อย (กัลยาโนอุปถัมภ์),นาแก,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกก่อง,โพธิ์ตาก,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกสว่าง,โคกสว่าง,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกสว่าง (เรืองศิษย์วิทยานุกูล),ดอนนางหงส์,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกสีมิตรภาพที่ 87,โคกสี,วังยาง,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกสูง,โคกสูง,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกหินแฮ่,โคกหินแฮ่,เรณูนคร,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านจรุกเตย,หนองฮี,ปลาปาก,นครพนม,ประถมศึกษา
โรงเรียนบ้านจอมมณี,พิมาน,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านจำปา,ก้านเหลือง,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านชะโงมนาโดน,ขามเฒ่า,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านชะโนต,ขามเฒ่า,เมืองนครพนม,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านชาติพัฒนาสันติสุข,อุ่มเหม้า,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโชคอำนวย,วังตามัว,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไทยสามัคคี,กุรุคุ,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงโชค,หนองญาติ,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงดู่งาม,หนองบ่อ,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงต้อง (ดงขวางราษฎร์บำรุง),ดงขวาง,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงติ้ว,บ้านกลาง,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงน้อยพัฒนา,พิมาน,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงบาก,โพนทอง,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงป่ายูง,นาถ่อน,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงมะเอก,โพนทอง,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงยอ,บ้านกลาง,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงยอ,นาถ่อน,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงอินำ,พระซอง,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนกกโพธิ์ค่ายเสรีวิทยา,นางาม,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนกลาง,มหาชัย,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนขาว,นาขาม,เรณูนคร,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านดอนข้าวหลาม,น้ำก่ำ,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนดู่,กุตาไก้,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนแดง,ธาตุพนมเหนือ,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนแดงเจริญทอง,คำเตย,เมืองนครพนม,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านดอนโทน,ก้านเหลือง,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนนางหงส์ (หงส์ทองวิทยาคาร),ดอนนางหงส์,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนม่วง,บ้านผึ้ง,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนยานาง,นาทราย,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนสวรรค์,อุ่มเหม้า,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดินดำหมากเฟือง,หนองบ่อ,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านต้อง (ศรีบัวบานวิทยาคาร),ฝั่งแดง,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านตับเต่าโนนจันทร์,พุ่มแก,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านตับเต่าหนองเทาสามัคคี,หนองเทาใหญ่,ปลาปาก,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านตาลกุดยางเดี่ยวโนนสมบูรณ์,โพนแพง,ธาตุพนม,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านถาวรนาอุดม,มหาชัย,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทรายมูลคำผักแพว,น้ำก่ำ,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทันสมัย,มหาชัย,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าค้อ (ชุณห์ประสาทศิลป์),ท่าค้อ,เมืองนครพนม,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านท่าลาด (ราษฎร์วิทยานุกูล),ท่าลาด,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งมน,คำเตย,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งสว่าง,เรณูใต้,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทู้ (สามัคคีวิทยา),น้ำก่ำ,ธาตุพนม,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านธาตุน้อยศรีบุญเรือง (พระราชธีราจารย์-ประชาอุปถัมภ์),พระกลางทุ่ง,ธาตุพนม,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนกเหาะ,โคกสูง,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านน้อยใต้,หนองญาติ,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนากุงยางคำ,หนองบ่อ,นาแก,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาแกน้อย (นทพ.อุปถัมภ์),บ้านแก้ง,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาแกบึงเหล็ก,ดอนนางหงส์,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาขาม,ปลาปาก,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาขาม,นาขาม,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาขามส้มป่อย,วังยาง,วังยาง,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาคอกควาย,ดงขวาง,เมืองนครพนม,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาคำ,น้ำก่ำ,ธาตุพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาคำโนนขาม,นาทราย,เมืองนครพนม,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาคู่,นาคู่,นาแก,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนางเลิศ,พุ่มแก,นาแก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนางาม,กุตาไก้,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาเชือก,หนองเทาใหญ่,ปลาปาก,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาดอกไม้,กุตาไก้,ปลาปาก,นครพนม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาดี,หนองย่างชิ้น,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาโดนเก่า,เรณูใต้,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาโดนใหม่,โคกหินแฮ่,เรณูนคร,นครพนม,อนุบาล–ประถมศึกษา
