name,subDistrict,district,province,level
โรงเรียนกระเบื้องนอกพิทยาคม,กระเบื้องนอก,เมืองยาง,นครราชสีมา,มัธยมศึกษา
โรงเรียนเกล็ดลิ้นวิทยา,ขุนทอง,บัวใหญ่,นครราชสีมา,มัธยมศึกษา
โรงเรียนแก้งสนามนางพิทยาคม,แก้งสนามนาง,แก้งสนามนาง,นครราชสีมา,มัธยมศึกษา
โรงเรียนขามทะเลสอวิทยา,ขามทะเลสอ,ขามทะเลสอ,นครราชสีมา,มัธยมศึกษา
โรงเรียนขามสะแกแสง,ขามสะแกแสง,ขามสะแกแสง,นครราชสีมา,มัธยมศึกษา
โรงเรียนโคราชพิทยาคม,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนจระเข้หินสังฆกิจวิทยา,จระเข้หิน,ครบุรี,นครราชสีมา,มัธยมศึกษา
โรงเรียนจักราชวิทยา,จักราช,จักราช,นครราชสีมา,มัธยมศึกษา
โรงเรียนชุมพวงศึกษา,ชุมพวง,ชุมพวง,นครราชสีมา,มัธยมศึกษา
โรงเรียนโชคชัยสามัคคี,โชคชัย,โชคชัย,นครราชสีมา,มัธยมศึกษา
โรงเรียนท่าช้างราษฎร์บำรุง,ช้างทอง,เฉลิมพระเกียรติ,นครราชสีมา,มัธยมศึกษา
โรงเรียนเทพาลัย,เทพาลัย,คง,นครราชสีมา,มัธยมศึกษา
โรงเรียนธารปราสาทเพชรวิทยา,ธารปราสาท,โนนสูง,นครราชสีมา,มัธยมศึกษา
โรงเรียนโนนสมบูรณ์วิทยา,โนนสมบูรณ์,เสิงสาง,นครราชสีมา,มัธยมศึกษา
โรงเรียนโนนสูงศรีธานี,โนนสูง,โนนสูง,นครราชสีมา,มัธยมศึกษา
โรงเรียนนิคมพิมายศึกษา,นิคมสร้างตนเอง,พิมาย,นครราชสีมา,มัธยมศึกษา
โรงเรียนบ้านเหลื่อมพิทยาสรรพ์,บ้านเหลื่อม,บ้านเหลื่อม,นครราชสีมา,มัธยมศึกษา
โรงเรียนบึงพะไล,บึงพะไล,แก้งสนามนาง,นครราชสีมา,มัธยมศึกษา
โรงเรียนบุญวัฒนา,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนบุญวัฒนา 2,หัวทะเล,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนบุญเหลือวิทยานุสรณ์,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนบุญเหลือวิทยานุสรณ์ 2,หนองหอย,พระทองคำ,นครราชสีมา,มัธยมศึกษา
โรงเรียนปักธงชัยประชานิรมิต,เมืองปัก,ปักธงชัย,นครราชสีมา,มัธยมศึกษา
โรงเรียนปากช่อง,หนองสาหร่าย,ปากช่อง,นครราชสีมา,มัธยมศึกษา
โรงเรียนพิมายดำรงวิทยาคม,รังกาใหญ่,พิมาย,นครราชสีมา,มัธยมศึกษา
โรงเรียนพิมายวิทยา,ในเมือง,พิมาย,นครราชสีมา,มัธยมศึกษา
โรงเรียนพุดซาพิทยาคม,พุดซา,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนภู่วิทยา,โนนแดง,โนนแดง,นครราชสีมา,มัธยมศึกษา
โรงเรียนมหิศราธิบดี,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนมัธยมด่านขุนทด,ด่านขุนทด,ด่านขุนทด,นครราชสีมา,มัธยมศึกษา
โรงเรียนมัธยมวชิราลงกรณวราราม,หนองน้ำแดง,ปากช่อง,นครราชสีมา,มัธยมศึกษา
โรงเรียนมิตรภาพวิทยา,ดอนยาวใหญ่,โนนแดง,นครราชสีมา,มัธยมศึกษา
โรงเรียนเมืองคง,เมืองคง,คง,นครราชสีมา,มัธยมศึกษา
โรงเรียนเมืองพลับพลาพิทยาคม,เมืองพลับพลา,ห้วยแถลง,นครราชสีมา,มัธยมศึกษา
โรงเรียนราชสีมาวิทยาลัย,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนลำทะเมนไชยพิทยาคม,ขุย,ลำทะเมนชัย,นครราชสีมา,มัธยมศึกษา
โรงเรียนศรีสุขวิทยา,ดอนชมพู,โนนสูง,นครราชสีมา,มัธยมศึกษา
โรงเรียนสมเด็จพระธีรญาณมุนี,ตะคุ,ปักธงชัย,นครราชสีมา,มัธยมศึกษา
โรงเรียนสีดาวิทยา,โพนทอง,สีดา,นครราชสีมา,มัธยมศึกษา
โรงเรียนสุรธรรมพิทักษ์,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนสุรนารีวิทยา,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนสุรนารีวิทยา 2,หนองกระทุ่ม,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนเสิงสาง,เสิงสาง,เสิงสาง,นครราชสีมา,มัธยมศึกษา
โรงเรียนหนองกราดวัฒนา,หนองกราด,ด่านขุนทด,นครราชสีมา,มัธยมศึกษา
โรงเรียนหนองน้ำใสพิทยาคม,หนองน้ำใส,สีคิ้ว,นครราชสีมา,มัธยมศึกษา
โรงเรียนหนองบัวละครวิทยา,หนองบัวละคร,ด่านขุนทด,นครราชสีมา,มัธยมศึกษา
โรงเรียนหนองบุญมากประสงค์วิทยา,หนองหัวแรต,หนองบุญมาก,นครราชสีมา,มัธยมศึกษา
โรงเรียนห้วยแถลงพิทยาคม,ห้วยแถลง,ห้วยแถลง,นครราชสีมา,มัธยมศึกษา
โรงเรียนหันห้วยทรายพิทยาคม,หันห้วยทราย,ประทาย,นครราชสีมา,มัธยมศึกษา
โรงเรียนอุบลรัตนราชกัญญาราชวิทยาลัย นครราชสีมา,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,มัธยมศึกษา
โรงเรียนกันเกราพิทยาคม,ใหม่,โนนสูง,นครราชสีมา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนการไฟฟ้าส่วนภูมิภาคสงเคราะห์ 3 (บ้านใหม่เกษม),ธารปราสาท,โนนสูง,นครราชสีมา,อนุบาล–ประถมศึกษา
โรงเรียนเคหะประชาสามัคคี,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,อนุบาล–ประถมศึกษา
โรงเรียนโคกเพชรสระมโนรา,โคกกรวด,เมืองนครราชสีมา,นครราชสีมา,อนุบาล–ประถมศึกษา
โรงเรียนชลประทานสงเคราะห์,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านเพชร,บิง,โนนสูง,นครราชสีมา,อนุบาล–ประถมศึกษา
