name,subDistrict,district,province,level
โรงเรียนกรุงหยันวิทยาคาร,กรุงหยัน,ทุ่งใหญ่,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนกัลยาณีศรีธรรมราช,คลัง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนก้างปลาวิทยาคม,ที่วัง,ทุ่งสง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเกาะขันธ์ประชาภิบาล,เกาะขันธ์,ชะอวด,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนขนอมพิทยา,ขนอม,ขนอม,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนขอนหาดประชาสรรค์,ขอนหาด,ชะอวด,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนขุนทะเลวิทยาคม,ขุนทะเล,ลานสกา,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเขาพังไกร,เขาพังไกร,หัวไทร,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนคงคาประชารักษ์,กะหรอ,นบพิตำ,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนควนเกยสุทธิวิทยา,ควนเกย,ร่อนพิบูลย์,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนคีรีราษฎร์พัฒนา,หินตก,ร่อนพิบูลย์,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนฉลองรัฐราษฎร์อุทิศ,ฉลอง,สิชล,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนฉวางรัชดาภิเษก,ไสหร้า,ฉวาง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ นครศรีธรรมราช,สวนหลวง,เฉลิมพระเกียรติ,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนชะอวด,ชะอวด,ชะอวด,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนชะอวดเคร่งธรรมวิทยา,เคร็ง,ชะอวด,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนชะอวดวิทยาคาร,ชะอวด,ชะอวด,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนช้างกลางประชานุกูล,ช้างกลาง,ช้างกลาง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเชียรใหญ่,แม่เจ้าอยู่หัว,เชียรใหญ่,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเชียรใหญ่สามัคคีวิทยา,เสือหึง,เชียรใหญ่,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนตระพังพิทยาคม,ควนพัง,ร่อนพิบูลย์,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนตรีนิมิตรวิทยา,บางจาก,เมืองนครศรีธรรมราช,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษา ภาคใต้,นาพรุ,พระพรหม,นครศรีธรรมราช,มัธยมศึกษาตอนปลาย
โรงเรียนทรายขาววิทยา,ทรายขาว,หัวไทร,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนท้องเนียนคณาภิบาล,ท้องเนียน,ขนอม,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนทางพูนวิทยาคาร,ทางพูน,เฉลิมพระเกียรติ,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนท่านครญาณวโรภาสอุทิศ,ปากนคร,เมืองนครศรีธรรมราช,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนท่าศาลาประสิทธิ์ศึกษา,ท่าศาลา,ท่าศาลา,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนทุ่งสง,ถ้ำใหญ่,ทุ่งสง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนทุ่งสงวิทยา,ควนกรด,ทุ่งสง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนทุ่งสงสหประชาสรรค์,เขาขาว,ทุ่งสง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนทุ่งสังพิทยาคม,ทุ่งสัง,ทุ่งใหญ่,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนทุ่งใหญ่เฉลิมราชอนุสรณ์ รัชมังคลาภิเษก,ทุ่งใหญ่,ทุ่งใหญ่,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนทุ่งใหญ่วิทยาคม,ท่ายาง,ทุ่งใหญ่,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเทพราชพิทยาสรรค์,เทพราช,สิชล,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเทพศิรินทร์ นครศรีธรรมราช,ช้างซ้าย,พระพรหม,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนธัญญาวดีศึกษา,ไสหมาก,เชียรใหญ่,นครศรีธรรมราช,มัธยมศึกษาตอนต้น
โรงเรียนนบพิตำวิทยา,นบพิตำ,นบพิตำ,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนนพคุณประชาสรรค์,บางนบ,หัวไทร,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนนางเอื้อยวิทยา,ควนกลาง,พิปูน,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนนาบอน,แก้วแสน,นาบอน,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนบางขันวิทยา,บ้านลำนาว,บางขัน,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนบ้านเกาะวิทยา,อินคีรี,พรหมคีรี,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเบญจมราชูทิศ นครศรีธรรมราช,โพธิ์เสด็จ,เมืองนครศรีธรรมราช,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนประสาธน์ราษฎร์บำรุง,คลองเส,ถ้ำพรรณรา,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนปากพนัง,ปากพนัง,ปากพนัง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนปากพูน,ปากพูน,เมืองนครศรีธรรมราช,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนพรหมคีรีพิทยาคม,ทอนหงส์,พรหมคีรี,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนพระพรหมพิทยานุสรณ์,นาพรุ,พระพรหม,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนพิปูนสังฆรักษ์ประชาอุทิศ,เขาพระ,พิปูน,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนมัธยมศึกษาจุฬาภรณ์,นาหมอบุญ,จุฬาภรณ์,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเมืองนครศรีธรรมราช,นาทราย,เมืองนครศรีธรรมราช,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนโมคลานประชาสรรค์,โมคลาน,ท่าศาลา,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนโยธินบำรุง,ปากพูน,เมืองนครศรีธรรมราช,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนร่อนพิบูลย์เกียรติวสุนธราภิวัฒก์,ร่อนพิบูลย์,ร่อนพิบูลย์,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนละอายพิทยานุสรณ์,ละอาย,ฉวาง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนวังหินวิทยาคม,วังหิน,บางขัน,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนวิเชียรประชาสรรค์,เชียรใหญ่,เชียรใหญ่,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย นครศรีธรรมราช,บางจาก,เมืองนครศรีธรรมราช,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนโศภนคณาภรณ์,เกาะทวด,ปากพนัง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนสตรีทุ่งสง,ปากแพรก,ทุ่งสง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนสตรีปากพนัง,ปากพนัง,ปากพนัง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนสระแก้วรัตนวิทย์,สระแก้ว,ท่าศาลา,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนสวนกุหลาบวิทยาลัย นครศรีธรรมราช,กำโลน,ลานสกา,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนสิชลคุณาธารวิทยา,ทุ่งปรัง,สิชล,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนสิชลประชาสรรค์,ทุ่งใส,สิชล,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเสม็ดจวนวิทยาคม,กุแหระ,ทุ่งใหญ่,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนเสาธงวิทยา,เสาธง,ร่อนพิบูลย์,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนหัวไทรบำรุงราษฎร์,หัวไทร,หัวไทร,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนแหลมราษฎร์บำรุง,ควนชะลิก,หัวไทร,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนอินทร์ธานีวิทยาคม,ปากแพรก,ปากพนัง,นครศรีธรรมราช,มัธยมศึกษา
โรงเรียนชุมชนลานสกา,ท่าดี,ลานสกา,นครศรีธรรมราช,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดหมน,ท่าเรือ,เมืองนครศรีธรรมราช,นครศรีธรรมราช,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 74 (ชุมชนบ้านคีรีวง),กำโลน,ลานสกา,นครศรีธรรมราช,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคดศอก,ขุนทะเล,ลานสกา,นครศรีธรรมราช,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองดิน,นาเคียน,เมืองนครศรีธรรมราช,นครศรีธรรมราช,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคันธง,ปากนคร,เมืองนครศรีธรรมราช,นครศรีธรรมราช,อนุบาล–ประถมศึกษา
โรงเรียนบ้านชะเอียน,ปากพูน,เมืองนครศรีธรรมราช,นครศรีธรรมราช,อนุบาล–ประถมศึกษา
โรงเรียนบ้านตลาด,เขาแก้ว,ลานสกา,นครศรีธรรมราช,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทวดทอง,โพธิ์เสด็จ,เมืองนครศรีธรรมราช,นครศรีธรรมราช,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทวดเหนือ,นาเคียน,เมืองนครศรีธรรมราช,นครศรีธรรมราช,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาเคียน,นาเคียน,เมืองนครศรีธรรมราช,นครศรีธรรมราช,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเนิน,บางจาก,เมืองนครศรีธรรมราช,นครศรีธรรมราช,อนุบาล–ประถมศึกษา
