name,subDistrict,district,province,level
โรงเรียนเก้าเลี้ยววิทยา,เก้าเลี้ยว,เก้าเลี้ยว,นครสวรรค์,มัธยมศึกษา
โรงเรียนโกรกพระ,บางมะฝ่อ,โกรกพระ,นครสวรรค์,มัธยมศึกษา
โรงเรียนเขากะลาวิทยาคม,เขากะลา,พยุหะคีรี,นครสวรรค์,มัธยมศึกษา
โรงเรียนเขาทองพิทยาคม,เขาทอง,พยุหะคีรี,นครสวรรค์,มัธยมศึกษา
โรงเรียนจันเสนเอ็งสุวรรณอนุสรณ์,จันเสน,ตาคลี,นครสวรรค์,มัธยมศึกษา
โรงเรียนช่องแคพิทยาคม,ช่องแค,ตาคลี,นครสวรรค์,มัธยมศึกษา
โรงเรียนชุมแสงชนูทิศ,พิกุล,ชุมแสง,นครสวรรค์,มัธยมศึกษา
โรงเรียนตะคร้อพิทยา,ตะคร้อ,ไพศาลี,นครสวรรค์,มัธยมศึกษา
โรงเรียนตากฟ้าวิชาประสิทธิ์,ตากฟ้า,ตากฟ้า,นครสวรรค์,มัธยมศึกษา
โรงเรียนตาคลีประชาสรรค์,ตาคลี,ตาคลี,นครสวรรค์,มัธยมศึกษา
โรงเรียนทหารอากาศอนุสรณ์,ตาคลี,ตาคลี,นครสวรรค์,มัธยมศึกษา
โรงเรียนทับกฤชพัฒนา,ทับกฤช,ชุมแสง,นครสวรรค์,มัธยมศึกษา
โรงเรียนท่าตะโกพิทยาคม,ดอนคา,ท่าตะโก,นครสวรรค์,มัธยมศึกษา
โรงเรียนเทพศาลาประชาสรรค์,ศาลเจ้าไก่ต่อ,ลาดยาว,นครสวรรค์,มัธยมศึกษา
โรงเรียนนครสวรรค์,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,มัธยมศึกษา
โรงเรียนนวมินทราชูทิศ มัชฌิม,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,มัธยมศึกษา
โรงเรียนบรรพตพิสัยพิทยาคม,ท่างิ้ว,บรรพตพิสัย,นครสวรรค์,มัธยมศึกษา
โรงเรียนบ้านแก่งชัชวลิตวิทยา,บ้านแก่ง,เมืองนครสวรรค์,นครสวรรค์,มัธยมศึกษา
โรงเรียนบึงบอระเพ็ดวิทยา,พระนอน,เมืองนครสวรรค์,นครสวรรค์,มัธยมศึกษา
โรงเรียนพนมรอกวิทยา,พนมรอก,ท่าตะโก,นครสวรรค์,มัธยมศึกษา
โรงเรียนพยุหะพิทยาคม,พยุหะ,พยุหะคีรี,นครสวรรค์,มัธยมศึกษา
โรงเรียนพระบางวิทยา,หนองกระโดน,เมืองนครสวรรค์,นครสวรรค์,มัธยมศึกษา
โรงเรียนไพศาลีพิทยา,ไพศาลี,ไพศาลี,นครสวรรค์,มัธยมศึกษา
โรงเรียนแม่วงก์พิทยาคม,แม่วงก์,แม่วงก์,นครสวรรค์,มัธยมศึกษา
โรงเรียนรัฐราษฎร์อนุสรณ์,บึงปลาทู,บรรพตพิสัย,นครสวรรค์,มัธยมศึกษา
โรงเรียนลาดทิพรสพิทยาคม,ลาดทิพรส,ตาคลี,นครสวรรค์,มัธยมศึกษา
โรงเรียนลาดยาววิทยาคม,สระแก้ว,ลาดยาว,นครสวรรค์,มัธยมศึกษา
โรงเรียนวังข่อยพิทยา,วังข่อย,ไพศาลี,นครสวรรค์,มัธยมศึกษา
โรงเรียนวังบ่อวิทยา,วังบ่อ,หนองบัว,นครสวรรค์,มัธยมศึกษา
โรงเรียนวังเมืองชนประสิทธิ์วิทยาคม,วังเมือง,ลาดยาว,นครสวรรค์,มัธยมศึกษา
โรงเรียนสตรีนครสวรรค์,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,มัธยมศึกษา
โรงเรียนหนองกรดพิทยาคม,หนองกรด,บรรพตพิสัย,นครสวรรค์,มัธยมศึกษา
โรงเรียนหนองบัว,หนองบัว,หนองบัว,นครสวรรค์,มัธยมศึกษา
โรงเรียนหนองโพพิทยา,หนองโพ,ตาคลี,นครสวรรค์,มัธยมศึกษา
โรงเรียนห้วยน้ำหอมวิทยาคาร,ชุมตาบง,ชุมตาบง,นครสวรรค์,มัธยมศึกษา
โรงเรียนหัวดงราชพรหมาภรณ์,หัวดง,เก้าเลี้ยว,นครสวรรค์,มัธยมศึกษา
โรงเรียนอุดมธัญญาประชานุเคราะห์,อุดมธัญญา,ตากฟ้า,นครสวรรค์,มัธยมศึกษา
โรงเรียนเขาทอง,เขาทอง,พยุหะคีรี,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนเขาสระนางสรง,นิคมเขาบ่อแก้ว,พยุหะคีรี,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนเขาสามยอด,เขากะลา,พยุหะคีรี,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดเกยไชยเหนือ (นิรภัยประชานุกูล),เกยไชย,ชุมแสง,นครสวรรค์,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดเกาะหงษ์ (นิโรธธรรมรังสรรค์),ตะเคียนเลื่อน,เมืองนครสวรรค์,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดเขาดินเหนือ,เขาดิน,เก้าเลี้ยว,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดคลองปลากด,ทับกฤช,ชุมแสง,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดบ้านแก่ง,บ้านแก่ง,เมืองนครสวรรค์,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดบ้านหว้าประชาประสาทวิทย์,ยางตาล,โกรกพระ,นครสวรรค์,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดมหาโพธิเหนือ,มหาโพธิ,เก้าเลี้ยว,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 107 (บ้านหนองไม้แดง),นิคมเขาบ่อแก้ว,พยุหะคีรี,นครสวรรค์,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเนินมะกอก,เนินมะกอก,พยุหะคีรี,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกระจังงาม,ศาลาแดง,โกรกพระ,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขากะลา,พระนอน,เมืองนครสวรรค์,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาถ้ำพระ,เนินศาลา,โกรกพระ,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาปูน,นากลาง,โกรกพระ,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาไม้เดน,ท่าน้ำอ้อย,พยุหะคีรี,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองคล้า,เขาดิน,เก้าเลี้ยว,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองม่วง,เนินศาลา,โกรกพระ,นครสวรรค์,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคุ้งวารี (แสงประเสริฐอุทิศ),บางม่วง,เมืองนครสวรรค์,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านช่อกระถินพัฒนา,หนองปลิง,เมืองนครสวรรค์,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซับผักกาด,เขากะลา,พยุหะคีรี,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงขุย,หนองกระเจา,ชุมแสง,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนกระชาย,ยางขาว,พยุหะคีรี,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านต้นโพธิ์ (ประชานุกูล),โคกหม้อ,ชุมแสง,นครสวรรค์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่ากร่าง,ท่าไม้,ชุมแสง,นครสวรรค์,อนุบาล–ประถมศึกษา
