name,subDistrict,district,province,level
โรงเรียนเตรียมอุดมศึกษาน้อมเกล้า นนทบุรี,คลองพระอุดม,ปากเกร็ด,นนทบุรี,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ นนทบุรี,บางกร่าง,เมืองนนทบุรี,นนทบุรี,มัธยมศึกษา
โรงเรียนเทพศิรินทร์ นนทบุรี,บางคูเวียง,บางกรวย,นนทบุรี,มัธยมศึกษา
โรงเรียนไทรน้อย,ไทรน้อย,ไทรน้อย,นนทบุรี,มัธยมศึกษา
โรงเรียนนนทบุรีพิทยาคม,ท่าทราย,เมืองนนทบุรี,นนทบุรี,มัธยมศึกษา
โรงเรียนนวมินทราชินูทิศ หอวัง นนทบุรี,บ้านใหม่,ปากเกร็ด,นนทบุรี,มัธยมศึกษา
โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) นนทบุรี,วัดชลอ,บางกรวย,นนทบุรี,มัธยมศึกษา
โรงเรียนบางบัวทอง,พิมลราช,บางบัวทอง,นนทบุรี,มัธยมศึกษา
โรงเรียนเบญจมราชานุสรณ์,ท่าทราย,เมืองนนทบุรี,นนทบุรี,มัธยมศึกษา
โรงเรียนปากเกร็ด,ปากเกร็ด,ปากเกร็ด,นนทบุรี,มัธยมศึกษา
โรงเรียนโพธินิมิตวิทยาคม,บางพูด,ปากเกร็ด,นนทบุรี,มัธยมศึกษา
โรงเรียนรัตนาธิเบศร์,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,มัธยมศึกษา
โรงเรียนราชวินิต นนทบุรี,บางใหญ่,บางใหญ่,นนทบุรี,มัธยมศึกษา
โรงเรียนราษฎร์นิยม,ราษฎร์นิยม,ไทรน้อย,นนทบุรี,มัธยมศึกษา
โรงเรียนวัดเขมาภิรตาราม,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,มัธยมศึกษา
โรงเรียนศรีบุณยานนท์,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,มัธยมศึกษา
โรงเรียนสตรีนนทบุรี,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,มัธยมศึกษา
โรงเรียนสวนกุหลาบวิทยาลัย นนทบุรี,ปากเกร็ด,ปากเกร็ด,นนทบุรี,มัธยมศึกษา
โรงเรียนกลาโหมอุทิศ,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดไทรม้า,ไทรม้า,เมืองนนทบุรี,นนทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดบางไกรใน (ศีลพิบูลย์วิทยา),บางขุนกอง,บางกรวย,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดสมรโกฏิ (อยู่พูนราษฎร์บำรุง),บางกระสอ,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนท่าทรายประชาอุปถัมภ์,ท่าทราย,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนทานสัมฤทธิ์วิทยา,ท่าทราย,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 55 (วัดโบสถ์ดอนพรหม),บางกร่าง,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนนุ่มประสงค์วิทยา,ศาลากลาง,บางกรวย,นนทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนประชาอุปถัมภ์,ท่าทราย,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนป่าไม้อุทิศ 9,บางรักน้อย,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนมหาสวัสดิ์ (ราษฎร์บำรุง),มหาสวัสดิ์,บางกรวย,นนทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดจันทร์ (ผาดไสวประชาอุทิศ),บางกรวย,บางกรวย,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดแจ้งศิริสัมพันธ์ (สโมสรสากลอุทิศ),บางกระสอ,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดเฉลิมพระเกียรติ (พิบูลบำรุง),บางศรีเมือง,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดเชิงกระบือ,บางกรวย,บางกรวย,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดโชติการาม,บางไผ่,เมืองนนทบุรี,นนทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดซองพลู (วิฑิตราชประชานุสรณ์),บางขุนกอง,บางกรวย,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดตำหนักใต้ (วิลาศโอสถานนท์นุเคราะห์),ท่าทราย,เมืองนนทบุรี,นนทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดทางหลวงโพธิ์ทอง,บางเขน,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบัวขวัญ (มีทับราษฎร์บำรุง),บางกระสอ,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบางไกรนอก (แย้มพร้อมอุปถัมภ์),บางขุนกอง,บางกรวย,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบางระโหง (ภิรมย์ศิริ),บางกร่าง,เมืองนนทบุรี,นนทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดปราสาท (ปราสาทพิทยา),บางกร่าง,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดปากน้ำ (พิบูลสงคราม),สวนใหญ่,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดฝาง,บางเขน,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดพุฒิปรางค์ปราโมทย์,บางศรีเมือง,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดลานนาบุญ (น้อม หงสะเดชอุปถัมภ์),ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดสำโรง (หิรัญราษฎร์ภักดีวิทยา),บางกรวย,บางกรวย,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดใหม่ผดุงเขต,ศาลากลาง,บางกรวย,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลนนทบุรี,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลบางกรวย,ปลายบาง,บางกรวย,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนอนุราชประสิทธิ์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,อนุบาล–มัธยมศึกษา
โรงเรียนแก้วอินทร์สุธาอุทิศ,เสาธงหิน,บางใหญ่,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนคลองเกลือ,คลองเกลือ,ปากเกร็ด,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนคล้ายสอนศึกษา,บางคูรัด,บางบัวทอง,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนเจริญรัฐอุปถัมภ์,ลำโพ,บางบัวทอง,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนเฉลิมพระเกียรติ 60 พรรษา สมเด็จพระนางเจ้าสิริกิติ์พระบรมราชินีนาถ,เสาธงหิน,บางใหญ่,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชลประทานสงเคราะห์,บางตลาด,ปากเกร็ด,นนทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนไมตรีอุทิศ,บางบัวทอง,บางบัวทอง,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดต้นเชือก (ถาวรวิทย์อุปกฤต),บางใหญ่,บางใหญ่,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดไทรน้อย,ไทรน้อย,ไทรน้อย,นนทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดบางโค (แม่นางวิทย์อุปการี),บางแม่นาง,บางใหญ่,นนทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดบางไผ่,บางรักพัฒนา,บางบัวทอง,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดราษฎร์นิยม,ราษฎร์นิยม,ไทรน้อย,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนดีมากอุปถัมภ์,ไทรใหญ่,ไทรน้อย,นนทบุรี,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 95 (วัดโพธิ์ทองบน),บ้านใหม่,ปากเกร็ด,นนทบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองโต๊ะนุ้ย,ขุนศรี,ไทรน้อย,นนทบุรี,อนุบาล–ประถมศึกษา
