name,subDistrict,district,province,level
โรงเรียนเฉลิมพระเกียรติกรมหลวงนราธิวาสราชนครินทร์ บางปอประชารักษ์,บางปอ,เมืองนราธิวาส,นราธิวาส,มัธยมศึกษา
โรงเรียนตันหยงมัส,ตันหยงมัส,ระแงะ,นราธิวาส,มัธยมศึกษา
โรงเรียนตากใบ,เจ๊ะเห,ตากใบ,นราธิวาส,มัธยมศึกษา
โรงเรียนธัญธารวิทยา,สุไหงปาดี,สุไหงปาดี,นราธิวาส,มัธยมศึกษา
โรงเรียนนราธิวาส,โคกเคียน,เมืองนราธิวาส,นราธิวาส,มัธยมศึกษา
โรงเรียนนราสิกขาลัย,บางนาค,เมืองนราธิวาส,นราธิวาส,มัธยมศึกษา
โรงเรียนบาเจาะ,บาเจาะ,บาเจาะ,นราธิวาส,มัธยมศึกษา
โรงเรียนบูกิตประชาอุปถัมภ์,บูกิต,เจาะไอร้อง,นราธิวาส,มัธยมศึกษา
โรงเรียนมัธยมสุไหงปาดี,ปะลุรู,สุไหงปาดี,นราธิวาส,มัธยมศึกษา
โรงเรียนร่มเกล้า นราธิวาส,ยี่งอ,ยี่งอ,นราธิวาส,มัธยมศึกษา
โรงเรียนรือเสาะชนูปถัมภ์,รือเสาะออก,รือเสาะ,นราธิวาส,มัธยมศึกษา
โรงเรียนเรียงราษฏร์อุปถัมภ์,เรียง,รือเสาะ,นราธิวาส,มัธยมศึกษา
โรงเรียนเวียงสุวรรณวิทยาคม,แว้ง,แว้ง,นราธิวาส,มัธยมศึกษา
โรงเรียนศรีวารินทร์,ตะมะยูง,ศรีสาคร,นราธิวาส,มัธยมศึกษา
โรงเรียนสวนพระยาวิทยา,ดุซงญอ,จะแนะ,นราธิวาส,มัธยมศึกษา
โรงเรียนสุคิรินวิทยา,สุคิริน,สุคิริน,นราธิวาส,มัธยมศึกษา
โรงเรียนสุไหงโก-ลก,สุไหงโก-ลก,สุไหงโก-ลก,นราธิวาส,มัธยมศึกษา
โรงเรียนชุมชนบ้านซากอ,ซากอ,ศรีสาคร,นราธิวาส,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนสัมพันธ์บ้านลาโละ,ลาโละ,รือเสาะ,นราธิวาส,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 10 (บ้านใหม่),กะลุวอเหนือ,เมืองนราธิวาส,นราธิวาส,อนุบาล–ประถมศึกษา
โรงเรียนน้ำตกปาโจ (วันครู 2501),บาเจาะ,บาเจาะ,นราธิวาส,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกลูบี,ซากอ,ศรีสาคร,นราธิวาส,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกะลูแป,บาเระเหนือ,บาเจาะ,นราธิวาส,อนุบาล–ประถมศึกษา
