name,subDistrict,district,province,level
"โรงเรียนเชียงกลาง ""ประชาพัฒนา""",เชียงกลาง,เชียงกลาง,น่าน,มัธยมศึกษา
โรงเรียนไตรเขตประชาสามัคคี รัชมังคลาภิเษก,นาไร่หลวง,สองแคว,น่าน,มัธยมศึกษา
โรงเรียนท่าวังผาพิทยาคม,ท่าวังผา,ท่าวังผา,น่าน,มัธยมศึกษา
โรงเรียนทุ่งช้าง,ทุ่งช้าง,ทุ่งช้าง,น่าน,มัธยมศึกษา
โรงเรียนนันทบุรีวิทยา ในพระบรมราชานุเคราะห์,ไชยสถาน,เมืองน่าน,น่าน,มัธยมศึกษา
โรงเรียนน่านนคร,นาปัง,ภูเพียง,น่าน,มัธยมศึกษา
โรงเรียนน่านประชาอุทิศ,กองควาย,เมืองน่าน,น่าน,มัธยมศึกษาตอนปลาย
โรงเรียนนาน้อย,นาน้อย,นาน้อย,น่าน,มัธยมศึกษา
โรงเรียนนาหมื่นพิทยาคม,บ่อแก้ว,นาหมื่น,น่าน,มัธยมศึกษา
โรงเรียนบ่อเกลือ,บ่อเกลือใต้,บ่อเกลือ,น่าน,มัธยมศึกษา
โรงเรียนบ่อสวกวิทยาคาร,บ่อสวก,เมืองน่าน,น่าน,มัธยมศึกษา
โรงเรียนบ้านหลวง,ป่าคาหลวง,บ้านหลวง,น่าน,มัธยมศึกษา
โรงเรียนปัว,ปัว,ปัว,น่าน,มัธยมศึกษา
โรงเรียนพระธาตุพิทยาคม,พระธาตุ,เชียงกลาง,น่าน,มัธยมศึกษา
โรงเรียนมัธยมป่ากลาง,ป่ากลาง,ปัว,น่าน,มัธยมศึกษา
โรงเรียนมัธยมพระราชทานเฉลิมพระเกียรติ,ห้วยโก๋น,เฉลิมพระเกียรติ,น่าน,มัธยมศึกษา
โรงเรียนเมืองแงง,แงง,ปัว,น่าน,มัธยมศึกษา
โรงเรียนเมืองยมวิทยาคาร,ยม,ท่าวังผา,น่าน,มัธยมศึกษา
โรงเรียนเมืองลีประชาสามัคคี,ปิงหลวง,นาหมื่น,น่าน,มัธยมศึกษา
โรงเรียนแม่จริม,หนองแดง,แม่จริม,น่าน,มัธยมศึกษา
โรงเรียนศรัทธาศิลาเพชรรังสรรค์,ศิลาเพชร,ปัว,น่าน,มัธยมศึกษา
โรงเรียนศรีนครน่าน,เมืองจัง,ภูเพียง,น่าน,มัธยมศึกษา
โรงเรียนศรีสวัสดิ์วิทยาคารจังหวัดน่าน,ดู่ใต้,เมืองน่าน,น่าน,มัธยมศึกษา
โรงเรียนสตรีศรีน่าน,ในเวียง,เมืองน่าน,น่าน,มัธยมศึกษา
โรงเรียนสันติสุขพิทยาคม,ดู่พงษ์,สันติสุข,น่าน,มัธยมศึกษา
โรงเรียนสา,กลางเวียง,เวียงสา,น่าน,มัธยมศึกษา
โรงเรียนสาธุกิจประชาสรรค์ รัชมังคลาภิเษก,น้ำมวบ,เวียงสา,น่าน,มัธยมศึกษา
โรงเรียนสารทิศพิทยาคม,ยาบหัวนา,เวียงสา,น่าน,มัธยมศึกษา
โรงเรียนสารธรรมวิทยาคาร,ตาลชุม,ท่าวังผา,น่าน,มัธยมศึกษา
