name,subDistrict,district,province,level
โรงเรียนเจ็ดสีวิทยาคาร,บ้านต้อง,เซกา,บึงกาฬ,มัธยมศึกษา
โรงเรียนเซกา,เซกา,เซกา,บึงกาฬ,มัธยมศึกษา
โรงเรียนโซ่พิสัยพิทยาคม,โซ่,โซ่พิสัย,บึงกาฬ,มัธยมศึกษา
โรงเรียนท่าดอกคำวิทยาคม,ท่าดอกคำ,บึงโขงหลง,บึงกาฬ,มัธยมศึกษา
โรงเรียนนาสวรรค์พิทยาคม,นาสวรรค์,เมืองบึงกาฬ,บึงกาฬ,มัธยมศึกษา
โรงเรียนโนนคำพิทยาคม,คำแก้ว,โซ่พิสัย,บึงกาฬ,มัธยมศึกษา
โรงเรียนบึงกาฬ,บึงกาฬ,เมืองบึงกาฬ,บึงกาฬ,มัธยมศึกษา
โรงเรียนบึงโขงหลงวิทยาคม,บึงโขงหลง,บึงโขงหลง,บึงกาฬ,มัธยมศึกษา
โรงเรียนบุ่งคล้านคร,บุ่งคล้า,บุ่งคล้า,บึงกาฬ,มัธยมศึกษา
โรงเรียนประชานิมิตพิทยานุกูล,ท่าสะอาด,เซกา,บึงกาฬ,มัธยมศึกษา
โรงเรียนปากคาดพิทยาคม,ปากคาด,ปากคาด,บึงกาฬ,มัธยมศึกษา
โรงเรียนพรเจริญวิทยา,พรเจริญ,พรเจริญ,บึงกาฬ,มัธยมศึกษา
โรงเรียนโพธิ์ทองวิทยานุสรณ์,โนนสมบูรณ์,เมืองบึงกาฬ,บึงกาฬ,มัธยมศึกษา
โรงเรียนโพนทองประชาสรรค์,หนองพันทา,โซ่พิสัย,บึงกาฬ,มัธยมศึกษา
โรงเรียนภูทอกวิทยา,นาแสง,ศรีวิไล,บึงกาฬ,มัธยมศึกษา
โรงเรียนศรีชมภูวิทยา,ศรีชมภู,โซ่พิสัย,บึงกาฬ,มัธยมศึกษา
โรงเรียนศรีวิไลวิทยา,ศรีวิไล,ศรีวิไล,บึงกาฬ,มัธยมศึกษา
โรงเรียนศรีสำราญวิทยาคม,ศรีสำราญ,พรเจริญ,บึงกาฬ,มัธยมศึกษา
โรงเรียนสมสนุกพิทยาคม,สมสนุก,ปากคาด,บึงกาฬ,มัธยมศึกษา
โรงเรียนโสกก่ามวิทยา,โสกก่าม,เซกา,บึงกาฬ,มัธยมศึกษา
โรงเรียนหนองเข็งวิทยาคม,หนองเข็ง,เมืองบึงกาฬ,บึงกาฬ,มัธยมศึกษา
โรงเรียนหนองยองพิทยาคม รัชมังคลาภิเษก,หนองยอง,ปากคาด,บึงกาฬ,มัธยมศึกษา
โรงเรียนหนองหัวช้างวิทยา,หนองหัวช้าง,พรเจริญ,บึงกาฬ,มัธยมศึกษา
โรงเรียนหนองหิ้งพิทยา,ท่ากกแดง,เซกา,บึงกาฬ,มัธยมศึกษา
โรงเรียนเหล่าคามพิทยาคม รัชมังคลาภิเษก,น้ำจั้น,เซกา,บึงกาฬ,มัธยมศึกษา
โรงเรียนกัลยาณิวัฒนา 2,นาแสง,ศรีวิไล,บึงกาฬ,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนแก่งอาฮง,ไคสี,เมืองบึงกาฬ,บึงกาฬ,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านโคกอุดม,พรเจริญ,พรเจริญ,บึงกาฬ,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านซาง,ซาง,เซกา,บึงกาฬ,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านตูม,บัวตูม,โซ่พิสัย,บึงกาฬ,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านโนนสมบูรณ์ (ธนาคารกรุงเทพ 29),โนนสมบูรณ์,เมืองบึงกาฬ,บึงกาฬ,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านหนองยองวิทยา,หนองยอง,ปากคาด,บึงกาฬ,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านหนองหิ้ง,ท่ากกแดง,เซกา,บึงกาฬ,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนสมสนุก,สมสนุก,ปากคาด,บึงกาฬ,อนุบาล–ประถมศึกษา
โรงเรียนท่าไร่วิทยา,ป่งไฮ,เซกา,บึงกาฬ,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 51 (บ้านโคกกว้าง),โคกกว้าง,บุ่งคล้า,บึงกาฬ,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนธเนตรวิทยา,หอคำ,เมืองบึงกาฬ,บึงกาฬ,อนุบาล–ประถมศึกษา
โรงเรียนโนนสาสวรรค์,ท่าดอกคำ,บึงโขงหลง,บึงกาฬ,อนุบาล–ประถมศึกษา
