name,subDistrict,district,province,level
โรงเรียนกนกศิลป์พิทยาคม,ชุมเห็ด,เมืองบุรีรัมย์,บุรีรัมย์,มัธยมศึกษา
โรงเรียนกระสังพิทยาคม,กระสัง,กระสัง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนกลันทาพิทยาคม,กลันทา,เมืองบุรีรัมย์,บุรีรัมย์,มัธยมศึกษา
โรงเรียนกู่สวนแตงพิทยาคม,หนองแวง,บ้านใหม่ไชยพจน์,บุรีรัมย์,มัธยมศึกษา
โรงเรียนคูเมืองวิทยาคม,คูเมือง,คูเมือง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนแคนดงพิทยาคม,แคนดง,แคนดง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนจตุราษฏร์พิทยาคม,แสลงพัน,ลำปลายมาศ,บุรีรัมย์,มัธยมศึกษา
โรงเรียนชำนิพิทยาคม,เมืองยาง,ชำนิ,บุรีรัมย์,มัธยมศึกษา
โรงเรียนชุมแสงพิทยาคม,ชุมแสง,กระสัง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนดงพลองพิทยาคม,ดงพลอง,แคนดง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนตลาดโพธิ์พิทยาคม,ตลาดโพธิ์,ลำปลายมาศ,บุรีรัมย์,มัธยมศึกษา
โรงเรียนตาจงพิทยาสรรค์,ตาจง,ละหานทราย,บุรีรัมย์,มัธยมศึกษา
โรงเรียนตูมใหญ่วิทยา,ตูมใหญ่,คูเมือง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนถนนหักพิทยาคม,ถนนหัก,นางรอง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนทะเมนชัยพิทยาคม,ทะเมนชัย,ลำปลายมาศ,บุรีรัมย์,มัธยมศึกษา
โรงเรียนทุ่งแสงทองพิทยาคม,ทุ่งแสงทอง,นางรอง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนไทยเจริญวิทยา,ไทยเจริญ,ปะคำ,บุรีรัมย์,มัธยมศึกษา
โรงเรียนธารทองพิทยาคม,ลำปลายมาศ,ลำปลายมาศ,บุรีรัมย์,มัธยมศึกษา
โรงเรียนนางรอง,นางรอง,นางรอง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนนางรองพิทยาคม,นางรอง,นางรอง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนนาโพธิ์พิทยาคม,ศรีสว่าง,นาโพธิ์,บุรีรัมย์,มัธยมศึกษา
โรงเรียนโนนเจริญพิทยาคม,โนนเจริญ,บ้านกรวด,บุรีรัมย์,มัธยมศึกษา
โรงเรียนโนนสุวรรณพิทยาคม,โกรกแก้ว,โนนสุวรรณ,บุรีรัมย์,มัธยมศึกษา
โรงเรียนบัวหลวงวิทยาคม,บ้านบัว,เมืองบุรีรัมย์,บุรีรัมย์,มัธยมศึกษา
โรงเรียนบ้านกรวดวิทยาคาร,ปราสาท,บ้านกรวด,บุรีรัมย์,มัธยมศึกษา
โรงเรียนบ้านบุวิทยาสรรค์,จรเข้มาก,ประโคนชัย,บุรีรัมย์,มัธยมศึกษา
โรงเรียนบุรีรัมย์พิทยาคม,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,มัธยมศึกษา
โรงเรียนประโคนชัยพิทยาคม,ประโคนชัย,ประโคนชัย,บุรีรัมย์,มัธยมศึกษา
โรงเรียนปะคำพิทยาคม,หูทำนบ,ปะคำ,บุรีรัมย์,มัธยมศึกษา
โรงเรียนพนมรุ้ง,ตาเป๊ก,เฉลิมพระเกียรติ,บุรีรัมย์,มัธยมศึกษา
โรงเรียนพระครูพิทยาคม,พระครู,เมืองบุรีรัมย์,บุรีรัมย์,มัธยมศึกษา
โรงเรียนพลับพลาชัยพิทยาคม,จันตุม,พลับพลาชัย,บุรีรัมย์,มัธยมศึกษา
โรงเรียนพิมพ์รัฐประชาสรรค์,หนองยายพิมพ์,นางรอง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนพุทไธสง,พุทไธสง,พุทไธสง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนไพศาลพิทยาคม,ไพศาล,ประโคนชัย,บุรีรัมย์,มัธยมศึกษา
โรงเรียนภัทรบพิตร,เสม็ด,เมืองบุรีรัมย์,บุรีรัมย์,มัธยมศึกษา
โรงเรียนมัธยมพรสำราญ,พรสำราญ,คูเมือง,บุรีรัมย์,มัธยมศึกษา
โรงเรียนเมืองตลุงพิทยาสรรพ์,ประโคนชัย,ประโคนชัย,บุรีรัมย์,มัธยมศึกษา
โรงเรียนเมืองแกพิทยาคม,เมืองแก,สตึก,บุรีรัมย์,มัธยมศึกษา
