name,subDistrict,district,province,level
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,บ้านกลาง,เมืองปทุมธานี,ปทุมธานี,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติ 60 พรรษา,คลองสี่,คลองหลวง,ปทุมธานี,มัธยมศึกษา
"โรงเรียนชัยสิทธาวาส ""พัฒน์สายบำรุง""",กระแชง,สามโคก,ปทุมธานี,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาน้อมเกล้า ปทุมธานี,คลองควาย,สามโคก,ปทุมธานี,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ปทุมธานี,ลำลูกกา,ลำลูกกา,ปทุมธานี,มัธยมศึกษา
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คลองห้า,คลองหลวง,ปทุมธานี,มัธยมศึกษา
โรงเรียนเทพศิรินทร์คลองสิบสาม ปทุมธานี,บึงคอไห,ลำลูกกา,ปทุมธานี,มัธยมศึกษา
โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,คลองหนึ่ง,คลองหลวง,ปทุมธานี,มัธยมศึกษา
โรงเรียนธัญบุรี,ประชาธิปัตย์,ธัญบุรี,ปทุมธานี,มัธยมศึกษา
โรงเรียนธัญรัตน์,รังสิต,ธัญบุรี,ปทุมธานี,มัธยมศึกษา
โรงเรียนนวมินทราชินูทิศ สวนกุหลาบวิทยาลัย ปทุมธานี,พืชอุดม,ลำลูกกา,ปทุมธานี,มัธยมศึกษา
โรงเรียนบัวแก้วเกษร,ระแหง,ลาดหลุมแก้ว,ปทุมธานี,มัธยมศึกษา
"โรงเรียนปทุมธานี ""นันทมุนีบำรุง""",บางหลวง,เมืองปทุมธานี,ปทุมธานี,มัธยมศึกษา
โรงเรียนปทุมวิไล,บางปรอก,เมืองปทุมธานี,ปทุมธานี,มัธยมศึกษา
โรงเรียนมัธยมสังคีตวิทยา กรุงเทพมหานคร,คูคต,ลำลูกกา,ปทุมธานี,มัธยมศึกษา
โรงเรียนวรราชาทินัดดามาตุวิทยา,คลองพระอุดม,ลาดหลุมแก้ว,ปทุมธานี,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย ปทุมธานี,บ่อเงิน,ลาดหลุมแก้ว,ปทุมธานี,มัธยมศึกษา
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คลองสี่,คลองหลวง,ปทุมธานี,มัธยมศึกษา
โรงเรียนสายปัญญารังสิต,ประชาธิปัตย์,ธัญบุรี,ปทุมธานี,มัธยมศึกษา
