name,subDistrict,district,province,level
โรงเรียนกุยบุรีวิทยา,กุยบุรี,กุยบุรี,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนชัยเกษมวิทยา,ชัยเกษม,บางสะพาน,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการปราณบุรี,ปราณบุรี,ปราณบุรี,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนทับสะแกวิทยา,นาหูกวาง,ทับสะแก,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนธงชัยวิทยา,ธงชัย,บางสะพาน,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนบางสะพานน้อยวิทยาคม,ปากแพรก,บางสะพานน้อย,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนบางสะพานวิทยา,กำเนิดนพคุณ,บางสะพาน,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนประจวบวิทยาลัย,ประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนปากน้ำปราณวิทยา,ปากน้ำปราณ,ปราณบุรี,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนเมืองปราณบุรี,เขาน้อย,ปราณบุรี,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนยางชุมวิทยา,หาดขาม,กุยบุรี,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนสามร้อยยอดวิทยาคม,ไร่เก่า,สามร้อยยอด,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนหนองพลับวิทยา,หนองพลับ,หัวหิน,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนห้วยยางวิทยา,ห้วยยาง,ทับสะแก,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนหว้ากอวิทยาลัย,บ่อนอก,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนหัวหิน,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,มัธยมศึกษา
โรงเรียนหัวหินวิทยาคม,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,มัธยมศึกษา
