name,subDistrict,district,province,level
โรงเรียนกบินทร์บุรี,เมืองเก่า,กบินทร์บุรี,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนกบินทร์วิทยา,กบินทร์,กบินทร์บุรี,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนกรอกสมบูรณ์วิทยาคม,กรอกสมบูรณ์,ศรีมหาโพธิ,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนกระทุ่มแพ้ววิทยา,กระทุ่มแพ้ว,บ้านสร้าง,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนชิตใจชื่น,บ้านสร้าง,บ้านสร้าง,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนไทยรัฐวิทยา 7,ดงขี้เหล็ก,เมืองปราจีนบุรี,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนประจันตราษฎร์บำรุง,ประจันตคาม,ประจันตคาม,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนปราจิณราษฎรอำรุง,หน้าเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,มัธยมศึกษา
"โรงเรียนปราจิณราษฎรอำรุง 2 ""อดุลศาสนกิจศึกษา""",บางเดชะ,เมืองปราจีนบุรี,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนปราจีนกัลยาณี,หน้าเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนมณีเสวตรอุปถัมภ์,สำพันตา,นาดี,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนร่มเกล้า ปราจีนบุรี,บุพราหมณ์,นาดี,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนลาดตะเคียนราษฎร์บำรุง,ลาดตะเคียน,กบินทร์บุรี,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนวังดาลวิทยาคม,วังดาล,กบินทร์บุรี,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนวังตะเคียนวิทยาคม,วังตะเคียน,กบินทร์บุรี,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนวัดพรหมประสิทธิ์,หนองแก้ว,ประจันตคาม,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนศรีมหาโพธิ,ศรีมหาโพธิ,ศรีมหาโพธิ,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนศรีมโหสถ,โคกปีบ,ศรีมโหสถ,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนสุวรรณวิทยา,คำโตนด,ประจันตคาม,ปราจีนบุรี,มัธยมศึกษา
โรงเรียนชุมชนบ้านเกาะสมอ (สามัคคีวิทยา),หัวหว้า,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านขอนขว้าง,ดงขี้เหล็ก,เมืองปราจีนบุรี,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดบางแตน,บางแตน,บ้านสร้าง,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดบ้านโง้ง,โพธิ์งาม,ประจันตคาม,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดศรีประจันตคาม,ประจันตคาม,ประจันตคาม,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดหนองจวง,ดงขี้เหล็ก,เมืองปราจีนบุรี,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนนิคมพัฒนา,บางปลาร้า,บ้านสร้าง,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ่อแร่-ธารเลา,เนินหอม,เมืองปราจีนบุรี,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขานันทา,โพธิ์งาม,ประจันตคาม,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองแก้มช้ำ,โพธิ์งาม,ประจันตคาม,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองสอง (ราษฎร์บำรุง),บ้านสร้าง,บ้านสร้าง,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกกระเจียว,หนองโพรง,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกพนมดี,โคกไทย,ศรีมโหสถ,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกสว่าง,บุฝ้าย,ประจันตคาม,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านดงกระทงยาม,ดงกระทงยาม,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านดงบัง,ดงขี้เหล็ก,เมืองปราจีนบุรี,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านด่าน,เกาะลอย,ประจันตคาม,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าตูม,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเนินหอม,เนินหอม,เมืองปราจีนบุรี,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านบางขาม,บางขาม,บ้านสร้าง,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบางปลาร้า (กมลราษฎร์นุกูล),บางปลาร้า,บ้านสร้าง,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบางรุ่งโรจน์,บางยาง,บ้านสร้าง,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านประเถท (โพธิพิทยาราม),โพธิ์งาม,ประจันตคาม,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านประพาส,กรอกสมบูรณ์,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านปรือวายใหญ่,หนองโพรง,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านปากคลองบางกระดาน,บางแตน,บ้านสร้าง,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโป่งกะพ้อ,หนองโพรง,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโป่งตะเคียน,โคกไทย,ศรีมโหสถ,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโป่งไผ่,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านมาบเหียง,หนองโพรง,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านย่านนางวิ่ง,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังขอน,กรอกสมบูรณ์,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังทะลุ,กรอกสมบูรณ์,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านว่านบ้านด่าน,บุฝ้าย,ประจันตคาม,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านหนองกระทุ่ม,ศรีมหาโพธิ,ศรีมหาโพธิ,ปราจีนบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองงูเหลือม,บางพลวง,บ้านสร้าง,ปราจีนบุรี,อนุบาล–มัธยมศึกษาตอนต้น
