name,subDistrict,district,province,level
โรงเรียนเดชะปัตตนยานุกูล,สะบารัง,เมืองปัตตานี,ปัตตานี,มัธยมศึกษา
โรงเรียนท่าข้ามวิทยาคาร,ท่าข้าม,ปะนาเระ,ปัตตานี,มัธยมศึกษา
โรงเรียนทุ่งยางแดงพิทยาคม,ตะโละแมะนา,ทุ่งยางแดง,ปัตตานี,มัธยมศึกษา
โรงเรียนเบญจมราชูทิศ จังหวัดปัตตานี,สะบารัง,เมืองปัตตานี,ปัตตานี,มัธยมศึกษา
โรงเรียนปทุมคงคาอนุสรณ์,ตุยง,หนองจิก,ปัตตานี,มัธยมศึกษา
โรงเรียนประตูโพธิ์วิทยา,ปิตูมุดี,ยะรัง,ปัตตานี,มัธยมศึกษา
โรงเรียนโพธิ์คีรีราชศึกษา,โคกโพธิ์,โคกโพธิ์,ปัตตานี,มัธยมศึกษา
โรงเรียนแม่ลานวิทยา,แม่ลาน,แม่ลาน,ปัตตานี,มัธยมศึกษา
โรงเรียนไม้แก่นกิตติวิทย์,ไทรทอง,ไม้แก่น,ปัตตานี,มัธยมศึกษา
โรงเรียนยาบีบรรณวิทย์,ยาบี,หนองจิก,ปัตตานี,มัธยมศึกษา
โรงเรียนราชมุนีรังสฤษฏ์,นาประดู่,โคกโพธิ์,ปัตตานี,มัธยมศึกษา
โรงเรียนวังกะพ้อพิทยาคม,กะรุบี,กะพ้อ,ปัตตานี,มัธยมศึกษา
โรงเรียนวุฒิชัยวิทยา,ดอน,ปะนาเระ,ปัตตานี,มัธยมศึกษา
โรงเรียนศิริราษฏร์สามัคคี,ถนน,มายอ,ปัตตานี,มัธยมศึกษา
โรงเรียนสะนอพิทยาคม,สะนอ,ยะรัง,ปัตตานี,มัธยมศึกษา
โรงเรียนสายบุรี (แจ้งประชาคาร),ตะลุบัน,สายบุรี,ปัตตานี,มัธยมศึกษา
โรงเรียนสุวรรณไพบูลย์,ยามู,ยะหริ่ง,ปัตตานี,มัธยมศึกษา
โรงเรียนกองทัพบกอุทิศบ้านดอนยาง,บางเขา,หนองจิก,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านกรือเซะ,ตันหยงลุโละ,เมืองปัตตานี,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านกะมิยอ,กะมิยอ,เมืองปัตตานี,ปัตตานี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านตะลุโบะ,ตะลุโบะ,เมืองปัตตานี,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านตาแกะ,ตาแกะ,ยะหริ่ง,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านปาตา,ตะโละกาโปร์,ยะหริ่ง,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านปูยุด,ปุยุด,เมืองปัตตานี,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านยูโย,บานา,เมืองปัตตานี,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านสะนิง,บาราเฮาะ,เมืองปัตตานี,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านสาบัน,สาบัน,ยะหริ่ง,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดป่าศรี,ตะโละ,ยะหริ่ง,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดปิยาราม,ปิยามุมัง,ยะหริ่ง,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกลาง,บ้านกลาง,ปะนาเระ,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกอแลบีเละ,ปะกาฮะรัง,เมืองปัตตานี,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกาแลกุมิ,คอลอตันหยง,หนองจิก,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกาแลบือซา,กะมิยอ,เมืองปัตตานี,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกาหยี,ปุโละปุโย,หนองจิก,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกาฮง,บาราเฮาะ,เมืองปัตตานี,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกือยา,ปะกาฮะรัง,เมืองปัตตานี,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกูวิง,บานา,เมืองปัตตานี,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะเปาะ,เกาะเปาะ,หนองจิก,ปัตตานี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเกาะหม้อแกง,ท่ากำชำ,หนองจิก,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองช้าง,ยาบี,หนองจิก,ปัตตานี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองต่ำ,ปะนาเระ,ปะนาเระ,ปัตตานี,อนุบาล–ประถมศึกษา
