name,subDistrict,district,province,level
โรงเรียนจอมสุรางค์อุปถัมภ์,หอรัตนไชย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนท่าช้างวิทยาคม,ท่าช้าง,นครหลวง,พระนครศรีอยุธยา,มัธยมศึกษา
"โรงเรียนท่าเรือ ""นิตยานุกูล""",ท่าเรือ,ท่าเรือ,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนท่าหลวงวิทยานุกูล,ท่าหลวง,ท่าเรือ,พระนครศรีอยุธยา,มัธยมศึกษา
"โรงเรียนนครหลวง ""อุดมรัชต์วิทยา""",นครหลวง,นครหลวง,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนบางซ้ายวิทยา,แก้วฟ้า,บางซ้าย,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนบางไทรวิทยา,บางไทร,บางไทร,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนบางบาล,บางบาล,บางบาล,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนบางปะหัน,บ้านลี่,บางปะหัน,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนบางปะอิน,บ้านเลน,บางปะอิน,พระนครศรีอยุธยา,มัธยมศึกษา
"โรงเรียนบางปะอิน ""ราชานุเคราะห์ ๑""",บ้านเลน,บางปะอิน,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนบ้านแพรกประชาสรรค์,สำพะเนียง,บ้านแพรก,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนปากกรานพิทยา,ปากกราน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,มัธยมศึกษา
"โรงเรียนผักไห่ ""สุทธาประมุข""",อมฤต,ผักไห่,พระนครศรีอยุธยา,มัธยมศึกษา
"โรงเรียนภาชี ""สุนทรวิทยานุกูล""",ภาชี,ภาชี,พระนครศรีอยุธยา,มัธยมศึกษา
"โรงเรียนมหาราช ""ประชานิมิต""",มหาราช,มหาราช,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนลาดงาประชาบำรุง,ลาดงา,เสนา,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนลาดชะโดสามัคคี,จักราช,ผักไห่,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนลาดบัวหลวงไพโรจน์วิทยา,พระยาบันลือ,ลาดบัวหลวง,พระนครศรีอยุธยา,มัธยมศึกษา
"โรงเรียนวังน้อย ""พนมยงค์วิทยา""",ชะแมบ,วังน้อย,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนวัดโพธิ์ผักไห่ (เวชพันธุ์อนุสรณ์),ผักไห่,ผักไห่,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนวิเชียรกลิ่นสุคนธ์อุปถัมภ์,ลำไทร,วังน้อย,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนสาคลีวิทยา,สามตุ่ม,เสนา,พระนครศรีอยุธยา,มัธยมศึกษา
"โรงเรียนเสนา ""เสนาประสิทธิ์""",เสนา,เสนา,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนหนองน้ำส้มวิทยาคม,หนองน้ำส้ม,อุทัย,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนอยุธยานุสรณ์,หัวรอ,พระนครศรีอยุธยา,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนอยุธยาวิทยาลัย,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนอุดมศีลวิทยา,ตลาดเกรียบ,บางปะอิน,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนอุทัย,อุทัย,อุทัย,พระนครศรีอยุธยา,มัธยมศึกษา
โรงเรียนกลางคลอง 27,ชะแมบ,วังน้อย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนคอตันคลอง 27,สนับทึบ,วังน้อย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนจรูญกิมลี้กิจจาทรอนุสรณ์,ลำตาเสา,วังน้อย,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชลประทานอนุเคราะห์,พยอม,วังน้อย,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนโคกม่วงเผอิญศรีภูธรอุปถัมภ์,โคกม่วง,ภาชี,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดโขดเขมาราม (ประชาประเสริฐวิทย์),บ้านขล้อ,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดบ้านร่อม,บ้านร่อม,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดระโสม,ระโสม,ภาชี,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดสำพะเนียง (แร่ผดุงวิทยา),สำพะเนียง,บ้านแพรก,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดสุเมธ,บ้านใหม่,มหาราช,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดเสด็จ (คุณศรีประเสริฐอุปถัมภ์),คลองสะแก,นครหลวง,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเชาวน์วัศ,คานหาม,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนตะโกดอนหญ้านาง,ดอนหญ้านาง,ภาชี,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนนครหลวง (พิบูลประเสริฐวิทย์),นครหลวง,นครหลวง,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนบ่อแร่,หนองขนาก,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกะทุ่มลาย,ลำตาเสา,วังน้อย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านข่อยโทน,เสนา,อุทัย,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองตะเคียน หมู่ 2,คลองตะเคียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคู้คด,หนองน้ำส้ม,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านช้าง,บ้านช้าง,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนข่อย,โคกม่วง,ภาชี,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านบ่อตาโล่,บ่อตาโล่,วังน้อย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเป็ด,ข้าวเม่า,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านลำแดง,หันตะเภา,วังน้อย,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านสร้าง (สำริต ภู่เงิน อนุสรณ์),บ่อตาโล่,วังน้อย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนปฐมวิทยาคาร,บ้านใหม่,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนประชาผดุงวิทย์ (ฟ้อน ฟุ้ง อุทิศ),หนองขนาก,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนประชาสามัคคี,คลองตะเคียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนประตูชัย,ท่าวาสุกรี,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนพรพินิตพิทยาคาร,สำเภาล่ม,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนพระอินทร์ศึกษา (กล่อมสกุลอุทิศ),พยอม,วังน้อย,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษา
โรงเรียนโพธิ์ราษฎร์บำรุง,สองห้อง,บ้านแพรก,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนมุสลิมบำรุง,บ่อตาโล่,วังน้อย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนลุมพลีชนูปถัมภ์,ลุมพลี,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวังน้อยวิทยาภูมิ,ลำตาเสา,วังน้อย,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดกลาง (ปากกรานสามัคคี),ปากกราน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดกลางคลองสระบัว,คลองสระบัว,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดกษัตราธิราช,บ้านป้อม,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดกะสังข์ (พิศิษฎ์นวการอุปถัมภ์),ธนู,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดกุฎีประสิทธิ์,ลำไทร,วังน้อย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดกุฎีลาย,บ้านใหม่,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดกุ่มแต้,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดเกาะเลิ่ง,บางปะหัน,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดแก้วตา,บางเพลิง,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดไก่,หันสัง,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดไก่จ้น (ชลประทานอุปถัมภ์),ท่าหลวง,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดไก่เตี้ย,คลองน้อย,บ้านแพรก,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดไก่เตี้ย (วิทยสุนทร),บ้านรุน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดขุนทิพย์ (สาครราษฎร์บำรุง),ธนู,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดคานหาม,คานหาม,อุทัย,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดค่าย (เล็กจุฬาประชานุสรณ์),ขวัญเมือง,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดแค,ปากท่า,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดโคก (ธูปะเตมีย์อุปถัมภ์),พุทเลา,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดโคกกรวด,โคกม่วง,ภาชี,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดโคกช้าง (ราษฎร์บำรุง),อุทัย,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดโคกโพธิ์,โพสาวหาญ,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดโคกมะยม,คานหาม,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดโคกสังข์,โคกม่วง,ภาชี,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดจงกลณี (ประสิทธิ์วิทยา),ท่าเจ้าสนุก,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดจอมเกษ,ขยาย,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดจำปา,จำปา,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดจำปา,อุทัย,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดเจริญธรรม เผอิญศรีภูธรอุปถัมภ์,ภาชี,ภาชี,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดเจ้าปลุก (เติมรัฐประชาสรรค์),เจ้าปลุก,มหาราช,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดช้าง,ปากกราน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดช้างใหญ่ (ประคณห์คดีประชารัฐ),วัดตูม,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอกไม้,หันสัง,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนประดู่,บ้านร่อม,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนพุดซา,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดดาวคะนอง,โพธิ์สามต้น,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดตะบอง (ธรรมาภิรมอุปถัมภ์),กะทุ่ม,มหาราช,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดตาลเอน (โศภนชนูปถัมภ์),ตาลเอน,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดตูม (สิริปุณยาประชาสรรค์),วัดตูม,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดโตนด,ข้าวเม่า,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดโตนด (บุญชื่นอุปถัมภ์),บางนางร้า,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดโตนดเตี้ย,อุทัย,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดทอง (สามัคคยานุสรณ์),พระนอน,นครหลวง,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดทางกลาง (ประชาสามัคคีอุปถัมภ์),ทางกลาง,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดท่าตอเลิศบุญยงค์วิทยา,ท่าตอ,มหาราช,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดท้าวอู่ทอง,บ้านใหม่,บ้านแพรก,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดทำใหม่,ปากกราน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดทุ่งมน,หนองขนาก,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดเทพคันธาราม,โพธิ์เอน,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดเทพอุปการาม (อุป อุ่นพัฒนาประชาสรรค์),ตานิม,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดไทรงาม,บ้านหีบ,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดธรรมจริยา,ข้าวงาม,วังน้อย,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดนครโปรดสัตว์,คลองน้อย,บ้านแพรก,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดนนทรีย์,พุทเลา,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดน้อย (วิเชียรสร้อยเกลียวอุปถัมภ์),ท่าช้าง,นครหลวง,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดนาค,บางปะหัน,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดนางคุ่ม,ศาลาลอย,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดนางชี,บ้านหีบ,อุทัย,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดนาอุ่น,ไผ่ล้อม,ภาชี,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดบัวงาม,จำปา,ท่าเรือ,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดบางเดื่อ,บางเดื่อ,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดบางเพลิง (คงสกุลมากอุทิศ),บางเพลิง,บางปะหัน,พระนครศรีอยุธยา,อนุบาล–ประถมศึกษา
โรงเรียนวัดบางสงบ (กองวารีวิทยานุสรณ์),บางนา,มหาราช,พระนครศรีอยุธยา,อนุบาล–มัธยมศึกษาตอนต้น
