name,subDistrict,district,province,level
โรงเรียนขุนควรวิทยาคม,ขุนควร,ปง,พะเยา,มัธยมศึกษา
โรงเรียนงำเมืองวิทยาคม,ห้วยลาน,ดอกคำใต้,พะเยา,มัธยมศึกษา
โรงเรียนจุนวิทยาคม,ห้วยข้าวก่ำ,จุน,พะเยา,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ พะเยา,ห้วยแก้ว,ภูกามยาว,พะเยา,มัธยมศึกษา
โรงเรียนเชียงคำวิทยาคม,หย่วน,เชียงคำ,พะเยา,มัธยมศึกษา
โรงเรียนเชียงม่วนวิทยาคม,เชียงม่วน,เชียงม่วน,พะเยา,มัธยมศึกษา
โรงเรียนดงเจนวิทยาคม,ดงเจน,ภูกามยาว,พะเยา,มัธยมศึกษา
โรงเรียนดอกคำใต้วิทยาคม,ดอนศรีชุม,ดอกคำใต้,พะเยา,มัธยมศึกษา
โรงเรียนถ้ำปินวิทยาคม,บ้านถ้ำ,ดอกคำใต้,พะเยา,มัธยมศึกษา
โรงเรียนปงพัฒนาวิทยาคม,งิม,ปง,พะเยา,มัธยมศึกษา
โรงเรียนปงรัชดาภิเษก,นาปรัง,ปง,พะเยา,มัธยมศึกษา
โรงเรียนฝายกวางวิทยาคม,ฝายกวาง,เชียงคำ,พะเยา,มัธยมศึกษา
โรงเรียนพญาลอวิทยาคม,ทุ่งรวงทอง,จุน,พะเยา,มัธยมศึกษา
โรงเรียนพะเยาประสาธน์วิทย์,ท่าจำปี,เมืองพะเยา,พะเยา,มัธยมศึกษา
โรงเรียนพะเยาพิทยาคม,เวียง,เมืองพะเยา,พะเยา,มัธยมศึกษา
โรงเรียนฟากกว๊านวิทยาคม,บ้านตุ่น,เมืองพะเยา,พะเยา,มัธยมศึกษา
โรงเรียนภูซางวิทยาคม,สบบง,ภูซาง,พะเยา,มัธยมศึกษา
โรงเรียนแม่ใจวิทยาคม,ศรีถ้อย,แม่ใจ,พะเยา,มัธยมศึกษา
โรงเรียนเจริญใจ,ศรีถ้อย,แม่ใจ,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านตุ้มท่า,ท่าจำปี,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านป่าแฝกสามัคคี,ป่าแฝก,แม่ใจ,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านแม่สุก,แม่สุก,แม่ใจ,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านแม่ใส,แม่ใส,เมืองพะเยา,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านห้วยลาน,ห้วยลาน,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนตำบลสันป่าม่วง,สันป่าม่วง,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 46 (ดอกคำใต้),ดอนศรีชุม,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกว้านเหนือ (สุทัศน์อุปถัมภ์),ดงเจน,ภูกามยาว,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกาดถี,ห้วยแก้ว,ภูกามยาว,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านค่า,ป่าซาง,ดอกคำใต้,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านค่าบน,ป่าซาง,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านจำไก่,สันโค้ง,ดอกคำใต้,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านจำป่าหวาย,จำป่าหวาย,เมืองพะเยา,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเจน (เจนจันทรานุกูล),ดงเจน,ภูกามยาว,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดง,ดงสุวรรณ,ดอกคำใต้,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านดงบุญนาค,บ้านเหล่า,แม่ใจ,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านดงอินตา,บ้านเหล่า,แม่ใจ,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านดอกคำใต้,ดอนศรีชุม,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอกบัว (บุญมานุเคราะห์),ท่าวังทอง,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอกบัว (ราษฎร์บำรุง),บ้านตุ่น,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดาวเรือง (ธนาคารกรุงเทพ 17),จำป่าหวาย,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านต๋อม,บ้านต๋อม,เมืองพะเยา,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านต๊ำพระแล,บ้านต๊ำ,เมืองพะเยา,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านต๊ำม่อน,บ้านต๊ำ,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านต๊ำเหล่า,ท่าจำปี,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านถ้ำประชานุเคราะห์,บ้านถ้ำ,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านถ้ำประชาบำรุง,บ้านถ้ำ,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งต้นศรี,ห้วยลาน,ดอกคำใต้,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านทุ่งป่าข่า,ศรีถ้อย,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งหลวง,ดอนศรีชุม,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเนินสมบูรณ์,ห้วยลาน,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบุญเรือง (อินทะวงศานุเคราะห์),บุญเกิด,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าคา,แม่ปืม,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปาง,คือเวียง,ดอกคำใต้,พะเยา,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านปางงุ้น,หนองหล่ม,ดอกคำใต้,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านป่าตึง,แม่ใจ,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าแฝกใต้,ป่าแฝก,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าแฝกเหนือ,ป่าแฝก,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าสักสามัคคี,ศรีถ้อย,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปิน,บ้านปิน,ดอกคำใต้,พะเยา,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโป่ง,บ้านใหม่,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโพธิ์ทอง,คือเวียง,ดอกคำใต้,พะเยา,ประถมศึกษา
โรงเรียนบ้านภูเงิน,แม่ปืม,เมืองพะเยา,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านม่วงคำ,ห้วยแก้ว,ภูกามยาว,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่กา,แม่กา,เมืองพะเยา,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่จว้า,แม่สุก,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่จว้าใต้,แม่สุก,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ใจ (แม่ใจเพาะวิทยาการ),แม่ใจ,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ต๋ำบุญโยง,แม่กา,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่นาเรือใต้,แม่นาเรือ,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่พริก,หนองหล่ม,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่อิง,แม่อิง,ภูกามยาว,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านร่องคำ,แม่นาเรือ,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านร่องจว้า,สว่างอารมณ์,ดอกคำใต้,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านร่องปอ,ดงเจน,ภูกามยาว,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านร่องห้า,บ้านต๋อม,เมืองพะเยา,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านไร่,แม่นาเรือ,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไร่อ้อย,บ้านเหล่า,แม่ใจ,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านวังขอนแดง,ห้วยลาน,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านศาลา,ท่าวังทอง,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสันจกปก,ดอกคำใต้,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสันต้นผึ้ง,แม่อิง,ภูกามยาว,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสันต้นม่วง,เจริญราษฎร์,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสันเวียงใหม่,บ้านสาง,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสาง,บ้านสาง,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองลาว,ห้วยแก้ว,ภูกามยาว,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองสระ,ป่าแฝก,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองหล่ม,หนองหล่ม,ดอกคำใต้,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยแก้ว,ห้วยแก้ว,ภูกามยาว,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยเคียน,แม่กา,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยเจริญราษฎร์,เจริญราษฎร์,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยทรายขาว,ห้วยแก้ว,ภูกามยาว,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยบง,แม่ปืม,เมืองพะเยา,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเหล่า,บ้านเหล่า,แม่ใจ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านใหม่,หนองหล่ม,ดอกคำใต้,พะเยา,ประถมศึกษา
โรงเรียนบ้านใหม่,บ้านใหม่,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านอิงโค้ง,ห้วยแก้ว,ภูกามยาว,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนอนุบาลดอกคำใต้ (ชุมชนสันช้างหิน),บุญเกิด,ดอกคำใต้,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลพะเยา,เวียง,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลภูกามยาว,ดงเจน,ภูกามยาว,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลเมืองพะเยาบ้านโทกหวาก,แม่กา,เมืองพะเยา,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลแม่ใจ (บ้านศรีถ้อย),ศรีถ้อย,แม่ใจ,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชัยชุมภู,น้ำแวน,เชียงคำ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านเชียงบาน,เชียงบาน,เชียงคำ,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านดอนไชย,งิม,ปง,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านทุ่ง (อินมีอุปถัมภ์),ห้วยข้าวก่ำ,จุน,พะเยา,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านบอน,ปง,ปง,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านหนองเลา,ภูซาง,ภูซาง,พะเยา,อนุบาล–มัธยมศึกษาตอนต้น
