name,subDistrict,district,province,level
โรงเรียนกะปงพิทยาคม,เหมาะ,กะปง,พังงา,มัธยมศึกษา
โรงเรียนเกาะยาววิทยา,เกาะยาวน้อย,เกาะยาว,พังงา,มัธยมศึกษา
โรงเรียนคลองเคียนรัฐราษฎร์รังสรรค์,คลองเคียน,ตะกั่วทุ่ง,พังงา,มัธยมศึกษา
โรงเรียนคุระบุรีชัยพัฒนาพิทยาคม,คุระ,คุระบุรี,พังงา,มัธยมศึกษา
โรงเรียนดีบุกพังงาวิทยายน,ท้ายช้าง,เมืองพังงา,พังงา,มัธยมศึกษา
โรงเรียนตะกั่วทุ่งงานทวีวิทยาคม,กะไหล,ตะกั่วทุ่ง,พังงา,มัธยมศึกษา
โรงเรียนตะกั่วป่าคีรีเขต,บางไทร,ตะกั่วป่า,พังงา,มัธยมศึกษา
โรงเรียนตะกั่วป่าเสนานุกูล,บางนายสี,ตะกั่วป่า,พังงา,มัธยมศึกษา
โรงเรียนทับปุดวิทยา,บ่อแสน,ทับปุด,พังงา,มัธยมศึกษา
โรงเรียนท้ายเหมืองวิทยา,นาเตย,ท้ายเหมือง,พังงา,มัธยมศึกษา
โรงเรียนทุ่งโพธิ์วิทยา,โคกกลอย,ตะกั่วทุ่ง,พังงา,มัธยมศึกษา
โรงเรียนทุ่งมะพร้าววิทยา,ทุ่งมะพร้าว,ท้ายเหมือง,พังงา,มัธยมศึกษา
โรงเรียนสตรีพังงา,ท้ายช้าง,เมืองพังงา,พังงา,มัธยมศึกษา
โรงเรียนกะปง,ท่านา,กะปง,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนเกาะเคี่ยม,บางเตย,เมืองพังงา,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนเกาะปันหยี,เกาะปันหยี,เมืองพังงา,พังงา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเกาะไม้ไผ่,เกาะปันหยี,เมืองพังงา,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนเกาะยาว,เกาะยาวน้อย,เกาะยาว,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนเกาะหมากน้อย,เกาะปันหยี,เมืองพังงา,พังงา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเกียรติประชา,เกาะพระทอง,คุระบุรี,พังงา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนคุระบุรี,คุระ,คุระบุรี,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนชาวไทยใหม่ (โดม-ทักษิณอนุสรณ์),ท้ายเหมือง,ท้ายเหมือง,พังงา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 54 (วัดไสเสียด),บ่อแสน,ทับปุด,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนนิคมสร้างตนเอง 1,ทุ่งมะพร้าว,ท้ายเหมือง,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนนิคมสร้างตนเอง 2,ลำภี,ท้ายเหมือง,พังงา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกระโสม (ผดุงนิคมวิทยา),กระโสม,ตะกั่วทุ่ง,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกลาง,บางเตย,เมืองพังงา,พังงา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกะปง,กะปง,กะปง,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกะไหล,กะไหล,ตะกั่วทุ่ง,พังงา,ประถมศึกษา
โรงเรียนบ้านเกาะกลาง,กะไหล,ตะกั่วทุ่ง,พังงา,ประถมศึกษา
โรงเรียนบ้านเกาะนก,ทุ่งมะพร้าว,ท้ายเหมือง,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาเฒ่า,บางเตย,เมืองพังงา,พังงา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขาน้อย,ท้ายเหมือง,ท้ายเหมือง,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาปิหลาย,โคกกลอย,ตะกั่วทุ่ง,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาเปาะ,กระโสม,ตะกั่วทุ่ง,พังงา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองดินเหนียว,พรุใน,เกาะยาว,พังงา,อนุบาล–ประถมศึกษา
