name,subDistrict,district,province,level
โรงเรียนกงหราพิชากร,คลองทรายขาว,กงหรา,พัทลุง,มัธยมศึกษา
โรงเรียนเขาชัยสน,เขาชัยสน,เขาชัยสน,พัทลุง,มัธยมศึกษา
โรงเรียนควนขนุน,โตนดด้วน,ควนขนุน,พัทลุง,มัธยมศึกษา
โรงเรียนควนพระสาครินทร์,ฝาละมี,ปากพะยูน,พัทลุง,มัธยมศึกษา
โรงเรียนชะรัดชนูปถัมภ์,สมหวัง,กงหรา,พัทลุง,มัธยมศึกษา
โรงเรียนดอนศาลานำวิทยา,มะกอกเหนือ,ควนขนุน,พัทลุง,มัธยมศึกษา
โรงเรียนตะแพนพิทยา,ตะแพน,ศรีบรรพต,พัทลุง,มัธยมศึกษา
โรงเรียนตะโหมด,แม่ขรี,ตะโหมด,พัทลุง,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ พัทลุง,ควนมะพร้าว,เมืองพัทลุง,พัทลุง,มัธยมศึกษา
โรงเรียนนาขยาดวิทยาคาร,นาขยาด,ควนขนุน,พัทลุง,มัธยมศึกษา
โรงเรียนนิคมควนขนุนวิทยา,ลานข่อย,ป่าพะยอม,พัทลุง,มัธยมศึกษา
โรงเรียนบางแก้วพิทยาคม,โคกสัก,บางแก้ว,พัทลุง,มัธยมศึกษา
โรงเรียนประชาบำรุงอุทิตกิจจาทร,ตะโหมด,ตะโหมด,พัทลุง,มัธยมศึกษา
โรงเรียนประภัสสรรังสิต,นาท่อม,เมืองพัทลุง,พัทลุง,มัธยมศึกษา
โรงเรียนปัญญาวุธ,แพรกหา,ควนขนุน,พัทลุง,มัธยมศึกษา
โรงเรียนปากพะยูนพิทยาคาร,ดอนประดู่,ปากพะยูน,พัทลุง,มัธยมศึกษา
โรงเรียนป่าบอนพิทยาคม,วังใหม่,ป่าบอน,พัทลุง,มัธยมศึกษา
โรงเรียนป่าพะยอมพิทยาคม,บ้านพร้าว,ป่าพะยอม,พัทลุง,มัธยมศึกษา
โรงเรียนพนางตุง,พนางตุง,ควนขนุน,พัทลุง,มัธยมศึกษา
โรงเรียนพรหมพินิตชัยบุรี,ชัยบุรี,เมืองพัทลุง,พัทลุง,มัธยมศึกษา
โรงเรียนพัทลุง,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,มัธยมศึกษา
โรงเรียนวชิรธรรมสถิต,ตำนาน,เมืองพัทลุง,พัทลุง,มัธยมศึกษา
โรงเรียนศรีบรรพตพิทยาคม,เขาย่า,ศรีบรรพต,พัทลุง,มัธยมศึกษา
โรงเรียนสตรีพัทลุง,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,มัธยมศึกษา
โรงเรียนหานโพธิ์พิทยาคม,หานโพธิ์,เขาชัยสน,พัทลุง,มัธยมศึกษา
โรงเรียนหารเทารังสีประชาสรรค์,หารเทา,ปากพะยูน,พัทลุง,มัธยมศึกษา
โรงเรียนอุดมวิทยายน,ปันแต,ควนขนุน,พัทลุง,มัธยมศึกษา
โรงเรียนชุณหะวัณ,เขาปู่,ศรีบรรพต,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านควนปริง,พนมวังก์,ควนขนุน,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนทุ่งยางเปล,พนมวังก์,ควนขนุน,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขัน,ชุมพล,ศรีนครินทร์,พัทลุง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านขันหมู่,นาขยาด,ควนขนุน,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาปู่,เขาปู่,ศรีบรรพต,พัทลุง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านควนกุฎ,ควนมะพร้าว,เมืองพัทลุง,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนขนุน,ควนขนุน,ควนขนุน,พัทลุง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านควนดินแดง,ดอนทราย,ควนขนุน,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนดินสอ (กรป.กลางอุปถัมภ์),ชุมพล,ศรีนครินทร์,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนพนางตุง (สินประชา),พนางตุง,ควนขนุน,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนพลี,ควนขนุน,ควนขนุน,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกโดน,โตนดด้วน,ควนขนุน,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านชายคลอง,พนางตุง,ควนขนุน,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านต้นไทร,นาโหนด,เมืองพัทลุง,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านตลิ่งชัน,บ้านพร้าว,ป่าพะยอม,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเตง,แหลมโตนด,ควนขนุน,พัทลุง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเตาปูน,ลำปำ,เมืองพัทลุง,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโตน,ลำสินธุ์,ศรีนครินทร์,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านถ้ำลา,ลานข่อย,ป่าพะยอม,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าช้าง,พนางตุง,ควนขนุน,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งชุมพล,ลานข่อย,ป่าพะยอม,พัทลุง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านไทรทอง,เขาย่า,ศรีบรรพต,พัทลุง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านธรรมเถียร (สุขประชารัฐ),พนางตุง,ควนขนุน,พัทลุง,อนุบาล–ประถมศึกษา
