name,subDistrict,district,province,level
โรงเรียนกำแพงดินพิทยาคม,กำแพงดิน,สามง่าม,พิจิตร,มัธยมศึกษา
โรงเรียนเขาทรายทับคล้อพิทยา,เขาทราย,ทับคล้อ,พิจิตร,มัธยมศึกษา
โรงเรียนดงเจริญพิทยาคม,ห้วยพุก,ดงเจริญ,พิจิตร,มัธยมศึกษา
โรงเรียนดงเสือเหลืองพิทยาคม,ดงเสือเหลือง,โพธิ์ประทับช้าง,พิจิตร,มัธยมศึกษา
โรงเรียนตะพานหิน,ตะพานหิน,ตะพานหิน,พิจิตร,มัธยมศึกษา
โรงเรียนท่าเสาพิทยาคม,ท่าเสา,โพทะเล,พิจิตร,มัธยมศึกษา
โรงเรียนทุ่งโพธิ์พิทยา,ทุ่งโพธิ์,ตะพานหิน,พิจิตร,มัธยมศึกษา
โรงเรียนเนินปอรังนกชนูทิศ,เนินปอ,สามง่าม,พิจิตร,มัธยมศึกษา
โรงเรียนบางมูลนากภูมิวิทยาคม,บางมูลนาก,บางมูลนาก,พิจิตร,มัธยมศึกษา
โรงเรียนพิจิตรพิทยาคม,ในเมือง,เมืองพิจิตร,พิจิตร,มัธยมศึกษา
โรงเรียนพิบูลธรรมเวทวิทยา,บางคลาน,โพทะเล,พิจิตร,มัธยมศึกษา
โรงเรียนโพธิ์ไทรงามวิทยาคม,โพธิ์ไทรงาม,บึงนาราง,พิจิตร,มัธยมศึกษา
โรงเรียนโพธิธรรมสุวัฒน์,โพทะเล,โพทะเล,พิจิตร,มัธยมศึกษา
โรงเรียนเมธีพิทยา,ท่าฬ่อ,เมืองพิจิตร,พิจิตร,มัธยมศึกษา
โรงเรียนวชิรบารมีพิทยาคม,หนองหลุม,วชิรบารมี,พิจิตร,มัธยมศึกษา
โรงเรียนวังโมกข์พิทยาคม,วังโมกข์,วชิรบารมี,พิจิตร,มัธยมศึกษา
โรงเรียนวังกรดพิทยา,บ้านบุ่ง,เมืองพิจิตร,พิจิตร,มัธยมศึกษา
โรงเรียนวังงิ้ววิทยาคม,วังงิ้วใต้,ดงเจริญ,พิจิตร,มัธยมศึกษา
โรงเรียนวังตะกูราษฎร์อุทิศ,วังตะกู,บางมูลนาก,พิจิตร,มัธยมศึกษา
โรงเรียนวังทรายพูนวิทยา,หนองพระ,วังทรายพูน,พิจิตร,มัธยมศึกษา
โรงเรียนวังสำโรงวังหว้า,วังสำโรง,ตะพานหิน,พิจิตร,มัธยมศึกษา
โรงเรียนวันทีสถิตย์พิทยาคม,ท้ายทุ่ง,ทับคล้อ,พิจิตร,มัธยมศึกษา
โรงเรียนสรรเพชญอัฏฐมาพิทยาคม,โพธิ์ประทับช้าง,โพธิ์ประทับช้าง,พิจิตร,มัธยมศึกษา
โรงเรียนสระหลวงพิทยาคม,คลองคะเชนทร์,เมืองพิจิตร,พิจิตร,มัธยมศึกษา
โรงเรียนสากเหล็กวิทยา,สากเหล็ก,สากเหล็ก,พิจิตร,มัธยมศึกษา
โรงเรียนสามง่ามชนูปถัมภ์,สามง่าม,สามง่าม,พิจิตร,มัธยมศึกษา
โรงเรียนหนองโสนพิทยาคม,หนองโสน,สามง่าม,พิจิตร,มัธยมศึกษา
