name,subDistrict,district,province,level
โรงเรียนคันโช้งพิทยาคม,คันโช้ง,วัดโบสถ์,พิษณุโลก,มัธยมศึกษา
โรงเรียนจ่านกร้อง,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,มัธยมศึกษา
โรงเรียนเฉลิมขวัญสตรี,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,มัธยมศึกษา
โรงเรียนชาติตระการวิทยา,ป่าแดง,ชาติตระการ,พิษณุโลก,มัธยมศึกษา
โรงเรียนชุมแสงสงคราม (อุดรคณารักษ์อุปถัมภ์),ชุมแสงสงคราม,บางระกำ,พิษณุโลก,มัธยมศึกษา
โรงเรียนดงประคำพิทยาคม,ดงประคำ,พรหมพิราม,พิษณุโลก,มัธยมศึกษา
โรงเรียนดอนทองวิทยา,ดอนทอง,เมืองพิษณุโลก,พิษณุโลก,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษา ภาคเหนือ,หัวรอ,เมืองพิษณุโลก,พิษณุโลก,มัธยมศึกษาตอนปลาย
โรงเรียนทรัพย์ไพรวัลย์วิทยาคม,แก่งโสภา,วังทอง,พิษณุโลก,มัธยมศึกษา
โรงเรียนท่าทองพิทยาคม,ท่าทอง,เมืองพิษณุโลก,พิษณุโลก,มัธยมศึกษา
โรงเรียนไทรย้อยพิทยาคม,ไทรย้อย,เนินมะปราง,พิษณุโลก,มัธยมศึกษา
โรงเรียนนครชุมพิทยา รัชมังคลาภิเษก,นครชุม,นครไทย,พิษณุโลก,มัธยมศึกษา
โรงเรียนนครไทย,นครไทย,นครไทย,พิษณุโลก,มัธยมศึกษา
โรงเรียนนครบางยางพิทยาคม,บ้านแยง,นครไทย,พิษณุโลก,มัธยมศึกษา
โรงเรียนนาบัววิทยา,นาบัว,นครไทย,พิษณุโลก,มัธยมศึกษา
โรงเรียนน้ำรินพิทยาคม,บ้านกลาง,วังทอง,พิษณุโลก,มัธยมศึกษา
โรงเรียนเนินกุ่มวิทยา,เนินกุ่ม,บางกระทุ่ม,พิษณุโลก,มัธยมศึกษา
โรงเรียนเนินมะปรางศึกษาวิทยา,บ้านน้อยซุ้มขี้เหล็ก,เนินมะปราง,พิษณุโลก,มัธยมศึกษา
โรงเรียนเนินสะอาดวิทยาคม,ท่าหมื่นราม,วังทอง,พิษณุโลก,มัธยมศึกษา
โรงเรียนบ่อโพธิ์วิทยา,บ่อโพธิ์,นครไทย,พิษณุโลก,มัธยมศึกษา
โรงเรียนบางกระทุ่มพิทยาคม,บางกระทุ่ม,บางกระทุ่ม,พิษณุโลก,มัธยมศึกษา
โรงเรียนบางระกำวิทยศึกษา,บางระกำ,บางระกำ,พิษณุโลก,มัธยมศึกษา
โรงเรียนบ้านกร่างวิทยาคม,บ้านกร่าง,เมืองพิษณุโลก,พิษณุโลก,มัธยมศึกษา
โรงเรียนบ้านกลางพิทยาคม,บ้านกลาง,วังทอง,พิษณุโลก,มัธยมศึกษา
โรงเรียนประชาสงเคราะห์วิทยา,หนองกุลา,บางระกำ,พิษณุโลก,มัธยมศึกษา
โรงเรียนพรหมพิรามวิทยา,พรหมพิราม,พรหมพิราม,พิษณุโลก,มัธยมศึกษา
โรงเรียนพิษณุโลกพิทยาคม,ท่าทอง,เมืองพิษณุโลก,พิษณุโลก,มัธยมศึกษา
โรงเรียนพุทธชินราชพิทยา,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,มัธยมศึกษา
โรงเรียนยางโกลนวิทยา,ยางโกลน,นครไทย,พิษณุโลก,มัธยมศึกษา
โรงเรียนวังโพรงพิทยาคม,วังโพรง,เนินมะปราง,พิษณุโลก,มัธยมศึกษา
โรงเรียนวังมะด่านพิทยาคม,วงฆ้อง,พรหมพิราม,พิษณุโลก,มัธยมศึกษา
โรงเรียนวังทองพิทยาคม,ชัยนาม,วังทอง,พิษณุโลก,มัธยมศึกษา
โรงเรียนวังน้ำคู้ศึกษา,วังน้ำคู้,เมืองพิษณุโลก,พิษณุโลก,มัธยมศึกษา
โรงเรียนวังพิกุลวิทยศึกษา,วังพิกุล,วังทอง,พิษณุโลก,มัธยมศึกษา
โรงเรียนวัดโบสถ์ศึกษา,วัดโบสถ์,วัดโบสถ์,พิษณุโลก,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย พิษณุโลก,มะขามสูง,เมืองพิษณุโลก,พิษณุโลก,มัธยมศึกษา
โรงเรียนสฤษดิ์เสนาพิทยาคม,วังนกแอ่น,วังทอง,พิษณุโลก,มัธยมศึกษา
โรงเรียนสวนเมี่ยงวิทยา,สวนเมี่ยง,ชาติตระการ,พิษณุโลก,มัธยมศึกษา
โรงเรียนหนองพระพิทยา,หนองพระ,วังทอง,พิษณุโลก,มัธยมศึกษา
โรงเรียนคลองวัดไร่,บางระกำ,บางระกำ,พิษณุโลก,อนุบาล–ประถมศึกษา
โรงเรียนจ่าการบุญ,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,ประถมศึกษา
โรงเรียนชุมชน 1 วัดสะกัดน้ำมัน,ท่าโพธิ์,เมืองพิษณุโลก,พิษณุโลก,อนุบาล–มัธยมศึกษาตอนต้น
