name,subDistrict,district,province,level
โรงเรียนกะทู้วิทยา,กะทู้,กะทู้,ภูเก็ต,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,วิชิต,เมืองภูเก็ต,ภูเก็ต,มัธยมศึกษา
โรงเรียนเชิงทะเลวิทยาคม “จุติ-ก้อง อนุสรณ์”,เชิงทะเล,ถลาง,ภูเก็ต,มัธยมศึกษา
โรงเรียนภูเก็ตวิทยาลัย,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,มัธยมศึกษา
โรงเรียนเมืองถลาง,เทพกระษัตรี,ถลาง,ภูเก็ต,มัธยมศึกษา
โรงเรียนวีรสตรีอนุสรณ์,ป่าคลอก,ถลาง,ภูเก็ต,มัธยมศึกษา
โรงเรียนสตรีภูเก็ต,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,มัธยมศึกษา
โรงเรียนเกาะมะพร้าว,เกาะแก้ว,เมืองภูเก็ต,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนเกาะสิเหร่,รัษฎา,เมืองภูเก็ต,ภูเก็ต,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเกาะโหลน,ราไวย์,เมืองภูเก็ต,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนถลางพระนางสร้าง,เทพกระษัตรี,ถลาง,ภูเก็ต,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนท่าฉัตรไชย,ไม้ขาว,ถลาง,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 29 (กะทู้),กะทู้,กะทู้,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกะตะ (ตรีทศยุทธอุปถัมภ์),กะรน,เมืองภูเก็ต,ภูเก็ต,ประถมศึกษา
โรงเรียนบ้านกะหลิม,ป่าตอง,กะทู้,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกู้กู,รัษฎา,เมืองภูเก็ต,ภูเก็ต,ประถมศึกษา
โรงเรียนบ้านเก็ตโฮ่,กะทู้,กะทู้,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะนาคา,ป่าคลอก,ถลาง,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคอเอน,ไม้ขาว,ถลาง,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกวัดใหม่,เทพกระษัตรี,ถลาง,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนบ้านฉลอง,ฉลอง,เมืองภูเก็ต,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าเรือ,ศรีสุนทร,ถลาง,ภูเก็ต,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งคา (บุณยขจรประชาอาสา),รัษฎา,เมืองภูเก็ต,ภูเก็ต,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านในทอน,สาคู,ถลาง,ภูเก็ต,ประถมศึกษา
