name,subDistrict,district,province,level
โรงเรียนกันทรวิชัย,โคกพระ,กันทรวิชัย,มหาสารคาม,มัธยมศึกษา
โรงเรียนกุดรังประชาสรรค์,กุดรัง,กุดรัง,มหาสารคาม,มัธยมศึกษา
โรงเรียนกู่ทองพิทยาคม,กู่ทอง,เชียงยืน,มหาสารคาม,มัธยมศึกษา
โรงเรียนแกดำวิทยาคาร,แกดำ,แกดำ,มหาสารคาม,มัธยมศึกษา
โรงเรียนโกสุมวิทยาสรรค์,หัวขวาง,โกสุมพิสัย,มหาสารคาม,มัธยมศึกษา
โรงเรียนเขวาไร่ศึกษา,เขวาไร่,โกสุมพิสัย,มหาสารคาม,มัธยมศึกษา
โรงเรียนเขวาใหญ่พิทยาสรรค์,เขวาใหญ่,กันทรวิชัย,มหาสารคาม,มัธยมศึกษา
โรงเรียนเขื่อนพิทยาสรรค์,ยางท่าแจ้ง,โกสุมพิสัย,มหาสารคาม,มัธยมศึกษา
โรงเรียนชื่นชมพิทยาคาร,ชื่นชม,ชื่นชม,มหาสารคาม,มัธยมศึกษา
โรงเรียนเชียงยืนพิทยาคม,เชียงยืน,เชียงยืน,มหาสารคาม,มัธยมศึกษา
โรงเรียนดงบังพิสัยนวการนุสรณ์,ดงบัง,นาดูน,มหาสารคาม,มัธยมศึกษา
โรงเรียนดงใหญ่วิทยาคม รัชมังคลาภิเษก,ดงใหญ่,วาปีปทุม,มหาสารคาม,มัธยมศึกษา
โรงเรียนนาเชือกพิทยาสรรค์,นาเชือก,นาเชือก,มหาสารคาม,มัธยมศึกษา
โรงเรียนนาดูนประชาสรรพ์,นาดูน,นาดูน,มหาสารคาม,มัธยมศึกษา
โรงเรียนนาโพธิ์พิทยาสรรพ์,นาโพธิ์,กุดรัง,มหาสารคาม,มัธยมศึกษา
โรงเรียนนาภูพิทยาคม,นาภู,ยางสีสุราช,มหาสารคาม,มัธยมศึกษา
โรงเรียนโนนแดงวิทยาคม,โนนแดง,บรบือ,มหาสารคาม,มัธยมศึกษา
โรงเรียนโนนราษีวิทยา,โนนราษี,บรบือ,มหาสารคาม,มัธยมศึกษา
โรงเรียนบรบือ,บรบือ,บรบือ,มหาสารคาม,มัธยมศึกษา
โรงเรียนบรบือวิทยาคาร,หนองสิม,บรบือ,มหาสารคาม,มัธยมศึกษา
โรงเรียนประชาพัฒนา,ประชาพัฒนา,วาปีปทุม,มหาสารคาม,มัธยมศึกษา
โรงเรียนปอพานพิทยาคม รัชมังคลาภิเษก,ปอพาน,นาเชือก,มหาสารคาม,มัธยมศึกษา
โรงเรียนผดุงนารี,ตลาด,เมืองมหาสารคาม,มหาสารคาม,มัธยมศึกษา
โรงเรียนพยัคฆภูมิวิทยาคาร,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,มัธยมศึกษา
โรงเรียนโพนงามพิทยานุกูล,โพนงาม,โกสุมพิสัย,มหาสารคาม,มัธยมศึกษา
โรงเรียนมหาชัยพิทยาคาร,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,มัธยมศึกษา
โรงเรียนมัธยมยางสีสุราช,บ้านกู่,ยางสีสุราช,มหาสารคาม,มัธยมศึกษา
โรงเรียนมิตรภาพ,มิตรภาพ,แกดำ,มหาสารคาม,มัธยมศึกษา
โรงเรียนเมืองมหาวิชานุกูล,แวงน่าง,เมืองมหาสารคาม,มหาสารคาม,มัธยมศึกษา
โรงเรียนยางวิทยาคม,ยาง,บรบือ,มหาสารคาม,มัธยมศึกษา
โรงเรียนวังยาวศึกษาวิทย์,วังยาว,โกสุมพิสัย,มหาสารคาม,มัธยมศึกษา
โรงเรียนวาปีปทุม,หนองแสง,วาปีปทุม,มหาสารคาม,มัธยมศึกษา
โรงเรียนสารคามพิทยาคม,ตลาด,เมืองมหาสารคาม,มหาสารคาม,มัธยมศึกษา
โรงเรียนหนองม่วงวิทยาคาร,หนองม่วง,บรบือ,มหาสารคาม,มัธยมศึกษา
โรงเรียนเหล่ายาววิทยาคาร,กำพี้,บรบือ,มหาสารคาม,มัธยมศึกษา
โรงเรียนกู่สันตรัตน์,กู่สันตรัตน์,นาดูน,มหาสารคาม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนจตุคามประชาสรรค์,สร้างแซ่ง,ยางสีสุราช,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนนาสีนวล,นาสีนวล,พยัคฆภูมิพิสัย,มหาสารคาม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านงัวบา,งัวบา,วาปีปทุม,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านดงบัง,ดงบัง,นาดูน,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านโพธิ์สองห้องวิทยา,หนองแสง,วาปีปทุม,มหาสารคาม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านยางสีสุราช,ยางสีสุราช,ยางสีสุราช,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านสำโรง,สำโรง,นาเชือก,มหาสารคาม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านหนองทุ่ม,หนองทุ่ม,วาปีปทุม,มหาสารคาม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนหนองเลาเหล่าอีหมัน,หนองเม็ก,นาเชือก,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนโนนจานวิทยา,เมืองเตา,พยัคฆภูมิพิสัย,มหาสารคาม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกระต่ายโนนสวัสดิ์,สันป่าตอง,นาเชือก,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกระยอมหนองเดิ่น,หนองแสง,วาปีปทุม,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านก่อ,ดงใหญ่,วาปีปทุม,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุดนาดีโนนลาน,หนองแสน,วาปีปทุม,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุดน้ำใส,หนองเม็ก,นาเชือก,มหาสารคาม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเก่าน้อยป่าชาดโนนเพ็ก,หนองบัวแก้ว,พยัคฆภูมิพิสัย,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเก่าใหญโนนสะอาด,หนองแดง,นาเชือก,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแก่นท้าว,หนองเม็ก,นาเชือก,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแก่นเท่า,โพธิ์ชัย,วาปีปทุม,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโกทา (สำนักงานสลากกินแบ่งรัฐบาลสงเคราะห์ที่ 656),พระธาตุ,นาดูน,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไก่นา,เสือโก้ก,วาปีปทุม,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขามป้อม,ขามป้อม,วาปีปทุม,มหาสารคาม,ประถมศึกษา
โรงเรียนบ้านขามเรียน,หนองบัว,พยัคฆภูมิพิสัย,มหาสารคาม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านขี้เหล็ก,เวียงสะอาด,พยัคฆภูมิพิสัย,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขี้เหล็กขี้ตุ่นหลุบเปลือย,สำโรง,นาเชือก,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขวาค้อโคกกลาง,แคน,วาปีปทุม,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขวาทุ่ง,ภารแอ่น,พยัคฆภูมิพิสัย,มหาสารคาม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขวาไร่ (ดรุณวิทยา),เขวาไร่,นาเชือก,มหาสารคาม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านค่ายนุ่นโนนแคน,ราษฎร์เจริญ,พยัคฆภูมิพิสัย,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคึมบง,หนองโพธิ์,นาเชือก,มหาสารคาม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเครือซูด,ดงยาง,นาดูน,มหาสารคาม,อนุบาล–ประถมศึกษา
