name,subDistrict,district,province,level
โรงเรียนกกตูมประชาสรรค์ รัชมังคลาภิเษก,กกตูม,ดงหลวง,มุกดาหาร,มัธยมศึกษา
โรงเรียนคำชะอีพิทยาคม,คำชะอี,คำชะอี,มุกดาหาร,มัธยมศึกษา
โรงเรียนคำชะอีวิทยาคาร,น้ำเที่ยง,คำชะอี,มุกดาหาร,มัธยมศึกษา
โรงเรียนคำบกวิทยาคาร,คำบก,คำชะอี,มุกดาหาร,มัธยมศึกษา
โรงเรียนคำป่าหลายสรรพวิทย์,คำป่าหลาย,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนคำสร้อยพิทยาสรรค์,นากอก,นิคมคำสร้อย,มุกดาหาร,มัธยมศึกษา
โรงเรียนชัยปัญญาวิทยานุสรณ์,บ้านค้อ,คำชะอี,มุกดาหาร,มัธยมศึกษา
โรงเรียนโชคชัยวิทยา,โชคชัย,นิคมคำสร้อย,มุกดาหาร,มัธยมศึกษา
โรงเรียนดงมอนวิทยาคม,ดงมอน,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนดงเย็นวิทยาคม,ดงเย็น,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนดงหลวงวิทยา,ดงหลวง,ดงหลวง,มุกดาหาร,มัธยมศึกษา
โรงเรียนดอนตาลวิทยา,ดอนตาล,ดอนตาล,มุกดาหาร,มัธยมศึกษา
โรงเรียนนวมินทราชูทิศ อีสาน,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนนาวาราชกิจพิทยานุสรณ์,บ้านโคก,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนนาโสกวิทยาคาร,นาโสก,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนผึ่งแดดวิทยาคาร,ผึ่งแดด,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนผาเทิบวิทยา,บ้านแก้ง,ดอนตาล,มุกดาหาร,มัธยมศึกษา
โรงเรียนพลังราษฎร์พิทยาสรรพ์,บ้านเป้า,หนองสูง,มุกดาหาร,มัธยมศึกษา
โรงเรียนโพธิ์ไทรวิทยา,โพธิ์ไทร,ดอนตาล,มุกดาหาร,มัธยมศึกษา
โรงเรียนมุกดาวิทยานุกูล,บางทรายใหญ่,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนมุกดาหาร,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนเมืองมุกวิทยาคม,คำอาฮวน,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนร่มเกล้าพิทยาสรรค์,ร่มเกล้า,นิคมคำสร้อย,มุกดาหาร,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย มุกดาหาร,บางทรายใหญ่,เมืองมุกดาหาร,มุกดาหาร,มัธยมศึกษา
โรงเรียนแวงใหญ่พิทยาสรรค์,หนองแวง,นิคมคำสร้อย,มุกดาหาร,มัธยมศึกษา
โรงเรียนหนองแวงวิทยาคม,หนองสูงใต้,หนองสูง,มุกดาหาร,มัธยมศึกษา
โรงเรียนหนองสูงสามัคคีวิทยา,หนองสูงเหนือ,หนองสูง,มุกดาหาร,มัธยมศึกษา
โรงเรียนหว้านใหญ่วิทยา,หว้านใหญ่,หว้านใหญ่,มุกดาหาร,มัธยมศึกษา
โรงเรียนเหล่าประชาอุทิศ,เหล่าสร้างถ่อ,คำชะอี,มุกดาหาร,มัธยมศึกษา
โรงเรียนอุดมวิทย์,นาอุดม,นิคมคำสร้อย,มุกดาหาร,มัธยมศึกษา
โรงเรียนแก้งนาบอนพิทยาสรรค์,นาโสก,เมืองมุกดาหาร,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนแก้งโนนคำประชาสรรค์,คำป่าหลาย,เมืองมุกดาหาร,มุกดาหาร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนคณะเทศบาลนครกรุงเทพ 3,นาอุดม,นิคมคำสร้อย,มุกดาหาร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนคำบกราษฎร์นุกูล,คำบก,คำชะอี,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนคำสายทองวิทยา,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนคำอาฮวนศรีสุราษฎร์วิทยา,คำอาฮวน,เมืองมุกดาหาร,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนคำฮีเบญจวิทย์,โพนทราย,เมืองมุกดาหาร,มุกดาหาร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนคำฮีเบญจวิทย์ สาขาดอนม่วงพัฒนา,โพนทราย,เมืองมุกดาหาร,มุกดาหาร,ประถมศึกษา
โรงเรียนคำแฮดประชาสรรค์,กกแดง,นิคมคำสร้อย,มุกดาหาร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนดอนตาล,ดอนตาล,ดอนตาล,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนนาโสก,นาโสก,เมืองมุกดาหาร,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบางทรายใหญ่,บางทรายใหญ่,เมืองมุกดาหาร,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านคำชะอี,คำชะอี,คำชะอี,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านบางทรายน้อย,บางทรายน้อย,หว้านใหญ่,มุกดาหาร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านม่วงไข่,นิคมคำสร้อย,นิคมคำสร้อย,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านหนองบัว,หนองบัว,ดงหลวง,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านหนองแวงน้อย,โชคชัย,นิคมคำสร้อย,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านหนองแวงน้อย สาขาหนองลำดวน,โชคชัย,นิคมคำสร้อย,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนโพธิ์ไทร,โพธิ์ไทร,ดอนตาล,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนโพนทราย,โพนทราย,เมืองมุกดาหาร,มุกดาหาร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนเมืองหนองสูง,หนองสูงเหนือ,หนองสูง,มุกดาหาร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนศรีบุญเรือง,ศรีบุญเรือง,เมืองมุกดาหาร,มุกดาหาร,อนุบาล–ประถมศึกษา
