name,subDistrict,district,province,level
โรงเรียนกาบังพิทยาคม,กาบัง,กาบัง,ยะลา,มัธยมศึกษา
โรงเรียนคณะราษฎรบำรุง 2,ยุโป,เมืองยะลา,ยะลา,มัธยมศึกษา
โรงเรียนคณะราษฎรบำรุง จังหวัดยะลา,สะเตง,เมืองยะลา,ยะลา,มัธยมศึกษา
โรงเรียนจันทร์ประภัสสร์อนุสรณ์,ยะรม,เบตง,ยะลา,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ยะลา,บุดี,เมืองยะลา,ยะลา,มัธยมศึกษา
โรงเรียนธารโตวัฑฒนวิทย์,ธารโต,ธารโต,ยะลา,มัธยมศึกษา
โรงเรียนนิคมพัฒนวิทย์,ตลิ่งชัน,บันนังสตา,ยะลา,มัธยมศึกษา
โรงเรียนบันนังสตาวิทยา,บันนังสตา,บันนังสตา,ยะลา,มัธยมศึกษา
"โรงเรียนเบตง ""วีระราษฎร์ประสาน""",เบตง,เบตง,ยะลา,มัธยมศึกษา
โรงเรียนยะหาศิรยานุกูล,ยะหา,ยะหา,ยะลา,มัธยมศึกษา
โรงเรียนรามันห์ศิริวิทย์,กายูบอเกาะ,รามัน,ยะลา,มัธยมศึกษา
โรงเรียนสตรียะลา,สะเตง,เมืองยะลา,ยะลา,มัธยมศึกษา
โรงเรียนคีรีบูรวัฒนา (ตีบุ),ยะต๊ะ,รามัน,ยะลา,อนุบาล–ประถมศึกษา
โรงเรียนคุรุชนพัฒนา,เปาะเส้ง,เมืองยะลา,ยะลา,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนคุรุประชาสรรค์,เกะรอ,รามัน,ยะลา,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 24 (บาโงยบาแด),สะเตงนอก,เมืองยะลา,ยะลา,อนุบาล–ประถมศึกษา
โรงเรียนธารแร่,กาลอ,รามัน,ยะลา,อนุบาล–ประถมศึกษา
โรงเรียนนิบงชนูปถัมภ์,สะเตง,เมืองยะลา,ยะลา,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกรงปินัง,กรงปินัง,กรงปินัง,ยะลา,อนุบาล–ประถมศึกษา
