name,subDistrict,district,province,level
โรงเรียนกำแมดขันติธรรมวิทยาคม,กำแมด,กุดชุม,ยโสธร,มัธยมศึกษา
โรงเรียนกุดชุมวิทยาคม,กุดชุม,กุดชุม,ยโสธร,มัธยมศึกษา
โรงเรียนกู่จานวิทยาคม,กู่จาน,คำเขื่อนแก้ว,ยโสธร,มัธยมศึกษา
โรงเรียนค้อวังวิทยาคม,ค้อวัง,ค้อวัง,ยโสธร,มัธยมศึกษา
โรงเรียนคำเขื่อนแก้วชนูปถัมภ์,ลุมพุก,คำเขื่อนแก้ว,ยโสธร,มัธยมศึกษา
โรงเรียนคำเตยวิทยา,คำเตย,ไทยเจริญ,ยโสธร,มัธยมศึกษา
โรงเรียนดงมะไฟพิทยาคม,ดงมะไฟ,ทรายมูล,ยโสธร,มัธยมศึกษา
โรงเรียนตระกูลประเทืองวิทยาคม,โนนทราย,มหาชนะชัย,ยโสธร,มัธยมศึกษา
โรงเรียนทรายมูลวิทยา,ทรายมูล,ทรายมูล,ยโสธร,มัธยมศึกษา
โรงเรียนนาโปร่งประชาสรรค์,กุดเชียงหมี,เลิงนกทา,ยโสธร,มัธยมศึกษา
โรงเรียนน้ำคำวิทยาคม,น้ำคำ,ไทยเจริญ,ยโสธร,มัธยมศึกษา
โรงเรียนบุ่งค้าวิทยาคม,บุ่งค้า,เลิงนกทา,ยโสธร,มัธยมศึกษา
โรงเรียนป่าติ้ววิทยา,โพธิ์ไทร,ป่าติ้ว,ยโสธร,มัธยมศึกษา
โรงเรียนโพนงามพิทยาคาร,โพนงาม,กุดชุม,ยโสธร,มัธยมศึกษา
โรงเรียนโพนทันเจริญวิทย์,โพนทัน,คำเขื่อนแก้ว,ยโสธร,มัธยมศึกษา
โรงเรียนมหาชนะชัยวิทยาคม,ฟ้าหยาด,มหาชนะชัย,ยโสธร,มัธยมศึกษา
โรงเรียนเมืองกลางประชานุกูล,กุดชุม,กุดชุม,ยโสธร,มัธยมศึกษา
โรงเรียนยโสธรพิทยาคม,ในเมือง,เมืองยโสธร,ยโสธร,มัธยมศึกษา
โรงเรียนยโสธรพิทยาสรรค์,ตาดทอง,เมืองยโสธร,ยโสธร,มัธยมศึกษา
โรงเรียนเลิงนกทา,สามแยก,เลิงนกทา,ยโสธร,มัธยมศึกษา
โรงเรียนศรีแก้วประชาสรรค์,ศรีแก้ว,เลิงนกทา,ยโสธร,มัธยมศึกษา
โรงเรียนศรีฐานกระจายศึกษา,ศรีฐาน,ป่าติ้ว,ยโสธร,มัธยมศึกษา
โรงเรียนศิลาทองพิทยาสรรค์,หนองหิน,เมืองยโสธร,ยโสธร,มัธยมศึกษา
โรงเรียนสมเด็จพระญาณสังวร ในพระสังฆราชูปถัมภ์,ดงแคนใหญ่,คำเขื่อนแก้ว,ยโสธร,มัธยมศึกษา
โรงเรียนสอนแก้วว่องไววิทยา,เดิด,เมืองยโสธร,ยโสธร,มัธยมศึกษา
โรงเรียนสิงห์สามัคคีวิทยา,หนองเรือ,เมืองยโสธร,ยโสธร,มัธยมศึกษา
โรงเรียนห้องแซงวิทยาคม,ห้องแซง,เลิงนกทา,ยโสธร,มัธยมศึกษา
โรงเรียนคำเขื่อนแก้ว,ลุมพุก,คำเขื่อนแก้ว,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนกู่จาน,กู่จาน,คำเขื่อนแก้ว,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนดงแคนใหญ่,ดงแคนใหญ่,คำเขื่อนแก้ว,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านดอนผึ้ง,บากเรือ,มหาชนะชัย,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านบึงแกชัยชนะบูรพา,บึงแก,มหาชนะชัย,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านสำโรง,คูเมือง,มหาชนะชัย,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านหนองคู,หนองคู,เมืองยโสธร,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านหัวเมือง,หัวเมือง,มหาชนะชัย,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนย่อวิทยา,ย่อ,คำเขื่อนแก้ว,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนโซงเหล่าโป่วิทยา,ทุ่งมน,คำเขื่อนแก้ว,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนดอนแก้วปากเป่งคุยสำโรง,เขื่องคำ,เมืองยโสธร,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 63 (ชุมชนบ้านคำแดง),เดิด,เมืองยโสธร,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกลางนา,ดงแคนใหญ่,คำเขื่อนแก้ว,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกว้างท่าเยี่ยมศาลาแดง,เขื่องคำ,เมืองยโสธร,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุดกง,เขื่องคำ,เมืองยโสธร,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุดกุง,กุดกุง,คำเขื่อนแก้ว,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกุดจอกห้องพอกขี้เหล็ก,น้ำคำใหญ่,เมืองยโสธร,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุดตากล้า,สงเปือย,คำเขื่อนแก้ว,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุดน้ำใสจานบกน้อย,กุดน้ำใส,ค้อวัง,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกุดเป่ง,เหล่าไฮ,คำเขื่อนแก้ว,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุดพันเขียว,หัวเมือง,มหาชนะชัย,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุดระหวี่,สิงห์,เมืองยโสธร,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขั้นไดใหญ่โนนค้อ,ขั้นไดใหญ่,เมืองยโสธร,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขาทรายมะเขือสามัคคี,พระเสาร์,มหาชนะชัย,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขาม,คูเมือง,มหาชนะชัย,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขุมเงิน,ขุมเงิน,เมืองยโสธร,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขื่องคำ,เขื่องคำ,เมืองยโสธร,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแข่โพนเมือง,ฟ้าห่วน,ค้อวัง,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านค้อเหนือค้อใต้ดอนกลาง,ค้อเหนือ,เมืองยโสธร,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคำน้ำเกี้ยง,ทุ่งแต้,เมืองยโสธร,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคำน้ำสร้าง,ค้อเหนือ,เมืองยโสธร,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคำม่วง,ย่อ,คำเขื่อนแก้ว,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคำเม็ก,ทุ่งแต้,เมืองยโสธร,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคำแหลม,ดงเจริญ,คำเขื่อนแก้ว,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคำฮี,ขั้นไดใหญ่,เมืองยโสธร,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคุ้ม,คูเมือง,มหาชนะชัย,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคุยตับเต่า,ขุมเงิน,เมืองยโสธร,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคูเมือง,คูเมือง,มหาชนะชัย,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคูสองชั้น,หัวเมือง,มหาชนะชัย,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแคนน้อยหนองเลิง,แคนน้อย,คำเขื่อนแก้ว,ยโสธร,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโคกกลาง (วรนาถประชาสรรค์),ลุมพุก,คำเขื่อนแก้ว,ยโสธร,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกป่าจิกหนองปลา,ย่อ,คำเขื่อนแก้ว,ยโสธร,อนุบาล–ประถมศึกษา
