name,subDistrict,district,province,level
โรงเรียนกระบุรีวิทยา,น้ำจืด,กระบุรี,ระนอง,มัธยมศึกษา
โรงเรียนกะเปอร์วิทยา,กะเปอร์,กะเปอร์,ระนอง,มัธยมศึกษา
โรงเรียนปากจั่นวิทยา,ปากจั่น,กระบุรี,ระนอง,มัธยมศึกษา
โรงเรียนพิชัยรัตนาคาร,บางริ้น,เมืองระนอง,ระนอง,มัธยมศึกษา
โรงเรียนละอุ่นวิทยาคาร,บางแก้ว,ละอุ่น,ระนอง,มัธยมศึกษา
โรงเรียนสตรีระนอง,เขานิเวศน์,เมืองระนอง,ระนอง,มัธยมศึกษา
โรงเรียนสุขสำราญราษฎร์รังสรรค์,กำพวน,สุขสำราญ,ระนอง,มัธยมศึกษา
โรงเรียนกระบุรี,น้ำจืด,กระบุรี,ระนอง,ประถมศึกษา
โรงเรียนชนม์พัฒนา,กะเปอร์,กะเปอร์,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนชาติเฉลิม,เขานิเวศน์,เมืองระนอง,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนทับไชยาพัฒนา,บางแก้ว,ละอุ่น,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนทับหลีสุริยวงศ์,มะมุ,กระบุรี,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนทุ่งตาพลวิทยา,บางแก้ว,ละอุ่น,ระนอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 67 (บ้านนาพรุ),นาคา,สุขสำราญ,ระนอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 97 (บ้านบางบอน),ลำเลียง,กระบุรี,ระนอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนนิคมสงเคราะห์,จ.ป.ร.,กระบุรี,ระนอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกำพวน,กำพวน,สุขสำราญ,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะช้าง,เกาะพยาม,เมืองระนอง,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะพยาม,เกาะพยาม,เมืองระนอง,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเกาะสินไห,ปากน้ำ,เมืองระนอง,ระนอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเกาะเหลา,ปากน้ำ,เมืองระนอง,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขจัดภัย,ราชกรูด,เมืองระนอง,ระนอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขานางหงส์,ปากน้ำ,เมืองระนอง,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาฝาชี,บางแก้ว,ละอุ่น,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองของ,ราชกรูด,เมืองระนอง,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองเงิน,ปากจั่น,กระบุรี,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านควนไทรงาม,นาคา,สุขสำราญ,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านชาคลี,บางหิน,กะเปอร์,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเชี่ยวเหลียง,เชี่ยวเหลียง,กะเปอร์,ระนอง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนกลาง,น้ำจืด,กระบุรี,ระนอง,อนุบาล–ประถมศึกษา
