name,subDistrict,district,province,level
"โรงเรียนแกลง ""วิทยสถาวร""",ทางเกวียน,แกลง,ระยอง,มัธยมศึกษา
โรงเรียนเขาชะเมาวิทยา,ห้วยทับมอญ,เขาชะเมา,ระยอง,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ระยอง,นาตาขวัญ,เมืองระยอง,ระยอง,มัธยมศึกษา
โรงเรียนชำฆ้อพิทยาคม,ชำฆ้อ,เขาชะเมา,ระยอง,มัธยมศึกษา
โรงเรียนชำนาญสามัคคีวิทยา,คลองปูน,แกลง,ระยอง,มัธยมศึกษา
โรงเรียนนิคมวิทยา,นิคมพัฒนา,นิคมพัฒนา,ระยอง,มัธยมศึกษา
โรงเรียนบ้านค่าย,หนองละลอก,บ้านค่าย,ระยอง,มัธยมศึกษา
โรงเรียนบ้านฉางกาญจนกุลวิทยา,บ้านฉาง,บ้านฉาง,ระยอง,มัธยมศึกษา
โรงเรียนปลวกแดงพิทยาคม,ปลวกแดง,ปลวกแดง,ระยอง,มัธยมศึกษา
โรงเรียนเพรักษมาตาวิทยา,เพ,เมืองระยอง,ระยอง,มัธยมศึกษา
โรงเรียนมกุฎเมืองราชวิทยาลัย,บ้านนา,แกลง,ระยอง,มัธยมศึกษา
โรงเรียนมาบตาพุดพันพิทยาคาร,เนินพระ,เมืองระยอง,ระยอง,มัธยมศึกษา
โรงเรียนมาบยางพรวิทยาคม,มาบยางพร,ปลวกแดง,ระยอง,ประถมศึกษา–มัธยมศึกษา
โรงเรียนระยองวิทยาคม,ท่าประดู่,เมืองระยอง,ระยอง,มัธยมศึกษา
โรงเรียนระยองวิทยาคม นิคมอุตสาหกรรม,ห้วยโป่ง,เมืองระยอง,ระยอง,มัธยมศึกษา
โรงเรียนระยองวิทยาคมปากน้ำ,ปากน้ำ,เมืองระยอง,ระยอง,มัธยมศึกษา
โรงเรียนวังจันทร์วิทยา,ชุมแสง,วังจันทร์,ระยอง,มัธยมศึกษา
โรงเรียนวัดป่าประดู่,ท่าประดู่,เมืองระยอง,ระยอง,มัธยมศึกษา
โรงเรียนสุนทรภู่พิทยา,กร่ำ,แกลง,ระยอง,มัธยมศึกษา
โรงเรียนห้วยยางศึกษา,ห้วยยาง,แกลง,ระยอง,มัธยมศึกษา
โรงเรียนเกาะแก้วพิศดาร,เพ,เมืองระยอง,ระยอง,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนนิคมสร้างตนเองจังหวัดระยอง 7,มะขามคู่,นิคมพัฒนา,ระยอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบริษัทน้ำตาลตะวันออก,ตาสิทธิ์,ปลวกแดง,ระยอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดทับมา,ทับมา,เมืองระยอง,ระยอง,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดบ้านแลง,บ้านแลง,เมืองระยอง,ระยอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดสุวรรณรังสรรค์,สำนักท้อน,บ้านฉาง,ระยอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดหนองคอกหมู,ตาขัน,บ้านค่าย,ระยอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 108 (บ้านสำนักทอง),สำนักทอง,เมืองระยอง,ระยอง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนนิคมสร้างตนเองจังหวัดระยอง 1,นิคมพัฒนา,นิคมพัฒนา,ระยอง,อนุบาล–ประถมศึกษา
โรงเรียนนิคมสร้างตนเองจังหวัดระยอง 2,นิคมพัฒนา,นิคมพัฒนา,ระยอง,อนุบาล–ประถมศึกษา
โรงเรียนนิคมสร้างตนเองจังหวัดระยอง 3,มะขามคู่,นิคมพัฒนา,ระยอง,อนุบาล–มัธยมศึกษาตอนต้น
