name,subDistrict,district,province,level
โรงเรียนกรับใหญ่ว่องกุศลกิจพิทยาคม,กรับใหญ่,บ้านโป่ง,ราชบุรี,มัธยมศึกษา
โรงเรียนคุรุราษฎร์รังสฤษฏ์,จอมบึง,จอมบึง,ราชบุรี,มัธยมศึกษา
โรงเรียนแคทรายวิทยา,คูบัว,เมืองราชบุรี,ราชบุรี,มัธยมศึกษา
โรงเรียนช่องพรานวิทยา,เตาปูน,โพธาราม,ราชบุรี,มัธยมศึกษา
โรงเรียนด่านทับตะโกราษฎร์อุปถัมภ์,ด่านทับตะโก,จอมบึง,ราชบุรี,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ราชบุรี,ดอนคลัง,ดำเนินสะดวก,ราชบุรี,มัธยมศึกษา
โรงเรียนท่ามะขามวิทยา,ดอนทราย,โพธาราม,ราชบุรี,มัธยมศึกษา
โรงเรียนเนกขัมวิทยา,แพงพวย,ดำเนินสะดวก,ราชบุรี,มัธยมศึกษา
โรงเรียนบรมราชินีนาถราชวิทยาลัย,อ่างหิน,ปากท่อ,ราชบุรี,มัธยมศึกษา
โรงเรียนบางแพปฐมพิทยา,บางแพ,บางแพ,ราชบุรี,มัธยมศึกษา
โรงเรียนบ้านคาวิทยา,บ้านคา,บ้านคา,ราชบุรี,มัธยมศึกษา
โรงเรียนเบญจมราชูทิศ ราชบุรี,หน้าเมือง,เมืองราชบุรี,ราชบุรี,มัธยมศึกษา
โรงเรียนประสาทรัฐประชากิจ,ประสาทสิทธิ์,ดำเนินสะดวก,ราชบุรี,มัธยมศึกษา
โรงเรียนปากท่อพิทยาคม,ปากท่อ,ปากท่อ,ราชบุรี,มัธยมศึกษา
โรงเรียนโพธาวัฒนาเสนี,คลองตาคต,โพธาราม,ราชบุรี,มัธยมศึกษา
"โรงเรียนโพหัก ""วงศ์สมบูรณ์ราษฎร์อุปถัมภ์""",โพหัก,บางแพ,ราชบุรี,มัธยมศึกษา
โรงเรียนมัธยมวัดดอนตูม,บ้านโป่ง,บ้านโป่ง,ราชบุรี,มัธยมศึกษา
โรงเรียนรัฐราษฎร์อุปถัมภ์,อ่างทอง,เมืองราชบุรี,ราชบุรี,มัธยมศึกษา
โรงเรียนรัตนราษฎร์บำรุง,บ้านโป่ง,บ้านโป่ง,ราชบุรี,มัธยมศึกษา
โรงเรียนราชโบริกานุเคราะห์,หน้าเมือง,เมืองราชบุรี,ราชบุรี,มัธยมศึกษา
โรงเรียนวัดสันติการามวิทยา ในพระบรมราชานุเคราะห์,ทุ่งหลวง,ปากท่อ,ราชบุรี,มัธยมศึกษา
โรงเรียนสวนผึ้งวิทยา,สวนผึ้ง,สวนผึ้ง,ราชบุรี,มัธยมศึกษา
โรงเรียนสายธรรมจันทร์,ท่านัด,ดำเนินสะดวก,ราชบุรี,มัธยมศึกษา
โรงเรียนโสภณศิริราษฎร์,วัดเพลง,วัดเพลง,ราชบุรี,มัธยมศึกษา
โรงเรียนหนองโพวิทยา,หนองโพ,โพธาราม,ราชบุรี,มัธยมศึกษา
โรงเรียนหนองปลาหมอพิทยาคม,หนองปลาหมอ,บ้านโป่ง,ราชบุรี,มัธยมศึกษา
โรงเรียนกลุ่มนักข่าวหญิง 2 (บ้านบ่อหวี),ตะนาวศรี,สวนผึ้ง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนจรูญศรีวิทยาประชานุกูล,วัดเพลง,วัดเพลง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนจันทคามวิทยา,คุ้งน้ำวน,เมืองราชบุรี,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านบ่อ,สวนผึ้ง,สวนผึ้ง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดคูบัว,คูบัว,เมืองราชบุรี,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดทุ่งหลวง,ทุ่งหลวง,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดรางบัว (แหลมราษฎร์บำรุง),รางบัว,จอมบึง,ราชบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 64 (บ้านหนองเกตุ),ป่าไก่,ปากท่อ,ราชบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 104 (บ้านทุ่งกระถิน),ด่านทับตะโก,จอมบึง,ราชบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนธรรมศาสตร์-จุฬา 2,ป่าหวาย,สวนผึ้ง,ราชบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนน้ำตกห้วยสวนพลู,บ้านบึง,บ้านคา,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกล้วย,ป่าหวาย,สวนผึ้ง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเก่าต้นมะค่า,บ้านคา,บ้านคา,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโกรกสิงขร,ด่านทับตะโก,จอมบึง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขากรวด,เกาะพลับพลา,เมืองราชบุรี,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาช้าง,หนองกระทุ่ม,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาถ่าน,ดอนทราย,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาถ้ำ,ดอนทราย,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาพระเอก,ทุ่งหลวง,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาอีส้าน,ดอนทราย,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านจอมบึง (วาปีพร้อมประชาศึกษา),จอมบึง,จอมบึง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านชัฎเจริญ,น้ำพุ,เมืองราชบุรี,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านชัฎหนองหมี,ท่าเคย,สวนผึ้ง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านตลาดควาย (ประชานุกูล),จอมบึง,จอมบึง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านตะโกล่าง,สวนผึ้ง,สวนผึ้ง,ราชบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านท่ามะขาม,ตะนาวศรี,สวนผึ้ง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่ายาง,ยางหัก,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งแจง,แก้มอ้น,จอมบึง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งน้อย (มิตรภาพที่ 12),หินกอง,เมืองราชบุรี,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งแฝก,แก้มอ้น,จอมบึง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งศาลา,ป่าหวาย,สวนผึ้ง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไทรงาม,ยางหัก,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ประจัน,ยางหัก,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาคอก มิตรภาพที่ 104,อ่างหิน,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบ่อตะคร้อ,ปากท่อ,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบึง (สันติมโนประชาสรรค์),บ้านคา,บ้านคา,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเบิกไพร,เบิกไพร,จอมบึง,ราชบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านปากสระ,จอมประทัด,วัดเพลง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโป่ง,อ่างหิน,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโป่งกระทิงบน,บ้านบึง,บ้านคา,ราชบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโป่งกระทิงล่าง,บ้านบึง,บ้านคา,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโป่งเจ็ด,บ้านคา,บ้านคา,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านพุเกตุ,ห้วยยางโทน,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านพุคาย,ทุ่งหลวง,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านพุแค,ปากช่อง,จอมบึง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านพุตะเคียน,แก้มอ้น,จอมบึง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านพุบอนบน,บ้านบึง,บ้านคา,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านพุม่วงราษฎรบำรุง,แก้มอ้น,จอมบึง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไพรสะเดา,ดอนทราย,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านมณีลอย,วังมะนาว,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านมะขามเอน,ท่าเคย,สวนผึ้ง,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านยางคู่,ยางหัก,ปากท่อ,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านร่องเจริญ,บ้านบึง,บ้านคา,ราชบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านรางเฆ่,แก้มอ้น,จอมบึง,ราชบุรี,อนุบาล–ประถมศึกษา
