name,subDistrict,district,province,level
โรงเรียนกู่กาสิงห์ประชาสรรค์,กู่กาสิงห์,เกษตรวิสัย,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนขวาววิทยาคาร,ขวาว,เสลภูมิ,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนขัติยะวงษา,เหนือเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนคำนาดีพิทยาคม,คำนาดี,โพนทอง,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนโคกล่ามพิทยาคม,โคกล่าม,จตุรพักตรพิมาน,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนจตุรพักตรพิมานรัชดาภิเษก,หัวช้าง,จตุรพักตรพิมาน,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนจังหารฐิตวิริยาประชาสรรค์,จังหาร,จังหาร,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนจันทรุเบกษาอนุสรณ์,เกษตรวิสัย,เกษตรวิสัย,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ร้อยเอ็ด,โพธิ์สัย,ศรีสมเด็จ,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนช้างเผือกวิทยาคม,ช้างเผือก,สุวรรณภูมิ,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนเชียงขวัญพิทยาคม,เชียงขวัญ,เชียงขวัญ,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนเชียงใหม่ประชานุสรณ์,เชียงใหม่,โพธิ์ชัย,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนดูกอึ่งประชาสามัคคี,ดูกอึ่ง,หนองฮี,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนดู่น้อยประชาสรรค์,อีง่อง,จตุรพักตรพิมาน,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ร้อยเอ็ด,หนองแวง,เมืองร้อยเอ็ด,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนทรายทองวิทยา,โพนทราย,โพนทราย,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนท่าม่วงวิทยาคม,ท่าม่วง,เสลภูมิ,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนทุ่งหลวงพลับพลาไชย,ทุ่งหลวง,สุวรรณภูมิ,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนทุ่งเขาหลวงวิทยาคม (พระราชวัชราวิทยาคมอุปถัมภ์),เทอดไทย,ทุ่งเขาหลวง,ร้อยเอ็ด,มัธยมศึกษา
โรงเรียนธงธานี,ธงธานี,ธวัชบุรี,ร้อยเอ็ด,มัธยมศึกษา
