name,subDistrict,district,province,level
โรงเรียนขุนรามวิทยา,ห้วยขุนราม,พัฒนานิคม,ลพบุรี,มัธยมศึกษา
โรงเรียนโคกกะเทียมวิทยาลัย,เขาพระงาม,เมืองลพบุรี,ลพบุรี,มัธยมศึกษา
โรงเรียนโคกเจริญวิทยา,โคกเจริญ,โคกเจริญ,ลพบุรี,มัธยมศึกษา
โรงเรียนโคกตูมวิทยา,โคกตูม,เมืองลพบุรี,ลพบุรี,มัธยมศึกษา
โรงเรียนโคกสลุงวิทยา,โคกสลุง,พัฒนานิคม,ลพบุรี,มัธยมศึกษา
โรงเรียนโคกสำโรงวิทยา,คลองเกตุ,โคกสำโรง,ลพบุรี,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ลพบุรี,ศิลาทิพย์,ชัยบาดาล,ลพบุรี,มัธยมศึกษา
โรงเรียนชัยบาดาลพิทยาคม,ม่วงค่อม,ชัยบาดาล,ลพบุรี,มัธยมศึกษา
โรงเรียนชัยบาดาลวิทยา,ลำนารายณ์,ชัยบาดาล,ลพบุรี,มัธยมศึกษา
โรงเรียนดงตาลวิทยา,งิ้วราย,เมืองลพบุรี,ลพบุรี,มัธยมศึกษา
โรงเรียนท่าวุ้งวิทยาคาร,ท่าวุ้ง,ท่าวุ้ง,ลพบุรี,มัธยมศึกษา
โรงเรียนท่าหลวงวิทยาคม,ซับจำปา,ท่าหลวง,ลพบุรี,มัธยมศึกษา
โรงเรียนบ้านข่อยวิทยา,บ้านข่อย,เมืองลพบุรี,ลพบุรี,มัธยมศึกษา
โรงเรียนบ้านชีวิทยา,บ้านชี,บ้านหมี่,ลพบุรี,มัธยมศึกษา
โรงเรียนบ้านเบิกวิทยาคม,บ้านเบิก,ท่าวุ้ง,ลพบุรี,มัธยมศึกษา
โรงเรียนบ้านหมี่วิทยา,สนามแจง,บ้านหมี่,ลพบุรี,มัธยมศึกษา
โรงเรียนปิยะบุตร์,โพนทอง,บ้านหมี่,ลพบุรี,มัธยมศึกษา
โรงเรียนพระนารายณ์,ท่าศาลา,เมืองลพบุรี,ลพบุรี,มัธยมศึกษา
โรงเรียนพัฒนานิคม,พัฒนานิคม,พัฒนานิคม,ลพบุรี,มัธยมศึกษา
โรงเรียนพิบูลวิทยาลัย,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,มัธยมศึกษาตอนปลาย
โรงเรียนยางรากวิทยา,ยางราก,โคกเจริญ,ลพบุรี,มัธยมศึกษา
โรงเรียนลำสนธิวิทยา,หนองรี,ลำสนธิ,ลพบุรี,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย ลพบุรี,ห้วยโป่ง,โคกสำโรง,ลพบุรี,มัธยมศึกษา
โรงเรียนสระโบสถ์วิทยาคาร,สระโบสถ์,สระโบสถ์,ลพบุรี,มัธยมศึกษา
