name,subDistrict,district,province,level
โรงเรียนกิ่วลมวิทยา,นิคมพัฒนา,เมืองลำปาง,ลำปาง,มัธยมศึกษา
โรงเรียนเกาะคาวิทยาคม,เกาะคา,เกาะคา,ลำปาง,มัธยมศึกษา
โรงเรียนแจ้ห่มวิทยา,แจ้ห่ม,แจ้ห่ม,ลำปาง,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ เขลางค์นคร,บ่อแฮ้ว,เมืองลำปาง,ลำปาง,มัธยมศึกษา
โรงเรียนเถินวิทยา,ล้อมแรด,เถิน,ลำปาง,มัธยมศึกษา
โรงเรียนทุ่งกว๋าววิทยาคม,ทุ่งกว๋าว,เมืองปาน,ลำปาง,มัธยมศึกษา
โรงเรียนทุ่งอุดมวิทยา,บ้านขอ,เมืองปาน,ลำปาง,มัธยมศึกษา
โรงเรียนบุญวาทย์วิทยาลัย,หัวเวียง,เมืองลำปาง,ลำปาง,มัธยมศึกษา
โรงเรียนประชารัฐธรรมคุณ,หลวงเหนือ,งาว,ลำปาง,มัธยมศึกษา
โรงเรียนประชาราชวิทยา,บ้านร้อง,งาว,ลำปาง,มัธยมศึกษา
โรงเรียนโป่งหลวงวิทยา รัชมังคลาภิเษก,บ้านเอื้อม,เมืองลำปาง,ลำปาง,มัธยมศึกษา
โรงเรียนเมืองปานพัฒนวิทย์,หัวเมือง,เมืองปาน,ลำปาง,มัธยมศึกษา
โรงเรียนเมืองปานวิทยา,เมืองปาน,เมืองปาน,ลำปาง,มัธยมศึกษา
โรงเรียนเมืองมายวิทยา,บ้านแลง,เมืองลำปาง,ลำปาง,มัธยมศึกษา
โรงเรียนแม่ทะพัฒนศึกษา,บ้านบอม,แม่ทะ,ลำปาง,มัธยมศึกษา
โรงเรียนแม่ทะวิทยา,แม่ทะ,แม่ทะ,ลำปาง,มัธยมศึกษา
โรงเรียนแม่พริกวิทยา,พระบาทวังตวง,แม่พริก,ลำปาง,มัธยมศึกษา
โรงเรียนแม่เมาะวิทยา,แม่เมาะ,แม่เมาะ,ลำปาง,มัธยมศึกษา
โรงเรียนแม่สันวิทยา,แม่สัน,ห้างฉัตร,ลำปาง,มัธยมศึกษา
โรงเรียนลำปางกัลยาณี,สวนดอก,เมืองลำปาง,ลำปาง,มัธยมศึกษา
โรงเรียนวังเหนือวิทยา,วังเหนือ,วังเหนือ,ลำปาง,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย ลำปาง,ดอนไฟ,แม่ทะ,ลำปาง,มัธยมศึกษา
โรงเรียนเวียงตาลพิทยาคม,เวียงตาล,ห้างฉัตร,ลำปาง,มัธยมศึกษา
โรงเรียนเวียงมอกวิทยา,เวียงมอก,เถิน,ลำปาง,มัธยมศึกษา
โรงเรียนสบจางวิทยา,นาสัก,แม่เมาะ,ลำปาง,มัธยมศึกษา
โรงเรียนสบปราบพิทยาคม,สบปราบ,สบปราบ,ลำปาง,มัธยมศึกษา
โรงเรียนเสด็จวนชยางค์กูลวิทยา,บ้านเสด็จ,เมืองลำปาง,ลำปาง,มัธยมศึกษา
โรงเรียนเสริมงามวิทยาคม,ทุ่งงาม,เสริมงาม,ลำปาง,มัธยมศึกษา
โรงเรียนห้างฉัตรวิทยา,ห้างฉัตร,ห้างฉัตร,ลำปาง,มัธยมศึกษา
โรงเรียนไหล่หินวิทยา,ไหล่หิน,เกาะคา,ลำปาง,มัธยมศึกษา
โรงเรียนกอรวกพิทยาสรรค์,จางเหนือ,แม่เมาะ,ลำปาง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านทราย,บ้านเสด็จ,เมืองลำปาง,ลำปาง,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านฟ่อนวิทยา,ชมพู,เมืองลำปาง,ลำปาง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านแม่ฮาว,ห้างฉัตร,ห้างฉัตร,ลำปาง,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านร้อง,บ้านร้อง,งาว,ลำปาง,ประถมศึกษา
โรงเรียนชุมชนบ้านสันกำแพง,เมืองยาว,ห้างฉัตร,ลำปาง,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านแหง,บ้านแหง,งาว,ลำปาง,อนุบาล–ประถมศึกษา
โรงเรียนทุ่งฝางวิทยา,บ้านค่า,เมืองลำปาง,ลำปาง,อนุบาล–มัธยมศึกษาตอนต้น
