name,subDistrict,district,province,level
โรงเรียนจักรคำคณาทร จังหวัดลำพูน,ในเมือง,เมืองลำพูน,ลำพูน,มัธยมศึกษา
โรงเรียนทาขุมเงินวิทยาคาร,ทาขุมเงิน,แม่ทา,ลำพูน,มัธยมศึกษา
โรงเรียนทุ่งหัวช้างพิทยาคม,ทุ่งหัวช้าง,ทุ่งหัวช้าง,ลำพูน,มัธยมศึกษา
โรงเรียนธีรกานท์บ้านโฮ่ง,บ้านโฮ่ง,บ้านโฮ่ง,ลำพูน,มัธยมศึกษา
โรงเรียนน้ำดิบวิทยาคม,น้ำดิบ,ป่าซาง,ลำพูน,มัธยมศึกษา
โรงเรียนบ้านแป้นพิทยาคม,บ้านแป้น,เมืองลำพูน,ลำพูน,มัธยมศึกษา
โรงเรียนบ้านโฮ่งรัตนวิทยา,ศรีเตี้ย,บ้านโฮ่ง,ลำพูน,มัธยมศึกษา
โรงเรียนป่าซาง,ป่าซาง,ป่าซาง,ลำพูน,มัธยมศึกษา
โรงเรียนป่าตาลบ้านธิพิทยา,บ้านธิ,บ้านธิ,ลำพูน,มัธยมศึกษา
โรงเรียนแม่ตืนวิทยา,แม่ตืน,ลี้,ลำพูน,มัธยมศึกษา
โรงเรียนแม่ทาวิทยาคม,ทาสบเส้า,แม่ทา,ลำพูน,มัธยมศึกษา
โรงเรียนวชิรป่าซาง,นครเจดีย์,ป่าซาง,ลำพูน,มัธยมศึกษา
โรงเรียนเวียงเจดีย์วิทยา,ลี้,ลี้,ลำพูน,มัธยมศึกษา
โรงเรียนส่วนบุญโญปถัมภ์ ลำพูน,ในเมือง,เมืองลำพูน,ลำพูน,มัธยมศึกษา
โรงเรียนอุโมงค์วิทยาคม,อุโมงค์,เมืองลำพูน,ลำพูน,มัธยมศึกษา
โรงเรียนชุมชนบ้านเหมืองจี้,เหมืองจี้,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนเชตวันหนองหมู,อุโมงค์,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนตำบลบ้านแป้น,บ้านแป้น,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนตำบลริมปิง,ริมปิง,เมืองลำพูน,ลำพูน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกองงาม,แม่แรง,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านจำบอน,ศรีบัวบาน,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านฉางข้าวน้อย,ป่าซาง,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงสารภี,ทาสบเส้า,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนตอง,แม่แรง,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอยแก้ว,ทาสบเส้า,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอยคำ,ทากาศ,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านต้นผึ้ง,เหมืองง่า,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทาขุมเงิน,ทาขุมเงิน,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทาปลาดุก,ทาปลาดุก,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทาป่าเปา,ทาปลาดุก,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทาป่าสัก,ทาปลาดุก,แม่ทา,ลำพูน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโทกน้ำกัด,นครเจดีย์,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านน้ำย้อย,นครเจดีย์,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปงแม่ลอบ,ทาแม่ลอบ,แม่ทา,ลำพูน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านปงแม่ลอบ สาขาขุนก๋อง,ทาแม่ลอบ,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปงแม่ลอบ สาขาห้วยฮ่อม,ทาแม่ลอบ,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปงแม่ลอบ สาขาห้องเรียนบ้านห้วยเหี้ยะ,ทาแม่ลอบ,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าซาง,ป่าซาง,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าซางน้อย,บ้านแป้น,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าตาล,ม่วงน้อย,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่ารกฟ้า,น้ำดิบ,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าเลา,ทากาศ,แม่ทา,ลำพูน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านป่าเลา สาขาผาด่าน,ทากาศ,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าเลา สาขาห้องเรียนบ้านแม่สะแงะ,ทากาศ,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าเส้า,อุโมงค์,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโป่งรู,นครเจดีย์,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านผาตั้ง,ทาสบเส้า,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแพะยันต์ดอยแช่,ทากาศ,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านมะเขือแจ้,มะเขือแจ้,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่เมย,ทาขุมเงิน,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านร้องเรือ,ทาสบเส้า,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไร่ดง,น้ำดิบ,ป่าซาง,ลำพูน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านล้องหนองหอย,ป่าซาง,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเวียงยอง,เวียงยอง,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านศรีบุญยืน-วังทอง,เหมืองง่า,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านศรีป้าน,ทาขุมเงิน,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านศรีย้อย,ต้นธง,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านศรีสุพรรณ,ประตูป่า,เมืองลำพูน,ลำพูน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านศาลาแม่ทา,ทาสบเส้า,แม่ทา,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสะปุ๋ง,ม่วงน้อย,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสันป่าเหียง,มะเขือแจ้,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสันมะนะ,ต้นธง,เมืองลำพูน,ลำพูน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองเกิด (ธรรมชัยชนูปถัมภ์),ท่าตุ้ม,ป่าซาง,ลำพูน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านหนองเงือก,แม่แรง,ป่าซาง,ลำพูน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านหนองช้างคืน,หนองช้างคืน,เมืองลำพูน,ลำพูน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านหนองดู่,บ้านเรือน,ป่าซาง,ลำพูน,อนุบาล–ประถมศึกษา
