name,subDistrict,district,province,level
โรงเรียนกระแชงวิทยา,กระแชง,กันทรลักษ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนกันทรลักษ์วิทยา,น้ำอ้อม,กันทรลักษ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนกันทรลักษ์วิทยาคม,สังเม็ก,กันทรลักษ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนกันทรารมณ์,ดูน,กันทรารมย์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนกำแพง,สำโรง,อุทุมพรพิสัย,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนไกรภักดีวิทยาคม,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนขุขันธ์,ห้วยเหนือ,ขุขันธ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนเขื่อนช้างวิทยาคาร,เขิน,น้ำเกลี้ยง,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนคลีกลิ้งพัฒนาทร,คลีกลิ้ง,ศิลาลาด,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนคูซอดประชาสรรค์,คูซอด,เมืองศรีสะเกษ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนโคกหล่ามวิทยา,โคกหล่าม,อุทุมพรพิสัย,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนจตุรภูมิพิทยาคาร,แต้,อุทุมพรพิสัย,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ศรีสะเกษ ในพระราชูปถัมภ์ สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนตูมพิทยานุสรณ์,ตูม,ปรางค์กู่,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนทุ่งไชยพิทยา รัชมังคลาภิเษก,ทุ่งไชย,อุทุมพรพิสัย,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนทุ่งสิมวิทยาคม,โคกจาน,อุทุมพรพิสัย,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนนครศรีลำดวนวิทยา,วังหิน,วังหิน,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนน้ำเกลี้ยงวิทยา,น้ำเกลี้ยง,น้ำเกลี้ยง,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนน้ำคำวิทยา,น้ำคำ,เมืองศรีสะเกษ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนโนนกระสังวิทยาคม,สมอ,ปรางค์กู่,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนโนนค้อวิทยาคม,โนนค้อ,โนนคูณ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนโนนเพ็กวิทยาคม,โนนเพ็ก,พยุห์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนบัวเจริญวิทยา,ตองปิด,น้ำเกลี้ยง,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนบัวน้อยวิทยา,บัวน้อย,กันทรารมย์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนบึงบูรพ์,บึงบูรพ์,บึงบูรพ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนบึงมะลูวิทยา,บึงมะลู,กันทรลักษ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนเบญจประชาสรรค์,หนองหมี,ราษีไศล,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนเบญจลักษ์พิทยา,เสียว,เบญจลักษ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนประสานมิตรวิทยา,อีปาด,กันทรารมย์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนปรางค์กู่,พิมาย,ปรางค์กู่,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนผักไหมวิทยานุกูล,ผักไหม,ห้วยทับทัน,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนไผ่งามพิทยาคม,ไผ่,ราษีไศล,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนพยุห์วิทยา,พยุห์,พยุห์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนพอกพิทยาคม รัชมังคลาภิเษก,กู่,ปรางค์กู่,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนภูมิซรอลวิทยา,เสาธงชัย,กันทรลักษ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนภูสิงห์ประชาเสริมวิทย์,ห้วยตึ้กชู,ภูสิงห์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนมัธยมบักดองวิทยา,บักดอง,ขุนหาญ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนมัธยมโพนค้อ,โพนค้อ,เมืองศรีสะเกษ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนยางชุมน้อยพิทยาคม,ยางชุมน้อย,ยางชุมน้อย,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนลมศักดิ์วิทยาคม,ลมศักดิ์,ขุขันธ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนละทายวิทยา,ละทาย,กันทรารมย์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนละลมวิทยา,ละลม,ภูสิงห์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนลิ้นฟ้าพิทยาคม,ลิ้นฟ้า,ยางชุมน้อย,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนวรคุณอุปถัมภ์,หนองใหญ่,เมืองจันทร์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนศรีตระกูลวิทยา,ศรีตระกูล,ขุขันธ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนศรีรัตนวิทยา,สะพุง,ศรีรัตนะ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนศรีสะเกษวิทยาลัย,หนองครก,เมืองศรีสะเกษ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนศรีสะเกษวิทยาลัย 2 ห้วยคล้า (พรหมดิเรกอนุสรณ์),หมากเขียบ,เมืองศรีสะเกษ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนสตรีสิริเกศ,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนส้มป่อยพิทยาคม,ส้มป่อย,ราษีไศล,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนสวงษ์วิทยาคม,หัวเสือ,ขุขันธ์,ศรีสะเกษ,มัธยมศึกษา
โรงเรียนสวายพิทยาคม,สวาย,ปรางค์กู่,ศรีสะเกษ,มัธยมศึกษา
