name,subDistrict,district,province,level
โรงเรียนกุดบากพัฒนาศึกษา,กุดบาก,กุดบาก,สกลนคร,มัธยมศึกษา
โรงเรียนกุดเรือคำพิทยาคาร,กุดเรือคำ,วานรนิวาส,สกลนคร,มัธยมศึกษา
โรงเรียนกุสุมาลย์วิทยาคม,กุสุมาลย์,กุสุมาลย์,สกลนคร,มัธยมศึกษา
โรงเรียนคำตากล้าราชประชาสงเคราะห์,คำตากล้า,คำตากล้า,สกลนคร,มัธยมศึกษา
โรงเรียนคำเพิ่มพิทยา,โคกภู,ภูพาน,สกลนคร,มัธยมศึกษา
โรงเรียนโคกสีวิทยาสรรค์,โคกสี,สว่างแดนดิน,สกลนคร,มัธยมศึกษา
โรงเรียนเจริญศิลป์ศึกษา (โพธิ์คำอนุสรณ์),เจริญศิลป์,เจริญศิลป์,สกลนคร,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัวภูมิพลอดุลยเดชฯ ทรงครองสิริราชสมบัติครบ 50 ปี จังหวัดสกลนคร,พังขว้าง,เมืองสกลนคร,สกลนคร,มัธยมศึกษา
โรงเรียนช้างมิ่งพิทยานุกูล,ช้างมิ่ง,พรรณานิคม,สกลนคร,มัธยมศึกษา
โรงเรียนดงมะไฟวิทยา,ขมิ้น,เมืองสกลนคร,สกลนคร,มัธยมศึกษา
โรงเรียนด่านม่วงคำพิทยาคม,ด่านม่วงคำ,โคกศรีสุพรรณ,สกลนคร,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษา ภาคตะวันออกเฉียงเหนือ,สว่างแดนดิน,สว่างแดนดิน,สกลนคร,มัธยมศึกษาตอนปลาย
โรงเรียนเต่างอยพัฒนศึกษา,เต่างอย,เต่างอย,สกลนคร,มัธยมศึกษา
โรงเรียนท่านผู้หญิงจันทิมาพึ่งบารมี,สร้างค้อ,ภูพาน,สกลนคร,มัธยมศึกษา
โรงเรียนท่าแร่ศึกษา,ท่าแร่,เมืองสกลนคร,สกลนคร,มัธยมศึกษา
โรงเรียนท่าสงครามวิทยา,ท่าก้อน,อากาศอำนวย,สกลนคร,มัธยมศึกษา
โรงเรียนเทพสวัสดิ์วิทยา,ไร่,พรรณานิคม,สกลนคร,มัธยมศึกษา
โรงเรียนธรรมบวรวิทยา,คำบ่อ,วาริชภูมิ,สกลนคร,มัธยมศึกษา
โรงเรียนธาตุนารายณ์วิทยา,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,มัธยมศึกษา
โรงเรียนนิคมน้ำอูนเจริญวิทยา,หนองปลิง,นิคมน้ำอูน,สกลนคร,มัธยมศึกษา
โรงเรียนบงเหนือวิทยาคม,บงเหนือ,สว่างแดนดิน,สกลนคร,มัธยมศึกษา
โรงเรียนบะฮีวิทยาคม,บะฮี,พรรณานิคม,สกลนคร,มัธยมศึกษา
โรงเรียนบ้านบัวราษฎร์บำรุง,สว่าง,พรรณานิคม,สกลนคร,มัธยมศึกษา
โรงเรียนบ้านม่วงพิทยาคม,ม่วง,บ้านม่วง,สกลนคร,มัธยมศึกษา
โรงเรียนพรรณาวุฒาจารย์,พรรณา,พรรณานิคม,สกลนคร,มัธยมศึกษา
โรงเรียนพังโคนวิทยาคม,ไฮหย่อง,พังโคน,สกลนคร,มัธยมศึกษา
โรงเรียนโพธิ์ชัยทองพิทยาคม,หนองกวั่ง,บ้านม่วง,สกลนคร,มัธยมศึกษา
โรงเรียนโพธิแสนวิทยา,อุ่มจาน,กุสุมาลย์,สกลนคร,มัธยมศึกษา
โรงเรียนโพนงามศึกษา,โพนงาม,อากาศอำนวย,สกลนคร,มัธยมศึกษา
โรงเรียนโพนพิทยาคม,บ้านโพน,โพนนาแก้ว,สกลนคร,มัธยมศึกษา
โรงเรียนภูริทัตต์วิทยา,นาใน,พรรณานิคม,สกลนคร,มัธยมศึกษา
โรงเรียนมัธยมวานรนิวาส,วานรนิวาส,วานรนิวาส,สกลนคร,มัธยมศึกษา
โรงเรียนมัธยมวาริชภูมิ,ปลาโหล,วาริชภูมิ,สกลนคร,มัธยมศึกษา
โรงเรียนร่มเกล้า,ตองโขบ,โคกศรีสุพรรณ,สกลนคร,มัธยมศึกษา
โรงเรียนลำปลาหางวิทยา,ต้นผึ้ง,พังโคน,สกลนคร,มัธยมศึกษา
โรงเรียนวาริชวิทยา,วาริชภูมิ,วาริชภูมิ,สกลนคร,มัธยมศึกษา
โรงเรียนแวงพิทยาคม,แวง,สว่างแดนดิน,สกลนคร,มัธยมศึกษา
โรงเรียนศึกษาประชาสามัคคี,แพด,คำตากล้า,สกลนคร,มัธยมศึกษา
โรงเรียนสกลนครพัฒนศึกษา,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,มัธยมศึกษา
โรงเรียนสกลราชวิทยานุกูล,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,มัธยมศึกษา
โรงเรียนสว่างแดนดิน,สว่างแดนดิน,สว่างแดนดิน,สกลนคร,มัธยมศึกษา
โรงเรียนส่องดาววิทยาคม,ส่องดาว,ส่องดาว,สกลนคร,มัธยมศึกษา
โรงเรียนหนองหลวงศึกษา,หนองหลวง,สว่างแดนดิน,สกลนคร,มัธยมศึกษา
โรงเรียนหนองแวงวิทยา,หนองแวงใต้,วานรนิวาส,สกลนคร,มัธยมศึกษา
โรงเรียนอากาศอำนวยศึกษา,อากาศ,อากาศอำนวย,สกลนคร,มัธยมศึกษา
โรงเรียนเชิงชุมราษฎร์นุกูล,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,
โรงเรียนอนุบาลสกลนคร,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,
โรงเรียนเมืองสกลนคร (ธาตุนารายณ์เจงเวง),ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,
