name,subDistrict,district,province,level
โรงเรียนกระแสสินธุ์วิทยา,เชิงแส,กระแสสินธุ์,สงขลา,มัธยมศึกษา
โรงเรียนกอบกุลวิทยาคม,พังลา,สะเดา,สงขลา,มัธยมศึกษา
โรงเรียนเขาแดงกุศลวิทยา,เขาแดง,สะบ้าย้อย,สงขลา,มัธยมศึกษา
โรงเรียนคลองแดนวิทยา,คลองแดน,ระโนด,สงขลา,มัธยมศึกษา
โรงเรียนควนเนียงวิทยา,รัตภูมิ,ควนเนียง,สงขลา,มัธยมศึกษา
โรงเรียนคูเต่าวิทยา,คูเต่า,หาดใหญ่,สงขลา,มัธยมศึกษา
โรงเรียนจะนะชนูปถัมภ์,คู,จะนะ,สงขลา,มัธยมศึกษา
โรงเรียนจะนะวิทยา,สะกอม,จะนะ,สงขลา,มัธยมศึกษา
โรงเรียนจะโหนงพิทยาคม,จะโหนง,จะนะ,สงขลา,มัธยมศึกษา
โรงเรียนชะแล้นิมิตวิทยา,ชะแล้,สิงหนคร,สงขลา,มัธยมศึกษา
โรงเรียนตะเครียะวิทยาคม,ตะเครียะ,ระโนด,สงขลา,มัธยมศึกษา
โรงเรียนทับช้างวิทยาคม,ทับช้าง,นาทวี,สงขลา,มัธยมศึกษา
โรงเรียนเทพพิทยาภาณุมาศ,ลำไพล,เทพา,สงขลา,มัธยมศึกษา
โรงเรียนเทพา,เทพา,เทพา,สงขลา,มัธยมศึกษา
โรงเรียนธรรมโฆสิต,นาหม่อม,นาหม่อม,สงขลา,มัธยมศึกษา
โรงเรียนนวมินทราชูทิศ ทักษิณ,พะวง,เมืองสงขลา,สงขลา,มัธยมศึกษา
โรงเรียนนาทวีวิทยาคม,คลองทราย,นาทวี,สงขลา,มัธยมศึกษา
โรงเรียนบางกล่ำวิทยา รัชมังคลาภิเษก,บางกล่ำ,บางกล่ำ,สงขลา,มัธยมศึกษา
โรงเรียนปากจ่าวิทยา,ควนโส,ควนเนียง,สงขลา,มัธยมศึกษา
โรงเรียนปาดังติณสูลานนท์,ปาดังเบซาร์,สะเดา,สงขลา,มัธยมศึกษา
โรงเรียนพะตงประธานคีรีวัฒน์,พะตง,หาดใหญ่,สงขลา,มัธยมศึกษา
โรงเรียนมหาวชิราวุธ จังหวัดสงขลา,บ่อยาง,เมืองสงขลา,สงขลา,มัธยมศึกษา
โรงเรียนมัธยมสิริวัณวรี 2 สงขลา ในพระราชูปถัมภ์ฯ,คูหาใต้,รัตภูมิ,สงขลา,มัธยมศึกษา
โรงเรียนไม้แก่นประชาอุทิศ,สะพานไม้แก่น,จะนะ,สงขลา,มัธยมศึกษา
โรงเรียนรัตนพลวิทยา,คลองหอยโข่ง,คลองหอยโข่ง,สงขลา,มัธยมศึกษา
โรงเรียนรัตภูมิวิทยา,กำแพงเพชร,รัตภูมิ,สงขลา,มัธยมศึกษา
โรงเรียนระโนด,ระโนด,ระโนด,สงขลา,มัธยมศึกษา
โรงเรียนระโนดวิทยา,ระโนด,ระโนด,สงขลา,มัธยมศึกษา
โรงเรียนวรนารีเฉลิม จังหวัดสงขลา,บ่อยาง,เมืองสงขลา,สงขลา,มัธยมศึกษา
โรงเรียนสงขลาวิทยาคม,ชิงโค,สิงหนคร,สงขลา,มัธยมศึกษา
โรงเรียนสทิงพระชนูปถัมภ์,วัดจันทร์,สทิงพระ,สงขลา,มัธยมศึกษา
โรงเรียนสทิงพระวิทยา,จะทิ้งพระ,สทิงพระ,สงขลา,มัธยมศึกษา
โรงเรียนสะบ้าย้อยวิทยา,สะบ้าย้อย,สะบ้าย้อย,สงขลา,มัธยมศึกษา
"โรงเรียนสะเดา ""ขรรค์ชัยกัมพลานนท์อนุสรณ์""",สะเดา,สะเดา,สงขลา,มัธยมศึกษา
โรงเรียนสามบ่อวิทยา,วัดสน,ระโนด,สงขลา,มัธยมศึกษา
โรงเรียนหาดใหญ่เจริญราษฎร์พิทยา,ฉลุง,หาดใหญ่,สงขลา,มัธยมศึกษา
โรงเรียนหาดใหญ่พิทยาคม,ทุ่งใหญ่,หาดใหญ่,สงขลา,มัธยมศึกษา
โรงเรียนหาดใหญ่รัฐประชาสรรค์,ควนลัง,หาดใหญ่,สงขลา,มัธยมศึกษา
โรงเรียนหาดใหญ่วิทยาลัย,หาดใหญ่,หาดใหญ่,สงขลา,มัธยมศึกษา
โรงเรียนหาดใหญ่วิทยาลัย 2,บ้านพรุ,หาดใหญ่,สงขลา,มัธยมศึกษา
โรงเรียนหาดใหญ่วิทยาลัยสมบูรณ์กุลกันยา,หาดใหญ่,หาดใหญ่,สงขลา,มัธยมศึกษา
โรงเรียนชุมชนบ้านด่าน,เกาะแต้ว,เมืองสงขลา,สงขลา,
โรงเรียนชุมชนบ้านบ่อประดู่,วัดจันทร์,สทิงพระ,สงขลา,
โรงเรียนชุมชนวัดคลองรีมิตรภาพที่ 220,คลองรี,สทิงพระ,สงขลา,
โรงเรียนชุมชนวัดเชิงแส,เชิงแส,กระแสสินธุ์,สงขลา,
โรงเรียนชุมชนวัดบ้านขาว,บ้านขาว,ระโนด,สงขลา,
โรงเรียนชุมชนวัดสามบ่อ,ระวะ,ระโนด,สงขลา,
โรงเรียนท่าบอนมิตรภาพที่ 90,ท่าบอน,ระโนด,สงขลา,
โรงเรียนไทยรัฐวิทยา 37 (วัดหัวถิน),พังยาง,ระโนด,สงขลา,
โรงเรียนในเมือง,จะทิ้งพระ,สทิงพระ,สงขลา,
โรงเรียนราชประชานุเคราะห์ 11,คลองแดน,ระโนด,สงขลา,
โรงเรียนวัดท้ายยอ,เกาะยอ,เมืองสงขลา,สงขลา,
โรงเรียนวัดแหลมพ้อ,เกาะยอ,เมืองสงขลา,สงขลา,
โรงเรียนวัดสามกอง,เกาะแต้ว,เมืองสงขลา,สงขลา,
โรงเรียนบ้านบ่ออิฐ,เกาะแต้ว,เมืองสงขลา,สงขลา,
โรงเรียนวัดเกาะถ้ำ,เขารูปช้าง,เมืองสงขลา,สงขลา,
โรงเรียนวัดแช่มอุทิศ,เขารูปช้าง,เมืองสงขลา,สงขลา,
โรงเรียนบ้านน้ำกระจาย,พะวง,เมืองสงขลา,สงขลา,
โรงเรียนบ้านบางดาน,พะวง,เมืองสงขลา,สงขลา,
โรงเรียนบ้านดอนขี้เหล็ก,พะวง,เมืองสงขลา,สงขลา,
โรงเรียนบ้านกลาง,พะวง,เมืองสงขลา,สงขลา,
โรงเรียนวัดทุ่งหวังใน,ทุ่งหวัง,เมืองสงขลา,สงขลา,
โรงเรียนวัดอ่างทอง,ทุ่งหวัง,เมืองสงขลา,สงขลา,
โรงเรียนวัดทรายขาว,ทุ่งหวัง,เมืองสงขลา,สงขลา,
โรงเรียนบ้านยางงาม (ศุภรธรรมนิวิฏฐ์),ทุ่งหวัง,เมืองสงขลา,สงขลา,
โรงเรียนวัดนาหม่อม,นาหม่อม,นาหม่อม,สงขลา,
โรงเรียนบ้านควนจง,นาหม่อม,นาหม่อม,สงขลา,
โรงเรียนวัดทุ่งฆ้อโฆสิตาราม,นาหม่อม,นาหม่อม,สงขลา,
โรงเรียนวัดเนินพิจิตร,พิจิตร,นาหม่อม,สงขลา,
โรงเรียนวัดพรหมประดิษฐ์,พิจิตร,นาหม่อม,สงขลา,
โรงเรียนวัดโพธาราม,ทุ่งขมิ้น,นาหม่อม,สงขลา,
โรงเรียนบ้านนาทองสุก,ทุ่งขมิ้น,นาหม่อม,สงขลา,
โรงเรียนบ้านต้นปริง,คลองหรัง,นาหม่อม,สงขลา,
โรงเรียนวัดแม่เปียะ,คลองหรัง,นาหม่อม,สงขลา,
โรงเรียนวัดโตนดด้วน,กระแสสินธุ์,กระแสสินธุ์,สงขลา,
โรงเรียนวัดทุ่งบัว,กระแสสินธุ์,กระแสสินธุ์,สงขลา,
โรงเรียนวัดโรง (ขาวประชาสรรค์),โรง,กระแสสินธุ์,สงขลา,
โรงเรียนวัดกาหรำ,โรง,กระแสสินธุ์,สงขลา,
โรงเรียนวัดแหลมบ่อท่อ,เกาะใหญ่,กระแสสินธุ์,สงขลา,
โรงเรียนบ้านแหลมหาด,เกาะใหญ่,กระแสสินธุ์,สงขลา,
โรงเรียนวัดอ่าวบัว,เกาะใหญ่,กระแสสินธุ์,สงขลา,
โรงเรียนบ้านรัดปูน,เชิงแส,กระแสสินธุ์,สงขลา,
โรงเรียนวัดสามี (ปุญญมุนีอุทิศ),พังยาง,ระโนด,สงขลา,
โรงเรียนวัดหน้าเมือง,พังยาง,ระโนด,สงขลา,
โรงเรียนวัดพังยาง,พังยาง,ระโนด,สงขลา,
โรงเรียนบ้านบ่อตรุ,บ่อตรุ,ระโนด,สงขลา,
โรงเรียนวัดสีหยัง,บ่อตรุ,ระโนด,สงขลา,
โรงเรียนวัดเจดีย์งาม,บ่อตรุ,ระโนด,สงขลา,
โรงเรียนวัดประดู่,บ่อตรุ,ระโนด,สงขลา,
โรงเรียนวัดสน,วัดสน,ระโนด,สงขลา,
โรงเรียนวัดบ้านใหม่,บ้านใหม่,ระโนด,สงขลา,
โรงเรียนวัดหัววัง,บ้านใหม่,ระโนด,สงขลา,
โรงเรียนวัดผักกูด,บ้านใหม่,ระโนด,สงขลา,
โรงเรียนบ้านขี้นาก,บ้านใหม่,ระโนด,สงขลา,
โรงเรียนบ้านระโนต (ธัญเจริญ),ระโนด,ระโนด,สงขลา,
โรงเรียนวัดหัวเค็ด,ระโนด,ระโนด,สงขลา,
โรงเรียนวัดจาก,ระโนด,ระโนด,สงขลา,
โรงเรียนวัดมหาการ,ระโนด,ระโนด,สงขลา,
โรงเรียนวัดศาลาหลวงบน,ท่าบอน,ระโนด,สงขลา,
โรงเรียนวัดศาลาหลวงล่าง,ท่าบอน,ระโนด,สงขลา,
โรงเรียนบ้านมาบบัว,ท่าบอน,ระโนด,สงขลา,
โรงเรียนวัดคลองเป็ด,ท่าบอน,ระโนด,สงขลา,
โรงเรียนบ้านรับแพรก,ท่าบอน,ระโนด,สงขลา,
โรงเรียนวัดปากแตระ,ปากแตระ,ระโนด,สงขลา,
โรงเรียนวัดตะพังหม้อ,ปากแตระ,ระโนด,สงขลา,
โรงเรียนวัดเกษตรชลธี (เลื่อนประชาคาร),ตะเครียะ,ระโนด,สงขลา,
โรงเรียนบ้านดอนแบก,ตะเครียะ,ระโนด,สงขลา,
โรงเรียนวัดทุ่งสงวน,แดนสงวน,ระโนด,สงขลา,
โรงเรียนบ้านมาบหัวทึง,แดนสงวน,ระโนด,สงขลา,
โรงเรียนบ้านแม่ใหญ่,แดนสงวน,ระโนด,สงขลา,
โรงเรียนวัดหัวป่า (รักเมืองไทย 38),บ้านขาว,ระโนด,สงขลา,
โรงเรียนวัดคูวา,บ้านขาว,ระโนด,สงขลา,
โรงเรียนบ้านหน้าทอง,ระวะ,ระโนด,สงขลา,
โรงเรียนวัดใหญ่,ระวะ,ระโนด,สงขลา,
โรงเรียนวัดแจ้ง,ระวะ,ระโนด,สงขลา,
โรงเรียนวัดเถรแก้ว,ระวะ,ระโนด,สงขลา,
โรงเรียนวัดพังตรี,ระวะ,ระโนด,สงขลา,
โรงเรียนวัดดีหลวง,ดีหลวง,สทิงพระ,สงขลา,
โรงเรียนบ้านชะแม,ดีหลวง,สทิงพระ,สงขลา,
โรงเรียนวัดนางเหล้า,ชุมพล,สทิงพระ,สงขลา,
โรงเรียนบ้านจะทิ้งพระ,จะทิ้งพระ,สทิงพระ,สงขลา,
โรงเรียนวัดบ่อแดง (จอกประชานุกูล),บ่อแดง,สทิงพระ,สงขลา,
โรงเรียนวัดหัวคุ้ง,คลองแดน,ระโนด,สงขลา,
โรงเรียนวัดผาสุการาม,บ่อดาน,สทิงพระ,สงขลา,
โรงเรียนบ้านวัดใหม่,บ่อดาน,สทิงพระ,สงขลา,
โรงเรียนวัดจันทน์,วัดจันทร์,สทิงพระ,สงขลา,
โรงเรียนวัดท่าหิน,ท่าหิน,สทิงพระ,สงขลา,
โรงเรียนวัดโพธิ์กลาง,ท่าหิน,สทิงพระ,สงขลา,
โรงเรียนวัดห้วยลาด,ท่าหิน,สทิงพระ,สงขลา,
โรงเรียนวัดกระดังงา,กระดังงา,สทิงพระ,สงขลา,
โรงเรียนวัดกลาง,กระดังงา,สทิงพระ,สงขลา,
โรงเรียนวัดสนามไชย,สนามชัย,สทิงพระ,สงขลา,
โรงเรียนวัดพังกก,สนามชัย,สทิงพระ,สงขลา,
โรงเรียนวัดประเจียก,สนามชัย,สทิงพระ,สงขลา,
โรงเรียนวัดคูขุด,คูขุด,สทิงพระ,สงขลา,
โรงเรียนวัดธรรมประดิษฐ์,คูขุด,สทิงพระ,สงขลา,
โรงเรียนวัดศรีไชย,คูขุด,สทิงพระ,สงขลา,
โรงเรียนวัดแหลมวัง,คูขุด,สทิงพระ,สงขลา,
