name,subDistrict,district,province,level
โรงเรียนกำแพงวิทยา,กำแพง,ละงู,สตูล,มัธยมศึกษา
โรงเรียนควนกาหลงวิทยาคม (นิคมวัฒนา),ควนกาหลง,ควนกาหลง,สตูล,มัธยมศึกษา
โรงเรียนควนโดนวิทยา,ควนโดน,ควนโดน,สตูล,มัธยมศึกษา
โรงเรียนท่าแพผดุงวิทย์,แป-ระ,ท่าแพ,สตูล,มัธยมศึกษา
โรงเรียนท่าศิลาบำรุงราษฎร์,นาทอน,ทุ่งหว้า,สตูล,มัธยมศึกษา
โรงเรียนทุ่งหว้าวรวิทย์,ป่าแก่บ่อหิน,ทุ่งหว้า,สตูล,มัธยมศึกษา
โรงเรียนปาล์มพัฒนวิทย์,ปาล์มพัฒนา,มะนัง,สตูล,มัธยมศึกษา
โรงเรียนพิมานพิทยาสรรค์,พิมาน,เมืองสตูล,สตูล,มัธยมศึกษา
โรงเรียนละงูพิทยาคม,ละงู,ละงู,สตูล,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย สตูล,ฉลุง,เมืองสตูล,สตูล,มัธยมศึกษา
โรงเรียนสตูลวิทยา,คลองขุด,เมืองสตูล,สตูล,มัธยมศึกษา
โรงเรียนสาครพิทยาคาร,สาคร,ท่าแพ,สตูล,มัธยมศึกษา
โรงเรียนไทยรัฐวิทยา 40 (บ้านควนโพธิ์),ควนโพธิ์,เมืองสตูล,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 111 (บ้านทุ่งนางแก้ว),น้ำผุด,ละงู,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนนิคมซอย 10,ควนกาหลง,ควนกาหลง,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนนิคมพัฒนาผัง 20,นิคมพัฒนา,มะนัง,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนนิคมพัฒนาผัง 42,อุใดเจริญ,ควนกาหลง,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนนิคมพัฒนาผัง 120,อุใดเจริญ,ควนกาหลง,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนนิคมพัฒนาภาคใต้ 1,ควนกาหลง,ควนกาหลง,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนนิคมพัฒนาภาคใต้ 2,อุใดเจริญ,ควนกาหลง,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนนิคมพัฒนาภาคใต้ 3,อุใดเจริญ,ควนกาหลง,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านกลุ่ม 5 ประชารัฐ,ควนกาหลง,ควนกาหลง,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านกาเนะ,บ้านควน,เมืองสตูล,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านกาแบง,แหลมสน,ละงู,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านกาลันยีตัน,เจ๊ะบิลัง,เมืองสตูล,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านกาลูบี,บ้านควน,เมืองสตูล,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านกุบังจามัง,ฉลุง,เมืองสตูล,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านกุบังปะโหลด,ควนสตอ,ควนโดน,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านเกตรี,เกตรี,เมืองสตูล,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านเกาะบูโหลน,ปากน้ำ,ละงู,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านเกาะยวน,ละงู,ละงู,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านเกาะยะระโดดนุ้ย,เกาะสาหร่าย,เมืองสตูล,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านเกาะยาว,ปูยู,เมืองสตูล,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านเกาะสาหร่ายชัยพัฒนา,เกาะสาหร่าย,เมืองสตูล,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านเกาะหลีเป๊ะ,เกาะสาหร่าย,เมืองสตูล,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านโกตา,กำแพง,ละงู,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านขอนคลาน,ขอนคลาน,ทุ่งหว้า,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านเขาไคร,ควนกาหลง,ควนกาหลง,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขาจีน,คลองขุด,เมืองสตูล,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองขุด,คลองขุด,เมืองสตูล,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองน้ำเค็ม,ละงู,ละงู,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองสองปาก,สาคร,ท่าแพ,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านควน,บ้านควน,เมืองสตูล,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านควนเก,แป-ระ,ท่าแพ,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านควนขัน,ควนขัน,เมืองสตูล,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านควนโต๊ะเหลง,ควนโดน,ควนโดน,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านควนฟ้าแลบ,กำแพง,ละงู,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านควนล่อน,ควนกาหลง,ควนกาหลง,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านควนสตอ,ควนสตอ,ควนโดน,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านค่ายรวมมิตร,ทุ่งนุ้ย,ควนกาหลง,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคีรีวง,ทุ่งหว้า,ทุ่งหว้า,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านโคกประดู่,ฉลุง,เมืองสตูล,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านโคกพะยอม,ละงู,ละงู,สตูล,อนุบาล-ประถมศึกษา
โรงเรียนบ้านเจ๊ะบิลัง,เจ๊ะบิลัง,เมืองสตูล,สตูล,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านฉลุง,เจ๊ะบิลัง,เมืองสตูล,สตูล,อนุบาล-ประถมศึกษา
