name,subDistrict,district,province,level
โรงเรียนเตรียมอุดมศึกษาน้อมเกล้า สมุทรปราการ,บางหัวเสือ,พระประแดง,สมุทรปราการ,มัธยมศึกษา
โรงเรียนเทพศิรินทร์ สมุทรปราการ,บางเมือง,เมืองสมุทรปราการ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาพัฒนาการ,บางบ่อ,บางบ่อ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนนวมินทราชินูทิศ สวนกุหลาบวิทยาลัย สมุทรปราการ,บางปู,เมืองสมุทรปราการ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) สมุทรปราการ,บางเสาธง,บางเสาธง,สมุทรปราการ,มัธยมศึกษา
โรงเรียนบางแก้วประชาสรรค์,บางแก้ว,บางพลี,สมุทรปราการ,มัธยมศึกษา
โรงเรียนบางบ่อวิทยาคม,บางบ่อ,บางบ่อ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนบางพลีราษฎร์บำรุง,บางพลีใหญ่,บางพลี,สมุทรปราการ,มัธยมศึกษา
โรงเรียนปทุมคงคา สมุทรปราการ,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนป้อมนาคราชสวาทยานนท์,ปากคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,มัธยมศึกษา
โรงเรียนเปร็งวิสุทธาธิบดี,เปร็ง,บางบ่อ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนพูลเจริญวิทยาคม,บางโฉลง,บางพลี,สมุทรปราการ,มัธยมศึกษา
โรงเรียนมัธยมวัดด่านสำโรง,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนมัธยมวัดศรีจันทร์ประดิษฐ์,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนมัธยมวัดใหม่สมุทรกิจวิทยาคม,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,มัธยมศึกษา
โรงเรียนราชประชาสมาสัย ฝ่ายมัธยม รัชดาภิเษก ในพระบรมราชูปถัมภ์,บางจาก,พระประแดง,สมุทรปราการ,มัธยมศึกษา
โรงเรียนราชวินิตบางแก้ว ในพระบรมราชูปถัมภ์,บางแก้ว,บางพลี,สมุทรปราการ,มัธยมศึกษา
โรงเรียนราชวินิตสุวรรณภูมิ,หนองปรือ,บางพลี,สมุทรปราการ,มัธยมศึกษา
โรงเรียนวัดทรงธรรม,ตลาด,พระประแดง,สมุทรปราการ,มัธยมศึกษา
โรงเรียนวิสุทธิกษัตรี,ตลาด,พระประแดง,สมุทรปราการ,มัธยมศึกษา
โรงเรียนสตรีสมุทรปราการ,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนสมุทรปราการ,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนสาขลาสุทธีราอุปถัมภ์,นาเกลือ,พระสมุทรเจดีย์,สมุทรปราการ,มัธยมศึกษา
โรงเรียนหลวงพ่อปานคลองด่านอนุสรณ์,คลองด่าน,บางบ่อ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนหาดอมราอักษรลักษณ์วิทยา,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,มัธยมศึกษา
โรงเรียนคลองกระทุ่มราษฎร์อุทิศ,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนคลองนาเกลือน้อย (กลิ่นอยู่อุปถัมภ์),ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนคลองบางปิ้ง,บางเมือง,เมืองสมุทรปราการ,สมุทรปราการ,อนุบาล–ประถมศึกษา
โรงเรียนคลองบางปู,บางปู,เมืองสมุทรปราการ,สมุทรปราการ,อนุบาล–ประถมศึกษา
โรงเรียนคลองมหาวงก์,บางเมือง,เมืองสมุทรปราการ,สมุทรปราการ,อนุบาล–ประถมศึกษา
