name,subDistrict,district,province,level
โรงเรียนถาวรานุกูล,แม่กลอง,เมืองสมุทรสงคราม,สมุทรสงคราม,มัธยมศึกษา
โรงเรียนท้ายหาด,ท้ายหาด,เมืองสมุทรสงคราม,สมุทรสงคราม,มัธยมศึกษา
โรงเรียนเทพสุวรรณชาญวิทยา,ท่าคา,อัมพวา,สมุทรสงคราม,มัธยมศึกษา
โรงเรียนเมธีชุณหะวัณวิทยาลัย,บางนกแขวก,บางคนที,สมุทรสงคราม,มัธยมศึกษา
โรงเรียนวัดแก้วเจริญอำนวยวิทย์,วัดประดู่,อัมพวา,สมุทรสงคราม,มัธยมศึกษา
โรงเรียนวัดบางกะพ้อม (คงลาภยิ่งประชานุสรณ์),อัมพวา,อัมพวา,สมุทรสงคราม,มัธยมศึกษา
โรงเรียนศรัทธาสมุทร,ลาดใหญ่,เมืองสมุทรสงคราม,สมุทรสงคราม,มัธยมศึกษา
โรงเรียนสกลวิสุทธิ,บางกุ้ง,บางคนที,สมุทรสงคราม,มัธยมศึกษา
โรงเรียนอัมพวันวิทยาลัย,อัมพวา,อัมพวา,สมุทรสงคราม,มัธยมศึกษา
โรงเรียนคลองตาจ่า (คงจีบอุทิศ),บางยี่รงค์,บางคนที,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนจตุวัฏมหาราชานุสรณ์,วัดประดู่,อัมพวา,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนทีปังกรวิทยาพัฒน์ (วัดประดู่) ในพระราชูปถัมภ์ฯ,วัดประดู่,อัมพวา,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 70 (บ้านบางแก้ว),บางแก้ว,เมืองสมุทรสงคราม,สมุทรสงคราม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขตเมือง,ลาดใหญ่,เมืองสมุทรสงคราม,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองบางกก,นางตะเคียน,เมืองสมุทรสงคราม,สมุทรสงคราม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองสมบูรณ์,แพรกหนามแดง,อัมพวา,สมุทรสงคราม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านฉู่ฉี่,บางจะเกร็ง,เมืองสมุทรสงคราม,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนจั่น (วาศน์เจริญเรือนอุทิศ),ยี่สาร,อัมพวา,สมุทรสงคราม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านต้นลำแพน,ยี่สาร,อัมพวา,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านตะวันจาก,ลาดใหญ่,เมืองสมุทรสงคราม,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบางนางลี่ (กมลราษฎร์สามัคคี),บางนางลี่,อัมพวา,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบางบ่อ,บางแก้ว,เมืองสมุทรสงคราม,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแพรกหนามแดง,แพรกหนามแดง,อัมพวา,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านยายแพง (พิศผ่องประชานุสรณ์),ยายแพง,บางคนที,สมุทรสงคราม,อนุบาล–ประถมศึกษา
โรงเรียนบ้านรางห้าตำลึง (สายบุญเรืองราษฎร์รังสรรค์),ดอนมะโนรา,บางคนที,สมุทรสงคราม,อนุบาล–ประถมศึกษา
