name,subDistrict,district,province,level
"โรงเรียนกระทุ่มแบน ""วิเศษสมุทคุณ""",ตลาดกระทุ่มแบน,กระทุ่มแบน,สมุทรสาคร,มัธยมศึกษา
โรงเรียนกุศลวิทยา,บางยาง,กระทุ่มแบน,สมุทรสาคร,มัธยมศึกษา
โรงเรียนเฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ สมุทรสาคร,บางโทรัด,เมืองสมุทรสาคร,สมุทรสาคร,มัธยมศึกษา
โรงเรียนพันท้ายนรสิงห์วิทยา,โคกขาม,เมืองสมุทรสาคร,สมุทรสาคร,มัธยมศึกษา
โรงเรียนวัดธรรมจริยาภิรมย์,หลักสาม,บ้านแพ้ว,สมุทรสาคร,มัธยมศึกษา
โรงเรียนวัดหลักสี่พิพัฒน์ราษฎร์อุปถัมภ์,ยกกระบัตร,บ้านแพ้ว,สมุทรสาคร,มัธยมศึกษา
โรงเรียนสมุทรสาครบูรณะ,มหาชัย,เมืองสมุทรสาคร,สมุทรสาคร,มัธยมศึกษา
โรงเรียนสมุทรสาครวิทยาลัย,มหาชัย,เมืองสมุทรสาคร,สมุทรสาคร,มัธยมศึกษา
โรงเรียนสมุทรสาครวุฒิชัย,บ้านเกาะ,เมืองสมุทรสาคร,สมุทรสาคร,มัธยมศึกษา
โรงเรียนหลักสองส่งเสริมวิทยา,หลักสอง,บ้านแพ้ว,สมุทรสาคร,มัธยมศึกษา
โรงเรียนอ้อมน้อยโสภณชนูปถัมภ์,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,มัธยมศึกษา
โรงเรียนทีปังกรวิทยาพัฒน์ (วัดสุนทรสถิต) ในพระราชูปถัมภ์ฯ,อำแพง,บ้านแพ้ว,สมุทรสาคร,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนเทพนรรัตน์ (อู๋ไพจิตรเรียบร้อยเจริญ),นาดี,เมืองสมุทรสาคร,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนทำนบแพ้ว,ยกกระบัตร,บ้านแพ้ว,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 9 (วัดใหม่ราษฎร์นุกูล),บ้านแพ้ว,บ้านแพ้ว,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองกระทุ่มแบน (บุญเพ็งอุทิศ),คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองแค,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองซื่อ,บางโทรัด,เมืองสมุทรสาคร,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองตัน,เกษตรพัฒนา,บ้านแพ้ว,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองสำโรง,สวนส้ม,บ้านแพ้ว,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองหลวง,อำแพง,บ้านแพ้ว,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนบ้านแครายเกษตรพันธุ์พิทยาคาร,แคราย,กระทุ่มแบน,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนบ้านโคก,พันท้ายนรสิงห์,เมืองสมุทรสาคร,สมุทรสาคร,อนุบาล-ประถมศึกษา
โรงเรียนบ้านเจริญสุข,อำแพง,บ้านแพ้ว,สมุทรสาคร,อนุบาล-ประถมศึกษา
