name,subDistrict,district,province,level
โรงเรียนแก่งคอย,แก่งคอย,แก่งคอย,สระบุรี,มัธยมศึกษา
โรงเรียนโคกกระท้อนกิตติวุฒิวิทยา,งิ้วงาม,เสาไห้,สระบุรี,มัธยมศึกษา
โรงเรียนซับน้อยเหนือวิทยาคม,ลำพญากลาง,มวกเหล็ก,สระบุรี,มัธยมศึกษา
โรงเรียนดอนพุดวิทยา,ดอนพุด,ดอนพุด,สระบุรี,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ สระบุรี,คชสิทธิ์,หนองแค,สระบุรี,มัธยมศึกษา
โรงเรียนเทพศิรินทร์ พุแค,พุแค,เฉลิมพระเกียรติ,สระบุรี,มัธยมศึกษา
โรงเรียนบ้านท่ามะปรางวิทยา,ท่ามะปราง,แก่งคอย,สระบุรี,มัธยมศึกษา
"โรงเรียนบ้านหมอ ""พัฒนานุกูล""",บ้านหมอ,บ้านหมอ,สระบุรี,มัธยมศึกษา
โรงเรียนประเทียบวิทยาทาน,หนองสรวง,วิหารแดง,สระบุรี,มัธยมศึกษา
"โรงเรียนพระพุทธบาท ""พลานุกูลวิทยา""",พุกร่าง,พระพุทธบาท,สระบุรี,มัธยมศึกษา
โรงเรียนมวกเหล็กวิทยา,มิตรภาพ,มวกเหล็ก,สระบุรี,มัธยมศึกษา
โรงเรียนวังม่วงวิทยาคม,วังม่วง,วังม่วง,สระบุรี,มัธยมศึกษา
โรงเรียนสระบุรีวิทยาคม,ปากเพรียว,เมืองสระบุรี,สระบุรี,มัธยมศึกษา
โรงเรียนสวนกุหลาบวิทยาลัย สระบุรี,ปากข้าวสาร,เมืองสระบุรี,สระบุรี,มัธยมศึกษา
โรงเรียนสองคอนวิทยาคม,สองคอน,แก่งคอย,สระบุรี,มัธยมศึกษา
โรงเรียนสุธีวิทยา,พระพุทธบาท,พระพุทธบาท,สระบุรี,มัธยมศึกษา
"โรงเรียนเสาไห้ ""วิมลวิทยานุกูล""",เสาไห้,เสาไห้,สระบุรี,มัธยมศึกษา
"โรงเรียนหนองแค ""สรกิจพิทยา""",หนองแค,หนองแค,สระบุรี,มัธยมศึกษา
โรงเรียนหนองแซงวิทยา,หนองควายโซ,หนองแซง,สระบุรี,มัธยมศึกษา
โรงเรียนหนองโดนวิทยา,หนองโดน,หนองโดน,สระบุรี,มัธยมศึกษา
โรงเรียนหินกองวิทยาคม,ห้วยทราย,หนองแค,สระบุรี,มัธยมศึกษา
โรงเรียนโคกมะขามจั่นเสือสามัคคี,ตลาดน้อย,บ้านหมอ,สระบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านกลับ (สราญราษฎร์),บ้านกลับ,หนองโดน,สระบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านตลาดน้อย (ประชานุกูล),ตลาดน้อย,บ้านหมอ,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนวัดหนองโนใต้,หนองโน,เมืองสระบุรี,สระบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนหนองโดน (ประมาณราษฎร์บริบาล),หนองโดน,หนองโดน,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนท้ายพิกุล (สำนักงานสลากกินแบ่งสงเคราะห์ 68),พระพุทธบาท,พระพุทธบาท,สระบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนธารเกษม,ธารเกษม,พระพุทธบาท,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนนิคมสงเคราะห์ 2,พุคำจาน,พระพุทธบาท,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนนิคมสร้างตนเองจังหวัดสระบุรี (พิบูลสงเคราะห์ 2),ธารเกษม,พระพุทธบาท,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาดินใต้,หัวปลวก,เสาไห้,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาพลัด,เขาวง,พระพุทธบาท,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขารวก (ร่วมมิตรพัฒนา),หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาเลี้ยว,พุกร่าง,พระพุทธบาท,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านครัว (ซิเมนต์ไทยสงเคราะห์),บ้านครัว,บ้านหมอ,สระบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคุ้งเขาเขียว (สำเภาราษฎร์บำรุง),หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซับครก,นายาว,พระพุทธบาท,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซับชะอม,เขาวง,พระพุทธบาท,สระบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านธารทองแดง,พุคำจาน,พระพุทธบาท,สระบุรี,อนุบาล–มัธยมศึกษาตอนต้น
