name,subDistrict,district,province,level
โรงเรียนคลองน้ำใสวิทยาคาร,ผ่านศึก,อรัญประเทศ,สระแก้ว,มัธยมศึกษา
โรงเรียนคลองหาดพิทยาคม,คลองหาด,คลองหาด,สระแก้ว,มัธยมศึกษา
โรงเรียนซับม่วงวิทยา,โคคลาน,ตาพระยา,สระแก้ว,มัธยมศึกษา
โรงเรียนตาพระยา,ตาพระยา,ตาพระยา,สระแก้ว,มัธยมศึกษา
โรงเรียนทัพพระยาพิทยา,โคกสูง,โคกสูง,สระแก้ว,มัธยมศึกษา
โรงเรียนทัพราชวิทยา,ทัพราช,ตาพระยา,สระแก้ว,มัธยมศึกษา
โรงเรียนท่าเกษมพิทยา,ท่าเกษม,เมืองสระแก้ว,สระแก้ว,มัธยมศึกษา
โรงเรียนร่มเกล้าวัฒนานคร สระแก้ว รัชมังคลาภิเษก,หนองตะเคียนบอน,วัฒนานคร,สระแก้ว,มัธยมศึกษา
โรงเรียนวังไพรวิทยาคม,วังใหม่,วังสมบูรณ์,สระแก้ว,มัธยมศึกษา
โรงเรียนวังสมบูรณ์วิทยาคม,วังสมบูรณ์,วังสมบูรณ์,สระแก้ว,มัธยมศึกษา
โรงเรียนวังน้ำเย็นวิทยาคม,วังน้ำเย็น,วังน้ำเย็น,สระแก้ว,มัธยมศึกษา
โรงเรียนวังหลังวิทยาคม,ทุ่งมหาเจริญ,วังน้ำเย็น,สระแก้ว,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย สระแก้ว,วัฒนานคร,วัฒนานคร,สระแก้ว,มัธยมศึกษา
โรงเรียนสระแก้ว,สระแก้ว,เมืองสระแก้ว,สระแก้ว,มัธยมศึกษา
โรงเรียนอรัญประเทศ,อรัญประเทศ,อรัญประเทศ,สระแก้ว,มัธยมศึกษา
โรงเรียนอนุบาลวัดสระแก้ว,สระแก้ว,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านคลองหมี,สระแก้ว,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านสี่แยก,สระแก้ว,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านเนินสะอาด,สระแก้ว,เมืองสระแก้ว,สระแก้ว,
โรงเรียนอนุบาลเมืองสระแก้ว,ท่าเกษม,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านทุ่งพระ,ท่าเกษม,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านหนองนกกระเรียน,ท่าเกษม,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านท่าเกษม,ท่าเกษม,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านคลองอุดมสุข,ท่าเกษม,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านท่าแยก,หนองบอน,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านโคกมะตูม,หนองบอน,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านหน้าสถานี,หนองบอน,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านคลองบุหรี่,หนองบอน,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านท่ากะบาก,ท่าแยก,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านคลองปลาโด,ท่าแยก,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านคลองศรีเมือง,ท่าแยก,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านคลองผักขม,ท่าแยก,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านกิโลสาม,ท่าแยก,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านป่าระกำ,ท่าแยก,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านหนองเตียน,ท่าแยก,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านโป่งดาวเรือง,ท่าแยก,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านคลองน้ำเขียว,ท่าแยก,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านด่าน (ราษฎรบำรุง),โคกปี่ฆ้อง,เมืองสระแก้ว,สระแก้ว,
โรงเรียนวัดใหม่โพธิ์ทอง,โคกปี่ฆ้อง,เมืองสระแก้ว,สระแก้ว,
โรงเรียนวนาสงเคราะห์,โคกปี่ฆ้อง,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านคลองน้ำใส,โคกปี่ฆ้อง,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านหนองขี้เห็น,โคกปี่ฆ้อง,เมืองสระแก้ว,สระแก้ว,
โรงเรียนสามัคคีประชาสรรค์,โคกปี่ฆ้อง,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านบะขมิ้น (วัชระอนุสรณ์),โคกปี่ฆ้อง,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านลุงพลู,โคกปี่ฆ้อง,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านวังจั่น,โคกปี่ฆ้อง,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านทุ่งหินโคน,สระขวัญ,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านทุ่งพลวง,สระขวัญ,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านคลองมะละกอ,สระขวัญ,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านขาข่า,สระขวัญ,เมืองสระแก้ว,สระแก้ว,
โรงเรียนธรรมยานประยุต,สระขวัญ,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านคลองคันฉอ,สระขวัญ,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านใหม่ถาวร,สระขวัญ,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านนินผาสุก,สระขวัญ,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านแก่งสีเสียด,สระขวัญ,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านน้ำซับเจริญ,สระขวัญ,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านศาลาลำดวน,ศาลาลำดวน,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านหนองข่า,ศาลาลำดวน,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านท่าระพา,ศาลาลำดวน,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านหนองผูกเต่า,ศาลาลำดวน,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านเนิสวนอ้อย,ศาลาลำดวน,เมืองสระแก้ว,สระแก้ว,
โรงเรียนบ้านเขามะกา,ศาลาลำดวน,เมืองสระแก้ว,สระแก้ว,
