name,subDistrict,district,province,level
"โรงเรียนสิงหพาหุ ""ประสานมิตรอุปถัมภ์""",จักรสีห์,เมืองสิงห์บุรี,สิงห์บุรี,มัธยมศึกษา
โรงเรียนหัวไผ่วิทยาคม,หัวไผ่,เมืองสิงห์บุรี,สิงห์บุรี,มัธยมศึกษา
โรงเรียนสิงห์บุรี,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,มัธยมศึกษา
โรงเรียนบางระจันวิทยา,สิงห์,บางระจัน,สิงห์บุรี,มัธยมศึกษา
โรงเรียนศรีศักดิ์สุวรรณวิทยา,เชิงกลัด,บางระจัน,สิงห์บุรี,มัธยมศึกษา
โรงเรียนค่ายบางระจันวิทยาคม,บางระจัน,ค่ายบางระจัน,สิงห์บุรี,มัธยมศึกษา
โรงเรียนบ้านแป้งวิทยา,บ้านแป้ง,พรหมบุรี,สิงห์บุรี,มัธยมศึกษา
โรงเรียนพรหมบุรีรัชดาภิเษก,บ้านหม้อ,พรหมบุรี,สิงห์บุรี,มัธยมศึกษา
โรงเรียนท่าช้างวิทยาคาร,ถอนสมอ,ท่าช้าง,สิงห์บุรี,มัธยมศึกษา
โรงเรียนทองเอนวิทยา,ทองเอน,อินทร์บุรี,สิงห์บุรี,มัธยมศึกษา
โรงเรียนศรีวินิตวิทยาคม,อินทร์บุรี,อินทร์บุรี,สิงห์บุรี,มัธยมศึกษา
โรงเรียนอินทร์บุรี,อินทร์บุรี,อินทร์บุรี,สิงห์บุรี,มัธยมศึกษา
โรงเรียนค่ายบางระจัน,บางระจัน,ค่ายบางระจัน,สิงห์บุรี,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนบ้านไม้ดัด,สิงห์,บางระจัน,สิงห์บุรี,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนวัดกลางท่าข้าม,ท่าข้าม,ค่ายบางระจัน,สิงห์บุรี,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดดงยาง,ทองเอน,อินทร์บุรี,สิงห์บุรี,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนวัดตราชู,บ้านหม้อ,พรหมบุรี,สิงห์บุรี,อนุบาล-ประถมศึกษา
