name,subDistrict,district,province,level
โรงเรียนกรรณสูตศึกษาลัย,รั้วใหญ่,เมืองสุพรรณบุรี,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนกาญจนาภิเษกวิทยาลัย สุพรรณบุรี,ไผ่ขวาง,เมืองสุพรรณบุรี,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนดอนคาวิทยา,ดอนคา,อู่ทอง,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนด่านช้างวิทยา,นิคมกระเสียว,ด่านช้าง,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนตลิ่งชันวิทยา,ตลิ่งชัน,เมืองสุพรรณบุรี,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนทุ่งคลีโคกช้างวิทยา,โคกช้าง,เดิมบางนางบวช,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนทุ่งแฝกพิทยาคม,วังลึก,สามชุก,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนธรรมโชติศึกษาลัย,เขาพระ,เดิมบางนางบวช,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนบรรหารแจ่มใสวิทยา 1,ดอนเจดีย์,ดอนเจดีย์,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนบรรหารแจ่มใสวิทยา 3,ด่านช้าง,ด่านช้าง,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนบรรหารแจ่มใสวิทยา 5,บางตาเถร,สองพี่น้อง,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนบรรหารแจ่มใสวิทยา 6,หนองสะเดา,สามชุก,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนบรรหารแจ่มใสวิทยา 7,นางบวช,เดิมบางนางบวช,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนบ่อกรุวิทยา,บ่อกรุ,เดิมบางนางบวช,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนบ่อสุพรรณวิทยา,บ่อสุพรรณ,สองพี่น้อง,สุพรรณบุรี,มัธยมศึกษา
"โรงเรียนบางปลาม้า ""สูงสุมารผดุงวิทย์""",โคกคราม,บางปลาม้า,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนบางแม่หม้ายรัฐราษฎร์รังสฤษดิ์,บางใหญ่,บางปลาม้า,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนบางลี่วิทยา,สองพี่น้อง,สองพี่น้อง,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนวังหว้าราษฎร์สามัคคี,วังหว้า,ศรีประจันต์,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย สุพรรณบุรี,สองพี่น้อง,สองพี่น้อง,สุพรรณบุรี,มัธยมศึกษา
"โรงเรียนศรีประจันต์ ""เมธีประมุข""",ศรีประจันต์,ศรีประจันต์,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนสงวนหญิง,ท่าพี่เลี้ยง,เมืองสุพรรณบุรี,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนสรวงสุทธาวิทยา,ปลายนา,ศรีประจันต์,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนสระกระโจมโสภณพิทยา,สระกระโจม,ดอนเจดีย์,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนสระยายโสมวิทยา,สระยายโสม,อู่ทอง,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนสวนแตงวิทยา,สวนแตง,เมืองสุพรรณบุรี,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนสองพี่น้องวิทยา,บางตาเถร,สองพี่น้อง,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนสามชุกรัตนโภคาราม,สามชุก,สามชุก,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนหนองหญ้าไซวิทยา,หนองหญ้าไซ,หนองหญ้าไซ,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนหรรษาสุจิตต์วิทยา 2,มะขามล้ม,บางปลาม้า,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนอู่ทอง,อู่ทอง,อู่ทอง,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนอู่ทองศึกษาลัย,อู่ทอง,อู่ทอง,สุพรรณบุรี,มัธยมศึกษา
โรงเรียนกฤษณา,กฤษณา,บางปลาม้า,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบรรหารแจ่มใสวิทยา 2 (วัดลาดหอย),โคกคราม,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบรรหารแจ่มใสวิทยา 4,สนามชัย,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบางปลาม้า,ตะค่า,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบางแม่หม้าย,บางใหญ่,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองชะโด,วังหว้า,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคลองชะอม,ปลายนา,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนโพ,สนามชัย,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านท่าเสด็จ,สระแก้ว,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านบางกุ้ง,บางกุ้ง,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไผ่แปลกแม่,สวนแตง,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโพธิ์ศรี,จรเข้ใหญ่,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านรางกะทุ่ม,ไผ่ขวาง,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านรางทอง,บางใหญ่,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านรางหางม้า,ปลายนา,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองขาม,สนามคลี,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองบอน,สระแก้ว,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองปรือ,สระแก้ว,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองสรวง,ปลายนา,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยเจริญ,วังน้ำซับ,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนเมืองสุพรรณบุรี,ตลิ่งชัน,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดกระทุ่มทอง,องครักษ์,บางปลาม้า,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดเกาะ,วังหว้า,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดแก้ว,ทับตีเหล็ก,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดไก่เตี้ย,วังยาง,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดเขาดิน,สระแก้ว,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดคลองโมง,องครักษ์,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดคันทด,ท่าระหัด,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดคูบัว,วัดดาว,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดโคกโคเฒ่า,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดโคกโพธิ์,กฤษณา,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดจระเข้ใหญ่,จรเข้ใหญ่,บางปลาม้า,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดจำปี,สนามคลี,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดช่องลม,ไผ่กองดิน,บางปลาม้า,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดชีปะขาว,ตะค่า,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดงขี้เหล็ก,วังหว้า,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนกระเบื้อง,บางใหญ่,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนกลาง,ไผ่ขวาง,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนขาด,วัดโบสถ์,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนไข่เต่า,วัดโบสถ์,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนเจดีย์ราษฎร์บูรณะ,ดอนมะสังข์,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนตาจีน,วัดดาว,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนตาล,ดอนตาล,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนบุบผาราม,บ้านกร่าง,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดอนโพธิ์ทอง,ดอนโพธิ์ทอง,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดดอนสุทธาวาส,ดอนปรู,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดารา,ตะค่า,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดดาว,วัดดาว,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดตปะโยคาราม,มะขามล้ม,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดตะลุ่ม,มะขามล้ม,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดเถรพลาย,วังน้ำซับ,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดทรงกระเทียม,สาลี,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดเทพสุธาวาส,มดแดง,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดนิเวศน์ธรรมาราม,ดอนกำยาน,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบรรไดทอง,วังยาง,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบางจิก,วัดโบสถ์,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบางเลน,กฤษณา,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบางใหญ่,บางใหญ่,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบ้านกร่าง,บ้านกร่าง,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบ้านกล้วย,บ้านกร่าง,ศรีประจันต์,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดบ้านโพธิ์ตะวันตก,บ้านโพธิ์,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบ้านโพธิ์ตะวันออก,บ้านโพธิ์,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบ้านหมี่,บางปลาม้า,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดบึงคา,สาลี,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดโบสถ์,มะขามล้ม,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดประชุมชน,บ้านโพธิ์,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดปลายนา,วังน้ำซับ,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดปากคลองกุ่ม,โคกคราม,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดป่าพระเจ้า,ปลายนา,ศรีประจันต์,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดป่าพฤกษ์,บ้านแหลม,บางปลาม้า,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดปู่เจ้า,บ้านกร่าง,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดไผ่เกาะโพธิ์งาม,ดอนตาล,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดไผ่ขวาง,ไผ่ขวาง,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดไผ่เดี่ยว,วัดโบสถ์,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดไผ่มุ้ง,วังน้ำเย็น,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดไผ่ลูกนก,สวนแตง,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดพระธาตุ,ศาลาขาว,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนวัดพร้าว,โพธิ์พระยา,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดพังม่วง,วังน้ำซับ,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดพันตำลึง,ดอนกำยาน,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดพิหารแดง,พิหารแดง,เมืองสุพรรณบุรี,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดโพธิ์ตะควน,วัดดาว,บางปลาม้า,สุพรรณบุรี,อนุบาล–ประถมศึกษา
โรงเรียนวัดโพธิ์ท่าทราย,บ้านโพธิ์,เมืองสุพรรณบุรี,สุพรรณบุรี,ประถมศึกษา
โรงเรียนวัดโพธิ์นฤมิตร,ดอนปรู,ศรีประจันต์,สุพรรณบุรี,อนุบาล–ประถมศึกษา
