name,subDistrict,district,province,level
โรงเรียนกาญจนดิษฐ์,กะแดะ,กาญจนดิษฐ์,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนกาญจนาภิเษกวิทยาลัย สุราษฎร์ธานี,เลม็ด,ไชยา,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนเกาะพะงันศึกษา,บ้านใต้,เกาะพะงัน,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนเกาะสมุย,ลิปะน้อย,เกาะสมุย,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนเขาพนมแบกศึกษา,ป่าเว,ไชยา,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนคลองฉนวนวิทยา,คลองฉนวน,เวียงสระ,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนควนสุบรรณวิทยา,ควนสุบรรณ,บ้านนาสาร,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนคีรีรัฐวิทยาคม,บ้านยาง,คีรีรัฐนิคม,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนเคียนซาพิทยาคม,เคียนซา,เคียนซา,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนชัยบุรีพิทยา,สองแพรก,ชัยบุรี,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนไชยาวิทยา,ตลาดไชยา,ไชยา,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนตะกุกใต้ศึกษา,ตะกุกใต้,วิภาวดี,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ สุราษฎร์ธานี,ตะเคียนทอง,กาญจนดิษฐ์,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนท่าฉางวิทยาคาร,เขาถ่าน,ท่าฉาง,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนท่าชนะ,ท่าชนะ,ท่าชนะ,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนท่าชีวิทยาคม,น้ำพุ,บ้านนาสาร,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนท่าเฟืองวิทยา,กรูด,กาญจนดิษฐ์,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนท่าสะท้อนวิทยา,ท่าสะท้อน,พุนพิน,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนท่าอุแทพิทยา,ท่าอุแท,กาญจนดิษฐ์,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนทีปราษฎร์พิทยา,แม่น้ำ,เกาะสมุย,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนน้ำรอบวิทยา,น้ำรอบ,พุนพิน,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนบางสวรรค์วิทยาคม,บางสวรรค์,พระแสง,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนบางเดือนสถิตย์พิทยาคม,บางเดือน,พุนพิน,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนบ้านตาขุนวิทยา,เขาวง,บ้านตาขุน,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนบ้านนาวิทยาคม,บ้านนา,บ้านนาเดิม,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนบ้านนาสาร,นาสาร,บ้านนาสาร,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนบ้านเสด็จพิทยาคม,บ้านเสด็จ,เคียนซา,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนปากแพรกวิทยาคม,ปากแพรก,ดอนสัก,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนพนมศึกษา,พนม,พนม,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนพระแสงวิทยา,อิปัน,พระแสง,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนพรุพีพิทยาคม,พรุพี,บ้านนาสาร,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนพ่วงพรมครวิทยา,พ่วงพรมคร,เคียนซา,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนพุนพินพิทยาคม,ท่าข้าม,พุนพิน,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนมัธยมบ้านทำเนียบ,บ้านทำเนียบ,คีรีรัฐนิคม,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนมัธยมพัชรกิติยาภา 3 สุราษฎร์ธานี ในพระราชูปถัมภ์ฯ,ขุนทะเล,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนมัธยมวิภาวดี,ตะกุกเหนือ,วิภาวดี,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนเมืองสุราษฎร์ธานี,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนรัชชประภาวิทยาคม,เขาพัง,บ้านตาขุน,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนเวียงสระ,เวียงสระ,เวียงสระ,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนสุราษฎร์ธานี,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนสุราษฎร์ธานี 2,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนสุราษฎร์พิทยา,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนสุราษฎร์พิทยา 2,วัดประดู่,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนเสวียดวิทยา รัชมังคลาภิเษก,เสวียด,ท่าฉาง,สุราษฎร์ธานี,มัธยมศึกษา
โรงเรียนอนุบาลสุราษฎร์ธานี,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนวัดกลางใหม่,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนบ้านสุชน,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนบ้านบางใหญ่,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนบ้านท่าเพชร,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนวัดโพธิ์นิมิต,บางกุ้ง,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนวัดท่าทอง,บางกุ้ง,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนบ้านโพหวาย,บางกุ้ง,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนบ้านสันติสุข,บางกุ้ง,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนนิคมสร้างตนเอง,ขุนทะเล,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนบ้านควนยูง,ขุนทะเล,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนบ้านซอย 10,ขุนทะเล,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนบ้านซอย 2,ขุนทะเล,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนวัดบางใบไม้,บางใบไม้,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนวัดนทีคมเขต,คลองฉนาก,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนวัดแหลมทอง,คลองฉนาก,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนวัดประสิทธาราม,บางชนะ,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนบ้านคลองสุข,บางชนะ,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
โรงเรียนชุมชนวัดสุนทรนิวาส,วัดประดู่,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,
