name,subDistrict,district,province,level
โรงเรียนพนาสนวิทยา,อู่โลก,ลำดวน,สุรินทร์,มัธยมศึกษา
โรงเรียนสุรพินท์พิทยา,ลำดวน,ลำดวน,สุรินทร์,มัธยมศึกษา
โรงเรียนศรีณรงค์พิทยาลัย,ศรีสุข,ศรีณรงค์,สุรินทร์,มัธยมศึกษา
โรงเรียนพนมดงรักวิทยา,จีกแดก,พนมดงรัก,สุรินทร์,มัธยมศึกษา
โรงเรียนศรีสุขวิทยา,ศรีสุข,สำโรงทาบ,สุรินทร์,มัธยมศึกษา
โรงเรียนสำโรงทาบวิทยาคม,สำโรงทาบ,สำโรงทาบ,สุรินทร์,มัธยมศึกษา
โรงเรียนบัวเชดวิทยา,บัวเชด,บัวเชด,สุรินทร์,มัธยมศึกษา
โรงเรียนมัธยมศรีลำเภาลูน,ลำเภาลูน,บัวเชด,สุรินทร์,มัธยมศึกษา
โรงเรียนสินรินทร์วิทยา,เขวาสินรินทร์,เขวาสินรินทร์,สุรินทร์,มัธยมศึกษา
โรงเรียนแร่วิทยา,บ้านแร่,เขวาสินรินทร์,สุรินทร์,มัธยมศึกษา
โรงเรียนบึงนครประชาสรรค์,บึง,เขวาสินรินทร์,สุรินทร์,มัธยมศึกษา
โรงเรียนประดู่แก้วประชาสรรค์,ระเวียง,โนนนารายณ์,สุรินทร์,มัธยมศึกษา
โรงเรียนโนนเทพ,หนองเทพ,โนนนารายณ์,สุรินทร์,มัธยมศึกษา
โรงเรียนนารายณ์คำผงวิทยา,คำผง,โนนนารายณ์,สุรินทร์,มัธยมศึกษา
โรงเรียนชุมพลวิทยาสรรค์,ชุมพลบุรี,ชุมพลบุรี,สุรินทร์,มัธยมศึกษา
โรงเรียนเมืองบัววิทยา,เมืองบัว,ชุมพลบุรี,สุรินทร์,มัธยมศึกษา
โรงเรียนลำพลับพลาวิทยาคาร,ชุมพลบุรี,ชุมพลบุรี,สุรินทร์,มัธยมศึกษา
โรงเรียนหนองอียอวิทยา,หนองอียอ,สนม,สุรินทร์,มัธยมศึกษา
โรงเรียนสนมวิทยาคาร,สนม,สนม,สุรินทร์,มัธยมศึกษา
โรงเรียนหนองขุนศรีวิทยา,แคน,สนม,สุรินทร์,มัธยมศึกษา
โรงเรียนจอมพระประชาสรรค์,จอมพระ,จอมพระ,สุรินทร์,มัธยมศึกษา
โรงเรียนบุแกรงวิทยาคม,บุแกรง,จอมพระ,สุรินทร์,มัธยมศึกษา
โรงเรียนเมืองลีงวิทยา,เมืองลีง,จอมพระ,สุรินทร์,มัธยมศึกษา
โรงเรียนหนองสนิทวิทยา,หนองสนิท,จอมพระ,สุรินทร์,มัธยมศึกษา
โรงเรียนกาบเชิงวิทยา,กาบเชิง,กาบเชิง,สุรินทร์,มัธยมศึกษา
โรงเรียนโคกตะเคียนวิทยา,โคกตะเคียน,กาบเชิง,สุรินทร์,มัธยมศึกษา
โรงเรียนแนงมุดวิทยา,แนงมุด,กาบเชิง,สุรินทร์,มัธยมศึกษา
โรงเรียนปราสาทเบงวิทยา,กาบเชิง,กาบเชิง,สุรินทร์,มัธยมศึกษา
โรงเรียนแกศึกษาพัฒนา,รัตนบุรี,รัตนบุรี,สุรินทร์,มัธยมศึกษา
โรงเรียนดอนแรดวิทยา,ดอนแรด,รัตนบุรี,สุรินทร์,มัธยมศึกษา
โรงเรียนทับโพธิ์พัฒนวิทย์,ทับใหญ่,รัตนบุรี,สุรินทร์,มัธยมศึกษา
โรงเรียนธาตุศรีนคร,ธาตุ,รัตนบุรี,สุรินทร์,มัธยมศึกษา
โรงเรียนเบิดพิทยาสรรค์,เบิด,รัตนบุรี,สุรินทร์,มัธยมศึกษา
โรงเรียนรัตนบุรี,รัตนบุรี,รัตนบุรี,สุรินทร์,มัธยมศึกษา
โรงเรียนกระเทียมวิทยา,กระเทียม,สังขะ,สุรินทร์,มัธยมศึกษา
โรงเรียนขนาดมอญพิทยาคม,ตาตุม,สังขะ,สุรินทร์,มัธยมศึกษา
โรงเรียนตาคงวิทยา รัชมังคลาภิเษก,ตาคง,สังขะ,สุรินทร์,มัธยมศึกษา
โรงเรียนเทพอุดมวิทยา,ดม,สังขะ,สุรินทร์,มัธยมศึกษา
โรงเรียนพระแก้ววิทยา,พระแก้ว,สังขะ,สุรินทร์,มัธยมศึกษา
โรงเรียนมัธยมทับทิมสยาม 04,เทพรักษา,สังขะ,สุรินทร์,มัธยมศึกษา
โรงเรียนสังขะ,สังขะ,สังขะ,สุรินทร์,มัธยมศึกษา
โรงเรียนโคกยางวิทยา,โคกยาง,ปราสาท,สุรินทร์,มัธยมศึกษา
โรงเรียนเชื้อเพลิงวิทยา,เชื้อเพลิง,ปราสาท,สุรินทร์,มัธยมศึกษา
โรงเรียนตานีวิทยา,ตานี,ปราสาท,สุรินทร์,มัธยมศึกษา
โรงเรียนตาเบาวิทยา,ตาเบา,ปราสาท,สุรินทร์,มัธยมศึกษา
โรงเรียนทุ่งมนวิทยาคาร,สมุด,ปราสาท,สุรินทร์,มัธยมศึกษา
โรงเรียนไทรแก้ววิทยา,กันตวจระมวล,ปราสาท,สุรินทร์,มัธยมศึกษา
โรงเรียนประสาทวิทยาคาร,กังแอน,ปราสาท,สุรินทร์,มัธยมศึกษา
โรงเรียนช้างบุญวิทยา,กระโพ,ท่าตูม,สุรินทร์,มัธยมศึกษา
โรงเรียนท่าตูมประชาเสริมวิทย์,ท่าตูม,ท่าตูม,สุรินทร์,มัธยมศึกษา
