name,subDistrict,district,province,level
พระแม่ย่า,กงไกรลาศ,มัธยมศึกษา,สุโขทัย,
พระร่วง,ศรีสำโรง,มัธยมศึกษา,สุโขทัย,
พระแม่ย่า,คีรีมาศ,มัธยมศึกษา,สุโขทัย,
พระร่วง,ทุ่งเสลี่ยม,มัธยมศึกษา,สุโขทัย,
เจ้าราม,บ้านด่านลานหอย,มัธยมศึกษา,สุโขทัย,
ศรีสวรรค์,ศรีสัชนาลัย,มัธยมศึกษา,สุโขทัย,
เจ้าราม,เมืองสุโขทัย,มัธยมศึกษา,สุโขทัย,
พระร่วง,ศรีนคร,มัธยมศึกษา,สุโขทัย,
ศรีสวรรค์,สวรรคโลก,มัธยมศึกษา,สุโขทัย,
พระแม่ย่า,เมืองสุโขทัย,มัธยมศึกษา,สุโขทัย,
ธานี,เมืองสุโขทัย,,สุโขทัย,
ยางซ้าย,เมืองสุโขทัย,,สุโขทัย,
บ้านหลุม,เมืองสุโขทัย,,สุโขทัย,
ตาลเตี้ย,เมืองสุโขทัย,,สุโขทัย,
ปากพระ,เมืองสุโขทัย,,สุโขทัย,
วังทองแดง,เมืองสุโขทัย,,สุโขทัย,
เมืองเก่า,เมืองสุโขทัย,,สุโขทัย,
บ้านสวน,เมืองสุโขทัย,,สุโขทัย,
ปากแคว,เมืองสุโขทัย,,สุโขทัย,
บ้านกล้วย,เมืองสุโขทัย,,สุโขทัย,
บ้านด่าน,บ้านด่านลานหอย,,สุโขทัย,
ลานหอย,บ้านด่านลานหอย,,สุโขทัย,
วังลึก,บ้านด่านลานหอย,,สุโขทัย,
วังน้ำขาว,บ้านด่านลานหอย,,สุโขทัย,
ตลิ่งชัน,บ้านด่านลานหอย,,สุโขทัย,
วังตะคร้อ,บ้านด่านลานหอย,,สุโขทัย,
หนองหญ้าปล้อง,บ้านด่านลานหอย,,สุโขทัย,
ทุ่งหลวง,คีรีมาศ,,สุโขทัย,
สามพวง,คีรีมาศ,,สุโขทัย,
ศรีคีรีมาศ,คีรีมาศ,,สุโขทัย,
โตนด,คีรีมาศ,,สุโขทัย,
ทุ่งยางเมือง,คีรีมาศ,,สุโขทัย,
นาเชิงคีรี,คีรีมาศ,,สุโขทัย,
บ้านน้ำพุ,คีรีมาศ,,สุโขทัย,
บ้านป้อม,คีรีมาศ,,สุโขทัย,
