name,subDistrict,district,province,level
โรงเรียนกวนวันวิทยา,กวนวัน,เมืองหนองคาย,หนองคาย,มัธยมศึกษา
โรงเรียนกุดบงพิทยาคาร,กุดบง,โพนพิสัย,หนองคาย,มัธยมศึกษา
โรงเรียนค่ายบกหวานวิทยา,ค่ายบกหวาน,เมืองหนองคาย,หนองคาย,มัธยมศึกษา
โรงเรียนโคกคอนวิทยาคม,โคกคอน,ท่าบ่อ,หนองคาย,มัธยมศึกษา
โรงเรียนชุมพลโพนพิสัย,จุมพล,โพนพิสัย,หนองคาย,มัธยมศึกษา
โรงเรียนเซิมพิทยาคม,เซิม,โพนพิสัย,หนองคาย,มัธยมศึกษา
โรงเรียนเดื่อวิทยาคาร,บ้านเดื่อ,ท่าบ่อ,หนองคาย,มัธยมศึกษา
โรงเรียนถ่อนวิทยา,บ้านถ่อน,ท่าบ่อ,หนองคาย,มัธยมศึกษา
โรงเรียนท่าบ่อ,ท่าบ่อ,ท่าบ่อ,หนองคาย,มัธยมศึกษา
โรงเรียนท่าบ่อพิทยาคม,กองนาง,ท่าบ่อ,หนองคาย,มัธยมศึกษา
โรงเรียนนาดีพิทยาคม,นาดี,เฝ้าไร่,หนองคาย,มัธยมศึกษา
โรงเรียนนาหนังพัฒนศึกษา,นาหนัง,โพนพิสัย,หนองคาย,มัธยมศึกษา
โรงเรียนน้ำสวยวิทยา,สระใคร,สระใคร,หนองคาย,มัธยมศึกษา
โรงเรียนปทุมเทพวิทยาคาร,โพธิ์ชัย,เมืองหนองคาย,หนองคาย,มัธยมศึกษา
โรงเรียนประชาบดีพิทยาคม,โพนแพง,รัตนวาปี,หนองคาย,มัธยมศึกษา
โรงเรียนปากสวยพิทยาคม,วัดหลวง,โพนพิสัย,หนองคาย,มัธยมศึกษา
โรงเรียนฝางพิทยาคม,บ้านฝาง,สระใคร,หนองคาย,มัธยมศึกษา
โรงเรียนพระธาตุบังพวนวิทยา,พระธาตุบังพวน,เมืองหนองคาย,หนองคาย,มัธยมศึกษา
โรงเรียนพระบาทนาสิงห์พิทยาคม,พระบาทนาสิงห์,รัตนวาปี,หนองคาย,มัธยมศึกษา
โรงเรียนพระพุทธบาทวิทยาคม,พระพุทธบาท,ศรีเชียงใหม่,หนองคาย,มัธยมศึกษา
