name,subDistrict,district,province,level
โรงเรียนบ้านโนนอุดม,กุดจิก,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนโพธิ์ศรีสะอาดวิทยา,กุดจิก,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนยางหลวงพิทยาคม,กุดจิก,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนหนองบัววิทยายน,หนองบัว,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนอนุบาลหนองบัวลำภู,ลำภู,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนทุ่งโปร่งประชาสรรค์,กุดจิก,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านกุดจิก,กุดจิก,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านห้วยข่าโนนสมบูรณ์,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านหนองกุง,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนชุมชนนาคำไฮวิทยา,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านกุดฉิม,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านนามะเฟือง,นามะเฟือง,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านทรายงาม,นามะเฟือง,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านโนนสมบูรณ์พัฒนา,นามะเฟือง,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านหนองศาลาโนนสว่าง,นามะเฟือง,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านกุดเต่า,นามะเฟือง,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านนาอ่าง,นามะเฟือง,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านโนนขมิ้น,โนนขมิ้น,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านห้วยโจด,โนนขมิ้น,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านโนนคูณ,โนนขมิ้น,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านนาเลิง,โนนขมิ้น,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านห้วยไร่,โนนขมิ้น,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนร่มเกล้า,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านโนนทัน,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านอ่างบูรพา,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านภูพานคำ,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านหินคูณ,บ้านขาม,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านข้องโป้,บ้านขาม,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านข้องโป้ (สาขาบ้านค้อ),บ้านขาม,เมืองหนองบัวลำภู,หนองบัวลำภู,
โรงเรียนบ้านโคกกุง,บ้านขาม,เมืองหนองบัวลำภู,หนองบัวลำภู,
